Duration,processBuffer,processMap,processCloud
1553088518.495189703,,,1.74853
1553088518.495189703,1.75173,,
1553088518.495189703,,,1.59537
1553088518.495189703,1.59853,,
1553088520.450840486,,,1.85529
1553088520.450840486,1.85915,,
1553088522.445868869,,,2.0624
1553088522.456147405,2.06783,,
1553088524.643141559,,,2.26759
1553088524.643141559,2.27048,,
1553088526.713970920,,,2.15187
1553088526.713970920,2.15715,,
1553088528.478668730,,,1.85502
1553088528.488755627,1.85912,,
1553088530.718141035,,,2.36414
1553088530.718141035,2.36665,,
1553088532.906244387,,,2.33831
1553088532.906244387,2.3448,,
1553088535.138149737,,,2.3943
1553088535.148499397,2.40016,,
1553088537.165159601,,,2.19408
1553088537.175225094,2.2046,,
1553088539.343008461,,,2.32429
1553088539.343008461,2.33056,,
1553088542.355981351,,,3.25345
1553088542.366042073,3.26015,,
1553088545.744140768,,,3.62265
1553088545.744140768,3.62889,,
1553088550.176271795,,,4.76431
1553088550.187421039,4.77453,,
1553088553.702665323,,,3.77232
1553088553.722735037,3.78151,,
1553088556.293482818,,,2.78011
1553088556.303548453,2.78865,,
1553088558.807327783,,,2.6415
1553088558.818186163,2.64987,,
1553088563.106894404,,,4.58161
1553088563.106894404,4.59072,,
1553088567.262901623,,,4.35332
1553088567.262901623,4.36481,,
1553088570.728653415,,,3.61887
1553088570.738715601,3.62958,,
1553088574.416816371,,,3.91592
1553088574.416816371,3.92316,,
1553088578.303459336,,,4.17793
1553088578.303459336,4.19067,,
1553088582.297962815,,,4.29503
1553088582.297962815,4.30191,,
1553088584.698416506,,,2.59189
1553088584.708547705,2.59759,,
1553088587.493093228,,,3.01878
1553088587.503266736,3.02781,,
1553088590.893218317,,,3.68027
1553088590.903278874,3.68948,,
1553088593.893814431,,,3.2169
1553088593.903883822,3.22486,,
1553088596.617987483,,,2.97433
1553088596.617987483,2.98013,,
1553088600.521698075,,,4.21088
1553088600.531764576,4.21883,,
1553088603.588544656,,,3.33272
1553088603.598606724,3.34555,,
1553088606.476101925,,,3.12841
1553088606.486168903,3.13356,,
1553088609.574924807,,,3.34504
1553088609.584993353,3.3561,,
1553088612.758468097,,,3.47031
1553088612.768535027,3.49234,,
1553088615.727828229,,,3.18375
1553088615.738597272,3.19187,,
1553088618.637389075,,,3.12927
1553088618.647596696,3.13954,,
1553088621.692554232,,,3.30954
1553088621.702630474,3.31983,,
1553088623.968519995,,,2.43366
1553088623.978678127,2.44035,,
1553088627.120044174,,,3.45037
1553088627.130111062,3.46463,,
1553088629.905505740,,,2.97535
1553088629.925639547,2.98706,,
1553088632.219978438,,,2.5027
1553088632.230105606,2.51089,,
1553088634.792355892,,,2.78054
1553088634.802426141,2.79396,,
1553088637.072870145,,,2.53679
1553088637.083452619,2.54645,,
1553088639.622620194,,,2.76281
1553088639.632701762,2.76964,,
1553088642.635698649,,,3.34537
1553088642.645765453,3.35674,,
1553088645.677970706,,,3.32073
1553088645.688035028,3.32814,,
1553088649.193815629,,,3.85913
1553088649.203903706,3.86792,,
1553088652.805015735,,,4.0184
1553088652.805015735,4.02725,,
1553088655.726797763,,,3.22059
1553088655.726797763,3.2284,,
1553088658.990728047,,,3.57627
1553088659.000884761,3.58438,,
1553088662.344455958,,,3.75172
1553088662.364589441,3.77607,,
1553088666.308015583,,,4.36925
1553088666.318077875,4.37577,,
1553088670.095885429,,,4.22907
1553088670.116648060,4.25559,,
1553088674.286307878,,,4.67579
1553088674.296369282,4.68425,,
1553088677.687982078,,,3.84824
1553088677.698059604,3.85824,,
1553088681.584257517,,,4.4256
1553088681.594317221,4.43492,,
1553088685.260312823,,,4.12092
1553088685.270346897,4.12771,,
1553088688.080112877,,,3.83268
1553088688.080112877,3.84976,,
1553088688.080112877,,,2.97068
1553088688.080112877,2.97598,,
