Duration,processBuffer,processMap,processCloud
1553088524.313963134,,,2.00913
1553088524.324026426,2.01473,,
1553088525.759922756,,,2.12849
1553088525.759922756,2.13414,,
1553088525.759922756,,,1.64315
1553088525.759922756,1.64805,,
1553088526.457884677,,,1.76336
1553088526.457884677,1.76686,,
1553088526.457884677,,,1.64656
1553088526.457884677,1.64914,,
1553088528.561891262,,,2.03793
1553088528.571953205,2.04293,,
1553088530.845355226,,,2.38823
1553088530.855425398,2.39656,,
1553088533.045873403,,,2.31369
1553088533.045873403,2.31594,,
1553088535.181941454,,,2.26767
1553088535.181941454,2.27478,,
1553088537.253576014,,,2.20806
1553088537.253576014,2.21089,,
1553088539.262976160,,,2.14794
1553088539.273036190,2.15117,,
1553088541.644748038,,,2.55577
1553088541.644748038,2.55863,,
1553088543.846376303,,,2.36202
1553088543.846376303,2.36789,,
1553088546.119662683,,,2.44854
1553088546.129742829,2.4538,,
1553088549.324900136,,,3.44946
1553088549.324900136,3.4548,,
1553088551.811599615,,,2.69019
1553088551.811599615,2.69514,,
1553088553.909921632,,,2.28535
1553088553.909921632,2.29031,,
1553088555.521833734,,,1.74672
1553088555.531899825,1.75682,,
1553088557.457672296,,,2.04825
1553088557.457672296,2.05657,,
1553088559.854784173,,,2.61929
1553088559.864845247,2.62621,,
1553088563.011446229,,,3.36792
1553088563.011446229,3.37219,,
1553088565.997300058,,,3.1788
1553088565.997300058,3.18577,,
1553088568.457625653,,,2.59275
1553088568.457625653,2.59989,,
1553088571.093796098,,,2.87093
1553088571.103876463,2.87576,,
1553088573.742538602,,,2.85124
1553088573.752717477,2.86418,,
1553088576.448969980,,,2.94018
1553088576.448969980,2.94564,,
1553088578.989778200,,,2.75094
1553088578.989778200,2.75898,,
1553088581.538820981,,,2.8358
1553088581.538820981,2.84033,,
1553088583.151752680,,,1.74002
1553088583.161828163,1.74857,,
1553088584.730673133,,,1.75702
1553088584.744333094,1.76319,,
1553088587.041633435,,,2.50612
1553088587.051698045,2.51433,,
1553088589.285367662,,,2.46249
1553088589.295491417,2.46843,,
1553088589.860142307,,,2.05419
1553088589.860142307,2.05818,,
