Duration,segmentation,association,deviation,average,segmentationMap,associationMap,deviationMap
1553088518.171976887,1.16751,,,,,,
1553088518.495189703,,0.580767,,,,,
1553088518.495189703,,,0.000106671,,,,
1553088518.495189703,,,,9.28e-06,,,
1553088518.495189703,1.02082,,,,,,
1553088518.495189703,,0.574357,,,,,
1553088518.495189703,,,6.2509e-05,,,,
1553088518.495189703,,,,4.646e-06,,,
1553088519.747735194,1.13625,,,,,,
1553088520.450840486,,0.718818,,,,,
1553088520.450840486,,,8.1834e-05,,,,
1553088520.450840486,,,,6.296e-06,,,
1553088521.876196552,1.47112,,,,,,
1553088522.445868869,,0.590989,,,,,
1553088522.445868869,,,6.8317e-05,,,,
1553088522.445868869,,,,1.4582e-05,,,
1553088523.899994982,1.48838,,,,,,
1553088524.643141559,,0.778944,,,,,
1553088524.643141559,,,7.8799e-05,,,,
1553088524.643141559,,,,5.902e-06,,,
1553088526.096749345,1.50959,,,,,,
1553088526.713970920,,0.642089,,,,,
1553088526.713970920,,,6.0592e-05,,,,
1553088526.713970920,,,,5.414e-06,,,
1553088527.872030601,1.21238,,,,,,
1553088528.478668730,,0.642442,,,,,
1553088528.478668730,,,6.859e-05,,,,
1553088528.478668730,,,,6.558e-06,,,
1553088530.073699707,1.67366,,,,,,
1553088530.718141035,,0.690281,,,,,
1553088530.718141035,,,6.4734e-05,,,,
1553088530.718141035,,,,6.209e-06,,,
1553088532.271451182,1.65187,,,,,,
1553088532.906244387,,0.686245,,,,,
1553088532.906244387,,,6.364e-05,,,,
1553088532.906244387,,,,7.017e-06,,,
1553088534.524243958,1.72576,,,,,,
1553088535.138149737,,0.668363,,,,,
1553088535.138149737,,,5.5214e-05,,,,
1553088535.138149737,,,,5.221e-06,,,
1553088536.510159877,1.47172,,,,,,
1553088537.165159601,,0.721317,,,,,
1553088537.165159601,,,0.000550777,,,,
1553088537.165159601,,,,1.7359e-05,,,
1553088538.660470598,1.58544,,,,,,
1553088539.343008461,,0.738291,,,,,
1553088539.343008461,,,0.000204467,,,,
1553088539.343008461,,,,9.672e-06,,,
1553088541.365216278,2.18454,,,,,,
1553088542.355981351,,1.06863,,,,,
1553088542.355981351,,,0.000109623,,,,
1553088542.355981351,,,,9.124e-06,,,
1553088544.450990401,2.23295,,,,,,
1553088545.744140768,,1.38942,,,,,
1553088545.744140768,,,0.000112125,,,,
1553088545.744140768,,,,1.1712e-05,,,
1553088548.554934972,3.02514,,,,,,
1553088550.176271795,,1.73884,,,,,
1553088550.176271795,,,0.00012752,,,,
1553088550.176271795,,,,9.884e-06,,,
1553088552.697220037,2.67708,,,,,,
1553088553.702665323,,1.09493,,,,,
1553088553.702665323,,,0.000101059,,,,
1553088553.702665323,,,,1.1391e-05,,,
1553088555.594142602,2.02812,,,,,,
1553088556.293482818,,0.75163,,,,,
1553088556.293482818,,,0.000116533,,,,
1553088556.293482818,,,,1.572e-05,,,
1553088557.904275145,1.6848,,,,,,
1553088558.807327783,,0.956406,,,,,
1553088558.807327783,,,8.1657e-05,,,,
1553088558.807327783,,,,8.272e-06,,,
1553088561.952096012,3.34867,,,,,,
1553088563.106894404,,1.23247,,,,,
1553088563.106894404,,,0.000209842,,,,
1553088563.106894404,,,,2.068e-05,,,
1553088565.847546684,2.88835,,,,,,
1553088567.262901623,,1.46222,,,,,
1553088567.262901623,,,0.0023244,,,,
1553088567.262901623,,,,0.000191115,,,
1553088569.184097335,2.01352,,,,,,
1553088570.728653415,,1.60487,,,,,
1553088570.728653415,,,0.000209353,,,,
1553088570.728653415,,,,2.2222e-05,,,
1553088573.008274911,2.41276,,,,,,
1553088574.416816371,,1.50283,,,,,
1553088574.416816371,,,0.000146981,,,,
1553088574.416816371,,,,1.3407e-05,,,
1553088576.905107418,2.66179,,,,,,
1553088578.303459336,,1.51546,,,,,
1553088578.303459336,,,0.000282912,,,,
1553088578.303459336,,,,2.6571e-05,,,
1553088580.711303090,2.56544,,,,,,
1553088582.297962815,,1.72912,,,,,
1553088582.297962815,,,0.00025336,,,,
1553088582.297962815,,,,1.8122e-05,,,
1553088583.817674802,1.61821,,,,,,
1553088584.698416506,,0.973232,,,,,
1553088584.698416506,,,0.00021071,,,,
1553088584.698416506,,,,2.4524e-05,,,
1553088586.111162491,1.53315,,,,,,
1553088587.493093228,,1.48521,,,,,
1553088587.493093228,,,0.000174701,,,,
1553088587.493093228,,,,1.8366e-05,,,
1553088589.213507783,1.8419,,,,,,
1553088590.893218317,,1.83794,,,,,
1553088590.893218317,,,0.000160109,,,,
1553088590.893218317,,,,2.0906e-05,,,
1553088592.542861085,1.73546,,,,,,
1553088593.893814431,,1.48107,,,,,
1553088593.893814431,,,0.000146755,,,,
1553088593.893814431,,,,1.3267e-05,,,
1553088595.405467511,1.65645,,,,,,
1553088596.617987483,,1.31751,,,,,
1553088596.617987483,,,0.000157878,,,,
