Duration,noOfRecPlanes,noOfAssocPlanes
1553088542.519552527,16,8
1553088544.757231361,18,8
1553088547.233081297,16,7
1553088549.227939152,23,10
1553088551.234165826,18,9
1553088552.818013646,15,7
1553088554.593964373,15,6
1553088556.055532265,18,6
1553088557.781352510,15,4
1553088560.340689879,21,7
1553088564.444078490,25,8
1553088567.962935994,21,8
1553088571.683974044,21,9
1553088575.459856698,20,10
1553088579.847041103,13,8
1553088583.158570140,19,12
1553088585.575010228,13,8
1553088588.856424337,14,10
1553088591.993614504,12,9
1553088595.056871898,12,8
1553088598.544380977,14,10
1553088601.645567315,14,11
1553088604.691052173,13,9
1553088607.773612113,11,7
1553088610.938445104,11,8
1553088614.353343017,12,8
1553088617.441997243,12,8
1553088620.541878333,14,10
1553088623.302997205,13,9
1553088625.982811081,20,10
1553088629.043236323,21,12
1553088631.545295891,21,9
1553088634.016914036,20,10
1553088636.648920914,17,7
1553088639.559091767,16,7
1553088642.370771538,19,7
1553088645.338972304,20,8
1553088648.953235978,17,7
1553088652.617675249,17,6
1553088655.934944666,15,8
1553088659.342016297,15,7
1553088663.089871410,15,7
1553088666.594815785,18,7
1553088670.321328674,18,6
1553088673.902463154,20,6
1553088677.381653837,17,8
1553088681.026623785,17,7
1553088684.238058831,19,7
1553088687.594748836,18,8
1553088688.080064154,19,7
1553088688.080064154,20,7
