Duration,noOfRecPlanes,noOfAssocPlanes
1553088524.313963134,16,7
1553088525.759922756,16,7
1553088525.759922756,19,7
1553088526.457884677,17,7
1553088526.457884677,18,7
1553088528.561891262,18,7
1553088530.845355226,18,6
1553088533.045873403,19,7
1553088535.181941454,18,6
1553088537.253576014,20,8
1553088539.262976160,18,7
1553088541.644748038,15,7
1553088543.846376303,19,9
1553088546.119662683,21,8
1553088549.324900136,21,9
1553088551.801495481,18,9
1553088553.909921632,14,6
1553088555.521833734,18,8
1553088557.457672296,15,4
1553088559.854784173,19,5
1553088563.011446229,22,6
1553088565.987226289,27,8
1553088568.457625653,21,9
1553088571.093796098,21,8
1553088573.742538602,20,9
1553088576.448969980,14,8
1553088578.979699047,14,7
1553088581.538820981,19,12
1553088583.151752680,17,12
1553088584.730673133,15,9
1553088587.041633435,12,8
1553088589.285367662,12,9
1553088589.860142307,12,9
