Duration,processBuffer,processMap,processCloud
1568115186.921262945,,,1.24236
1568115186.921262945,1.24336,,
1568115187.280598269,,,1.21306
1568115187.280598269,1.21338,,
1568115187.655272693,,,1.25626
1568115187.655272693,1.25654,,
1568115188.038931369,,,1.28542
1568115188.038931369,1.2857,,
1568115188.404308555,,,1.22888
1568115188.404308555,1.22919,,
1568115188.779386903,,,1.25606
1568115188.779386903,1.25664,,
1568115189.135858272,,,1.20647
1568115189.135858272,1.20712,,
1568115189.517837269,,,1.27779
1568115189.517837269,1.27812,,
1568115189.893090478,,,1.2641
1568115189.893090478,1.26439,,
1568115190.273817877,,,1.27524
1568115190.273817877,1.27562,,
1568115190.645261211,,,1.25023
1568115190.645261211,1.25116,,
1568115191.017503080,,,1.26117
1568115191.017503080,1.26153,,
1568115191.416296122,,,1.34585
1568115191.416296122,1.34609,,
1568115191.796827231,,,1.27473
1568115191.796827231,1.27502,,
1568115192.186508551,,,1.31223
1568115192.186508551,1.3125,,
1568115192.573174916,,,1.30826
1568115192.573174916,1.3086,,
1568115192.963034794,,,1.30994
1568115192.963034794,1.31032,,
1568115193.371461916,,,1.37612
1568115193.371461916,1.3765,,
1568115193.850651582,,,1.62762
1568115193.850651582,1.62805,,
1568115194.310047217,,,1.55039
1568115194.310047217,1.55075,,
1568115194.775621354,,,1.56941
1568115194.775621354,1.56999,,
1568115195.168502934,,,1.31146
1568115195.168502934,1.3127,,
1568115195.541329530,,,1.25212
1568115195.541329530,1.25245,,
1568115195.958204891,,,1.41592
1568115195.958204891,1.41663,,
1568115196.387306556,,,1.44911
1568115196.387306556,1.44944,,
1568115196.834633196,,,1.51813
1568115196.834633196,1.51852,,
1568115197.261026661,,,1.44027
1568115197.261026661,1.44053,,
1568115197.755191284,,,1.67602
1568115197.755191284,1.67706,,
1568115198.339285942,,,1.98563
1568115198.339285942,1.98594,,
1568115198.905902092,,,1.92639
1568115198.905902092,1.92677,,
1568115199.606993679,,,2.37347
1568115199.606993679,2.37387,,
1568115200.327887469,,,2.46649
1568115200.327887469,2.46713,,
1568115201.141599886,,,2.78012
1568115201.141599886,2.78075,,
1568115203.215496146,,,7.1059
1568115203.215496146,7.10707,,
1568115204.606064290,,,4.78099
1568115204.606064290,4.78236,,
1568115205.563266571,,,3.2659
1568115205.563266571,3.26667,,
1568115206.395209045,,,2.84777
1568115206.395209045,2.84836,,
1568115207.173473291,,,2.65174
1568115207.173473291,2.65229,,
1568115207.814495883,,,2.194
1568115207.814495883,2.1944,,
1568115208.527912401,,,2.44331
1568115208.527912401,2.44364,,
1568115209.258165888,,,2.49263
1568115209.258165888,2.49314,,
1568115209.928570902,,,2.31026
1568115209.928570902,2.31105,,
1568115210.597334323,,,2.29389
1568115210.597334323,2.29503,,
1568115211.343120414,,,2.5397
1568115211.343120414,2.54036,,
1568115212.018858438,,,2.32014
1568115212.018858438,2.32081,,
1568115212.647968065,,,2.14237
1568115212.647968065,2.14282,,
1568115213.227294981,,,1.96791
1568115213.227294981,1.9683,,
1568115213.762466177,,,1.81236
1568115213.762466177,1.81282,,
1568115214.237297733,,,1.60897
1568115214.237297733,1.60948,,
1568115214.832608305,,,2.03899
1568115214.832608305,2.03978,,
1568115215.402428778,,,1.94524
1568115215.402428778,1.94564,,
1568115216.296192597,,,3.0667
1568115216.296192597,3.06724,,
1568115217.095639239,,,2.75774
1568115217.098659000,2.75944,,
1568115217.892464845,,,2.71391
1568115217.892464845,2.71438,,
1568115218.629298742,,,2.53009
1568115218.629298742,2.53052,,
1568115219.231624085,,,2.04884
1568115219.231624085,2.04996,,
1568115219.782926492,,,1.89609
1568115219.782926492,1.89644,,
1568115220.329821047,,,1.86025
1568115220.329821047,1.86068,,
1568115220.949535056,,,2.12947
1568115220.949535056,2.12989,,
1568115221.546182788,,,2.0386
1568115221.546182788,2.03895,,
1568115222.056018654,,,1.73273
1568115222.056018654,1.73304,,
1568115222.558243774,,,1.71372
1568115222.558243774,1.71526,,
1568115223.066138078,,,1.73335
1568115223.066138078,1.7338,,
1568115223.505113860,,,1.49878
1568115223.505113860,1.4991,,
1568115223.976369958,,,1.59482
1568115223.976369958,1.59524,,
1568115224.492314636,,,1.77857
1568115224.492314636,1.779,,
1568115225.027735270,,,1.82448
1568115225.030756762,1.8251,,
1568115225.754129662,,,2.50701
1568115225.754129662,2.50741,,
1568115226.490841481,,,2.51827
1568115226.490841481,2.51873,,
1568115227.145408395,,,2.25256
1568115227.145408395,2.25291,,
1568115227.731960759,,,1.99805
1568115227.731960759,1.99847,,
1568115228.314164220,,,1.99566
1568115228.314164220,1.99611,,
1568115228.822487756,,,1.72092
1568115228.822487756,1.7214,,
1568115229.302444785,,,1.66107
1568115229.302444785,1.66153,,
1568115229.823233759,,,1.75428
1568115229.823233759,1.75468,,
1568115230.374736066,,,1.89828
1568115230.374736066,1.8986,,
1568115230.962275714,,,2.00332
1568115230.962275714,2.00376,,
1568115231.750697323,,,2.72249
1568115231.750697323,2.723,,
1568115232.519830928,,,2.63887
1568115232.519830928,2.63931,,
1568115233.177779732,,,2.25992
