Duration,noOfRecPlanes,noOfAssocPlanes
1568115209.890353394,52,12
1568115213.732732467,43,14
1568115217.660722401,51,15
1568115222.428933975,41,14
1568115231.970876511,51,13
1568115244.396437020,47,12
1568115251.235589455,45,17
1568115262.609707314,40,19
1568115271.439572999,46,18
1568115278.149813930,44,17
1568115288.327305080,46,20
1568115298.194065290,38,14
1568115306.704102276,51,19
1568115319.907230962,39,17
1568115328.190115272,38,14
1568115336.833950425,42,16
1568115342.382359931,41,11
1568115347.122341424,45,16
1568115353.997227411,55,19
1568115360.730768421,52,13
1568115363.469097981,68,18
