Duration,noOfRecPlanes,noOfAssocPlanes
1568115182.054084737,42,10
1568115182.435499278,44,11
1568115182.811050111,43,11
1568115183.197815933,47,11
1568115183.551381027,44,9
1568115183.953287489,45,11
1568115184.309697349,44,10
1568115184.687938242,39,9
1568115185.047201899,43,11
1568115185.418567289,45,11
1568115185.781740671,46,11
1568115186.132257561,47,10
1568115186.518875882,48,11
1568115186.896498469,41,10
1568115187.286112076,39,10
1568115187.709516421,45,9
1568115188.117183031,44,11
1568115188.500889159,47,10
1568115188.902529384,45,10
1568115189.292038719,44,11
1568115189.713955467,46,10
1568115190.194171614,41,10
1568115190.703540955,41,9
1568115191.387347013,42,11
1568115192.111023396,44,11
1568115192.812058068,40,9
1568115193.542123425,44,10
1568115194.276705815,41,10
1568115194.965577586,44,11
1568115195.660955987,46,11
1568115196.365255407,47,11
1568115197.046689277,44,11
1568115197.745090567,45,10
1568115198.431081157,46,12
1568115199.128882390,42,11
1568115199.835809974,43,11
1568115200.509768383,42,11
1568115201.224063685,42,11
1568115201.918886575,46,10
1568115202.645028850,44,10
1568115203.367481198,44,11
1568115204.080042062,47,11
1568115204.816350817,40,10
1568115205.250530946,43,10
