Duration,noOfRecPlanes,noOfAssocPlanes
1568115183.761314274,49,12
1568115184.166457091,46,11
1568115184.570598097,43,10
1568115184.957437163,44,11
1568115185.344894680,43,11
1568115185.746852299,40,11
1568115186.143669633,41,10
1568115186.528789227,43,10
1568115186.923107681,44,10
1568115187.329973957,44,12
1568115187.732731138,44,10
1568115188.126457803,46,11
1568115188.521074328,45,12
1568115188.887433484,47,10
1568115189.278281475,43,12
1568115189.665544812,46,10
1568115190.071055723,42,11
1568115190.464934570,43,11
1568115190.873538427,43,11
1568115191.293388102,44,9
1568115191.692724723,43,11
1568115192.109840380,44,11
1568115192.514610798,45,11
1568115192.916869459,49,11
1568115193.301523723,44,9
1568115193.706317846,41,9
1568115194.124331178,42,10
1568115194.531947252,40,10
1568115194.936894655,42,11
1568115195.367152989,40,10
1568115195.860550648,41,10
1568115196.363787155,41,10
1568115196.821526970,41,10
1568115197.229915264,42,11
1568115197.643570127,44,11
1568115198.036175218,42,11
1568115198.427669984,43,11
1568115198.820528208,42,11
1568115199.243313680,43,10
1568115199.679546977,40,11
1568115200.138818954,42,11
1568115200.701913595,42,9
1568115201.263280242,45,12
1568115201.728499948,43,12
1568115202.213423651,42,11
1568115202.678729698,43,10
1568115203.104576114,42,11
1568115203.537636695,42,10
1568115203.945030304,43,10
1568115204.336283221,47,11
1568115204.750093272,43,10
1568115205.172155763,41,10
1568115205.613093170,42,10
1568115206.064694448,44,11
1568115206.660368635,43,10
1568115207.356069984,45,12
1568115208.291162539,44,10
1568115209.006432088,45,13
1568115209.695479514,43,11
1568115210.256146202,46,12
1568115210.851605167,44,11
1568115211.325767030,46,12
1568115211.789164455,45,11
1568115212.238346920,47,10
1568115212.641622051,49,12
1568115213.074227077,48,13
1568115213.494955476,47,12
1568115213.921254694,50,12
1568115214.346591181,47,11
1568115214.806872158,49,13
1568115215.256147624,48,9
1568115215.687953158,47,13
1568115216.290632587,45,14
1568115216.911437912,44,14
1568115217.832251900,44,14
1568115218.624851406,49,13
1568115219.462225340,40,12
1568115220.045599880,45,11
1568115220.624357929,48,11
1568115221.150643892,44,11
1568115221.675441908,47,11
1568115222.279966117,51,12
1568115222.882128087,52,12
1568115223.714132587,51,12
1568115224.538358263,51,12
1568115225.271281739,45,10
1568115225.857914799,48,11
1568115226.455973212,46,10
1568115227.396712488,41,10
1568115228.136971530,44,9
1568115228.818038801,37,10
1568115229.369732070,49,11
1568115230.001473575,57,11
1568115230.675524193,50,11
1568115231.344337818,53,11
1568115231.929658316,52,11
1568115232.484393259,51,11
1568115233.185140420,43,10
1568115233.792936044,48,11
1568115234.359075642,49,11
1568115234.946440587,47,11
1568115235.617670854,45,11
1568115236.382558297,44,10
1568115237.373766814,45,13
1568115238.096327593,50,14
1568115238.749931083,48,13
1568115239.321053722,49,13
1568115239.900586628,49,13
1568115240.388580382,46,15
1568115240.867189281,45,16
1568115241.425252470,43,14
1568115242.029805916,44,12
1568115242.927156901,50,13
1568115243.733285196,48,10
1568115244.471826701,48,13
1568115245.360889646,47,13
1568115246.140874097,42,12
1568115246.938831912,46,14
1568115247.772544097,45,14
1568115249.304118806,42,15
1568115250.535439051,46,16
1568115251.424345876,41,16
1568115252.181898783,45,18
1568115252.899267555,41,16
1568115253.414389848,42,17
1568115253.961168042,39,12
1568115254.460017783,41,13
1568115254.951965047,39,14
1568115255.033526408,42,15
