Duration,processBuffer,processMap,processCloud
1568115185.955295217,,,3.73405
1568115185.955295217,3.74198,,
1568115189.773713576,,,3.89933
1568115189.783773956,3.90664,,
1568115193.668190540,,,3.99481
1568115193.678257774,4.00629,,
1568115197.665539008,,,4.11526
1568115197.675596316,4.11988,,
1568115201.503693859,,,3.98479
1568115201.513760133,3.99168,,
1568115205.552410640,,,4.19119
1568115205.572558462,4.20748,,
1568115211.998341238,,,6.65373
1568115211.998341238,6.66365,,
1568115217.992099912,,,6.18844
1568115218.002165967,6.19958,,
1568115225.757336140,,,8.03551
1568115225.767402495,8.04682,,
1568115232.735378923,,,7.20586
1568115232.745441693,7.21573,,
1568115239.547148618,,,7.05759
1568115239.557210672,7.06677,,
1568115246.876502332,,,7.60199
1568115246.886570269,7.61351,,
1568115253.629979006,,,7.01434
1568115253.640063402,7.028,,
1568115259.948033785,,,6.57784
1568115259.958105233,6.59286,,
1568115265.559935129,,,5.83587
1568115265.569937883,5.84461,,
1568115272.665814497,,,7.39029
1568115272.687546875,7.41314,,
1568115284.870432204,,,12.6445
1568115284.880499374,12.6575,,
1568115291.139179077,,,6.476
1568115291.149541286,6.49338,,
1568115298.331673166,,,7.45314
1568115298.341736739,7.46564,,
1568115305.760597320,,,7.71771
1568115305.770673690,7.72908,,
1568115311.531205815,,,6.06208
1568115311.541725728,6.07676,,
1568115316.747812634,,,5.44495
1568115316.757879970,5.45577,,
1568115321.064227766,,,4.5618
1568115321.074354382,4.5723,,
1568115325.741987849,,,4.91184
1568115325.752069342,4.92644,,
1568115332.213143934,,,6.8337
1568115332.233521623,6.85701,,
1568115343.304083120,,,11.5308
1568115343.314162907,11.5408,,
1568115352.937419160,,,10.0715
1568115352.947476862,10.0826,,
1568115359.947762496,,,7.27051
1568115359.960581219,7.28951,,
1568115371.339751400,,,11.7997
1568115371.359892044,11.8182,,
1568115379.176750682,,,8.26454
1568115379.196905187,8.27771,,
1568115391.324749479,,,12.7459
1568115391.345425675,12.777,,
1568115392.570893501,,,5.96541
1568115392.570893501,5.97277,,
1568115392.570893501,,,4.83334
1568115392.570893501,4.84018,,
