Duration,noOfRecPlanes,noOfAssocPlanes
1568115185.955295217,44,13
1568115189.773713576,43,13
1568115193.668190540,45,13
1568115197.665539008,45,14
1568115201.503693859,45,13
1568115205.552410640,45,13
1568115211.998341238,52,14
1568115217.992099912,50,14
1568115225.757336140,43,14
1568115232.735378923,46,11
1568115239.547148618,49,12
1568115246.876502332,44,14
1568115253.629979006,44,16
1568115259.948033785,42,18
1568115265.559935129,43,18
1568115272.665814497,52,19
1568115284.870432204,48,19
1568115291.139179077,39,16
1568115298.331673166,42,16
1568115305.760597320,55,22
1568115311.531205815,41,17
1568115316.747812634,43,17
1568115321.064227766,45,16
1568115325.741987849,38,14
1568115332.213143934,52,17
1568115343.304083120,45,11
1568115352.937419160,45,18
1568115359.947762496,53,11
1568115371.339751400,68,18
1568115379.176750682,46,13
1568115391.324749479,41,11
1568115392.570893501,42,13
1568115392.570893501,41,13
