Duration,segmentation,association,deviation,average,segmentationMap,associationMap,deviationMap
1553088523.726616021,1.40564,,,,,,
1553088524.313963134,,0.603058,,,,,
1553088524.313963134,,,0.000234503,,,,
1553088524.313963134,,,,1.8503e-05,,,
1553088525.719589075,1.44002,,,,,,
1553088525.759922756,,0.688155,,,,,
1553088525.759922756,,,0.000125046,,,,
1553088525.759922756,,,,8.776e-06,,,
1553088525.759922756,1.06066,,,,,,
1553088525.759922756,,0.582132,,,,,
1553088525.759922756,,,0.000148874,,,,
1553088525.759922756,,,,9.549e-06,,,
1553088526.457884677,1.18991,,,,,,
1553088526.457884677,,0.573167,,,,,
1553088526.457884677,,,0.000114558,,,,
1553088526.457884677,,,,7.931e-06,,,
1553088526.457884677,1.07121,,,,,,
1553088526.457884677,,0.575145,,,,,
1553088526.457884677,,,7.5343e-05,,,,
1553088526.457884677,,,,6.399e-06,,,
1553088527.928422637,1.37255,,,,,,
1553088528.561891262,,0.665082,,,,,
1553088528.561891262,,,0.000151429,,,,
1553088528.561891262,,,,8.546e-06,,,
1553088530.254503151,1.76044,,,,,,
1553088530.845355226,,0.627236,,,,,
1553088530.845355226,,,7.0906e-05,,,,
1553088530.845355226,,,,6.961e-06,,,
1553088532.416288235,1.64823,,,,,,
1553088533.045873403,,0.665315,,,,,
1553088533.045873403,,,5.4352e-05,,,,
1553088533.045873403,,,,4.461e-06,,,
1553088534.522018802,1.56825,,,,,,
1553088535.181941454,,0.699054,,,,,
1553088535.181941454,,,0.000162905,,,,
1553088535.181941454,,,,1.1915e-05,,,
1553088536.583458146,1.49941,,,,,,
1553088537.253576014,,0.708406,,,,,
1553088537.253576014,,,7.5867e-05,,,,
1553088537.253576014,,,,7.023e-06,,,
1553088538.639520576,1.47589,,,,,,
1553088539.262976160,,0.671855,,,,,
1553088539.262976160,,,7.9122e-05,,,,
1553088539.262976160,,,,6.361e-06,,,
1553088541.048326419,1.92024,,,,,,
1553088541.644748038,,0.635261,,,,,
1553088541.644748038,,,0.000104802,,,,
1553088541.644748038,,,,4.234e-06,,,
1553088543.231095740,1.6944,,,,,,
1553088543.846376303,,0.667263,,,,,
1553088543.846376303,,,0.000183787,,,,
1553088543.846376303,,,,1.093e-05,,,
1553088545.378887814,1.6463,,,,,,
1553088546.119662683,,0.801652,,,,,
1553088546.119662683,,,0.000306872,,,,
1553088546.119662683,,,,1.8025e-05,,,
1553088548.238886957,2.27358,,,,,,
1553088549.324900136,,1.17557,,,,,
1553088549.324900136,,,0.000104988,,,,
1553088549.324900136,,,,8.197e-06,,,
1553088551.037986932,1.8504,,,,,,
1553088551.801495481,,0.839092,,,,,
1553088551.811599615,,,0.000382739,,,,
1553088551.811599615,,,,1.7725e-05,,,
1553088553.414156210,1.73121,,,,,,
1553088553.909921632,,0.553679,,,,,
1553088553.909921632,,,0.000157265,,,,
1553088553.909921632,,,,2.0362e-05,,,
1553088554.984638632,1.15104,,,,,,
1553088555.521833734,,0.595451,,,,,
1553088555.521833734,,,7.4573e-05,,,,
1553088555.521833734,,,,1.034e-05,,,
1553088556.882640355,1.42827,,,,,,
1553088557.457672296,,0.619556,,,,,
1553088557.457672296,,,0.00015332,,,,
1553088557.457672296,,,,1.6109e-05,,,
1553088559.100494250,1.79789,,,,,,
1553088559.854784173,,0.821158,,,,,
1553088559.854784173,,,7.6917e-05,,,,
1553088559.854784173,,,,1.2987e-05,,,
1553088562.123389449,2.41418,,,,,,
1553088563.011446229,,0.953413,,,,,
1553088563.011446229,,,8.2441e-05,,,,
1553088563.011446229,,,,8.999e-06,,,
1553088564.726660176,1.82458,,,,,,
1553088565.997300058,,1.35398,,,,,
1553088565.997300058,,,0.000103052,,,,
1553088565.997300058,,,,9.143e-06,,,
1553088567.426052033,1.51284,,,,,,
1553088568.457625653,,1.07965,,,,,
1553088568.457625653,,,0.000126859,,,,
1553088568.457625653,,,,9.956e-06,,,
1553088569.992591189,1.67175,,,,,,
1553088571.093796098,,1.1989,,,,,
1553088571.093796098,,,0.00011151,,,,
1553088571.093796098,,,,1.1562e-05,,,
1553088572.606717730,1.60361,,,,,,
1553088573.742538602,,1.24594,,,,,
1553088573.742538602,,,0.000181826,,,,
1553088573.742538602,,,,1.2104e-05,,,
1553088575.466602620,1.8624,,,,,,
1553088576.448969980,,1.07752,,,,,
1553088576.448969980,,,8.7104e-05,,,,
1553088576.448969980,,,,1.3662e-05,,,
1553088577.916017043,1.57402,,,,,,
1553088578.989778200,,1.17651,,,,,
1553088578.989778200,,,0.000158758,,,,
1553088578.989778200,,,,1.3236e-05,,,
1553088580.574934385,1.77218,,,,,,
1553088581.538820981,,1.06333,,,,,
1553088581.538820981,,,0.00013999,,,,
1553088581.538820981,,,,9.913e-06,,,
1553088582.431769129,0.959203,,,,,,
1553088583.151752680,,0.780443,,,,,
1553088583.151752680,,,0.000145939,,,,
1553088583.151752680,,,,1.3681e-05,,,
1553088583.888401884,0.829023,,,,,,
1553088584.730673133,,0.927485,,,,,
1553088584.730673133,,,0.000206728,,,,
1553088584.730673133,,,,3.7468e-05,,,
1553088586.041256307,1.39567,,,,,,
1553088587.041633435,,1.10992,,,,,
1553088587.041633435,,,0.000270368,,,,
1553088587.041633435,,,,1.5911e-05,,,
1553088588.189173643,1.24959,,,,,,
1553088589.285367662,,1.21263,,,,,
1553088589.285367662,,,9.5471e-05,,,,
1553088589.285367662,,,,9.688e-06,,,
1553088589.860142307,1.10896,,,,,,
1553088589.860142307,,0.944983,,,,,
1553088589.860142307,,,0.000100324,,,,
1553088589.860142307,,,,7.785e-06,,,
