Duration,segmentation,association,deviation,average,segmentationMap,associationMap,deviationMap
1553088516.497476445,1.2771,,,,,,
1553088517.081545991,,0.599817,,,,,
1553088517.081545991,,,9.5111e-05,,,,
1553088517.081545991,,,,1.1182e-05,,,
1553088518.168497641,1.34738,,,,,,
1553088518.168497641,,0.64076,,,,,
1553088518.168497641,,,5.0751e-05,,,,
1553088518.168497641,,,,4.93e-06,,,
1553088518.168497641,1.27034,,,,,,
1553088518.168497641,,0.561412,,,,,
1553088518.168497641,,,6.7003e-05,,,,
1553088518.168497641,,,,4.137e-06,,,
1553088519.741251898,1.45593,,,,,,
1553088520.357739603,,0.62745,,,,,
1553088520.357739603,,,0.000174316,,,,
1553088520.357739603,,,,1.2336e-05,,,
1553088521.659968933,1.35192,,,,,,
1553088522.436609403,,0.81257,,,,,
1553088522.436609403,,,6.8828e-05,,,,
1553088522.436609403,,,,5.49e-06,,,
1553088524.087642851,1.73339,,,,,,
1553088524.637916560,,0.584907,,,,,
1553088524.637916560,,,0.000179243,,,,
1553088524.637916560,,,,1.5858e-05,,,
1553088526.172976099,1.61482,,,,,,
1553088526.798295565,,0.675824,,,,,
1553088526.798295565,,,6.9773e-05,,,,
1553088526.798295565,,,,7.031e-06,,,
1553088528.190579690,1.47101,,,,,,
1553088528.836970974,,0.689739,,,,,
1553088528.836970974,,,7.5078e-05,,,,
1553088528.836970974,,,,7.274e-06,,,
1553088530.383165879,1.65373,,,,,,
1553088531.021573587,,0.688114,,,,,
1553088531.021573587,,,4.1919e-05,,,,
1553088531.021573587,,,,5.373e-06,,,
1553088532.727316250,1.82747,,,,,,
1553088533.317736252,,0.637734,,,,,
1553088533.317736252,,,8.5604e-05,,,,
1553088533.317736252,,,,8.306e-06,,,
1553088535.157024372,1.99021,,,,,,
1553088535.722682073,,0.606386,,,,,
1553088535.722682073,,,6.3958e-05,,,,
1553088535.722682073,,,,6.217e-06,,,
1553088537.187418443,1.59342,,,,,,
1553088537.841250260,,0.70648,,,,,
1553088537.841250260,,,6.3043e-05,,,,
1553088537.841250260,,,,5.472e-06,,,
1553088539.572278728,1.86946,,,,,,
1553088540.193756743,,0.678717,,,,,
1553088540.193756743,,,5.7893e-05,,,,
1553088540.193756743,,,,5.413e-06,,,
1553088541.995640700,1.96483,,,,,,
1553088542.769908176,,0.856888,,,,,
1553088542.769908176,,,9.3221e-05,,,,
1553088542.769908176,,,,6.859e-06,,,
1553088544.612548575,1.96253,,,,,,
1553088545.473440444,,0.939483,,,,,
1553088545.473440444,,,0.000119211,,,,
1553088545.473440444,,,,7.775e-06,,,
1553088547.986481760,2.69549,,,,,,
1553088549.558621664,,1.69872,,,,,
1553088549.558621664,,,0.000132186,,,,
1553088549.558621664,,,,1.1128e-05,,,
1553088552.281192276,2.91405,,,,,,
1553088553.355951148,,1.16175,,,,,
1553088553.355951148,,,0.000107688,,,,
1553088553.355951148,,,,1.3394e-05,,,
1553088555.347033887,2.16129,,,,,,
1553088556.028650736,,0.726139,,,,,
1553088556.028650736,,,0.00014818,,,,
1553088556.028650736,,,,2.1108e-05,,,
1553088557.779914522,1.86325,,,,,,
1553088558.608977904,,0.894196,,,,,
1553088558.608977904,,,8.9917e-05,,,,
1553088558.608977904,,,,7.9e-06,,,
1553088561.287427947,2.87854,,,,,,
1553088562.408093438,,1.21909,,,,,
1553088562.408093438,,,8.3677e-05,,,,
1553088562.408093438,,,,9.577e-06,,,
1553088565.163433910,2.90874,,,,,,
1553088566.633165051,,1.56761,,,,,
1553088566.633165051,,,8.8986e-05,,,,
1553088566.633165051,,,,8.346e-06,,,
1553088568.580985183,2.0458,,,,,,
1553088570.098977655,,1.55421,,,,,
1553088570.098977655,,,9.3463e-05,,,,
1553088570.098977655,,,,9.814e-06,,,
1553088572.624983244,2.62386,,,,,,
1553088574.157543147,,1.60295,,,,,
1553088574.157543147,,,9.7458e-05,,,,
1553088574.157543147,,,,7.874e-06,,,
1553088576.584471204,2.49756,,,,,,
1553088577.950107785,,1.38295,,,,,
1553088577.950107785,,,8.529e-05,,,,
1553088577.950107785,,,,9.099e-06,,,
1553088580.425716949,2.47114,,,,,,
1553088581.990062071,,1.58152,,,,,
1553088581.990062071,,,6.4239e-05,,,,
1553088581.990062071,,,,8.682e-06,,,
