Duration,segmentation,association,deviation,average,segmentationMap,associationMap,deviationMap
1568115183.235162334,0.500128,,,,,,
1568115183.443504958,,0.696643,,,,,
1568115183.443504958,,,6.9629e-05,,,,
1568115183.443504958,,,,6.59e-06,,,
1568115183.591459940,0.502349,,,,,,
1568115183.809798496,,0.72836,,,,,
1568115183.809798496,,,0.000144743,,,,
1568115183.809798496,,,,3.5104e-05,,,
1568115183.975899571,0.560057,,,,,,
1568115184.175612924,,0.670581,,,,,
1568115184.175612924,,,0.000217174,,,,
1568115184.175612924,,,,1.4459e-05,,,
1568115184.312610942,0.455113,,,,,,
1568115184.522703308,,0.707718,,,,,
1568115184.522703308,,,3.4204e-05,,,,
1568115184.522703308,,,,6.424e-06,,,
1568115184.682755325,0.544387,,,,,,
1568115184.891171848,,0.69973,,,,,
1568115184.891171848,,,4.5468e-05,,,,
1568115184.891171848,,,,8.134e-06,,,
1568115185.042905608,0.502069,,,,,,
1568115185.254253626,,0.720547,,,,,
1568115185.254253626,,,2.924e-05,,,,
1568115185.254253626,,,,5.808e-06,,,
1568115185.408958670,0.512878,,,,,,
1568115185.617312845,,0.708303,,,,,
1568115185.617312845,,,0.00012696,,,,
1568115185.617312845,,,,1.0325e-05,,,
1568115185.787089452,0.569449,,,,,,
1568115186.001674845,,0.724537,,,,,
1568115186.001674845,,,4.0162e-05,,,,
1568115186.001674845,,,,1.1431e-05,,,
1568115186.170835953,0.566497,,,,,,
1568115186.386257397,,0.721101,,,,,
1568115186.386257397,,,0.000128198,,,,
1568115186.386257397,,,,1.2293e-05,,,
1568115186.522723744,0.457293,,,,,,
1568115186.731174407,,0.707982,,,,,
1568115186.731174407,,,0.000219453,,,,
1568115186.731174407,,,,2.7865e-05,,,
1568115186.883492141,0.509736,,,,,,
1568115187.101648531,,0.730629,,,,,
1568115187.101648531,,,5.208e-05,,,,
1568115187.101648531,,,,6.4e-06,,,
1568115187.244801074,0.488405,,,,,,
1568115187.450170251,,0.692184,,,,,
1568115187.450170251,,,0.000116054,,,,
1568115187.450170251,,,,1.1899e-05,,,
1568115187.605403945,0.517991,,,,,,
1568115187.817005240,,0.710654,,,,,
1568115187.817005240,,,5.1091e-05,,,,
1568115187.817005240,,,,8.098e-06,,,
1568115187.995190767,0.602601,,,,,,
1568115188.203598769,,0.70102,,,,,
1568115188.203598769,,,3.8547e-05,,,,
1568115188.203598769,,,,6.54e-06,,,
1568115188.372871885,0.571144,,,,,,
1568115188.581336520,,0.701423,,,,,
1568115188.581336520,,,4.3963e-05,,,,
1568115188.581336520,,,,8.188e-06,,,
1568115188.717306273,0.457408,,,,,,
1568115188.932256601,,0.725366,,,,,
1568115188.932256601,,,3.1359e-05,,,,
1568115188.932256601,,,,7.226e-06,,,
1568115189.096337358,0.548769,,,,,,
1568115189.308359721,,0.715961,,,,,
1568115189.308359721,,,4.9601e-05,,,,
1568115189.308359721,,,,9.587e-06,,,
1568115189.459917094,0.514113,,,,,,
1568115189.674562107,,0.725883,,,,,
1568115189.674562107,,,4.463e-05,,,,
1568115189.674562107,,,,8.406e-06,,,
1568115189.822524545,0.493582,,,,,,
1568115190.031225767,,0.707948,,,,,
1568115190.031225767,,,4.4284e-05,,,,
1568115190.031225767,,,,6.438e-06,,,
1568115190.201920165,0.570567,,,,,,
1568115190.446917681,,0.827797,,,,,
1568115190.446917681,,,4.9026e-05,,,,
1568115190.446917681,,,,8.063e-06,,,
1568115190.656084907,0.705109,,,,,,
1568115190.919786064,,0.890072,,,,,
1568115190.919786064,,,4.9021e-05,,,,
1568115190.919786064,,,,7.814e-06,,,
1568115191.111209867,0.63516,,,,,,
1568115191.374265026,,0.891347,,,,,
1568115191.374265026,,,5.2739e-05,,,,
1568115191.374265026,,,,1.1269e-05,,,
1568115191.577321275,0.683756,,,,,,
1568115191.950171269,,1.27697,,,,,
1568115191.950171269,,,6.038e-05,,,,
1568115191.950171269,,,,1.309e-05,,,
1568115192.261444595,1.0438,,,,,,
1568115192.640450688,,1.29219,,,,,
1568115192.640450688,,,6.1999e-05,,,,
1568115192.640450688,,,,1.0823e-05,,,
1568115193.303718977,2.26752,,,,,,
1568115194.227921313,,3.17343,,,,,
1568115194.227921313,,,0.000101133,,,,
1568115194.227921313,,,,2.0717e-05,,,
1568115194.952875991,2.48276,,,,,,
1568115195.614101879,,2.27566,,,,,
1568115195.614101879,,,7.7295e-05,,,,
1568115195.614101879,,,,1.3965e-05,,,
1568115196.079414491,1.59853,,,,,,
