Duration,segmentation,association,deviation,average,segmentationMap,associationMap,deviationMap
1568115183.588103653,0.72965,,,,,,
1568115183.761314274,,0.573683,,,,,
1568115183.761314274,,,5.3124e-05,,,,
1568115183.761314274,,,,6.003e-06,,,
1568115183.990868298,0.764466,,,,,,
1568115184.166457091,,0.583279,,,,,
1568115184.166457091,,,5.4723e-05,,,,
1568115184.166457091,,,,1.5356e-05,,,
1568115184.410146870,0.811432,,,,,,
1568115184.570598097,,0.542538,,,,,
1568115184.570598097,,,3.5695e-05,,,,
1568115184.570598097,,,,6.304e-06,,,
1568115184.791292252,0.730526,,,,,,
1568115184.957437163,,0.563455,,,,,
1568115184.957437163,,,4.5098e-05,,,,
1568115184.957437163,,,,6.862e-06,,,
1568115185.175679156,0.723807,,,,,,
1568115185.344894680,,0.564521,,,,,
1568115185.344894680,,,4.2478e-05,,,,
1568115185.344894680,,,,8.221e-06,,,
1568115185.580568153,0.789404,,,,,,
1568115185.746852299,,0.563837,,,,,
1568115185.746852299,,,3.5355e-05,,,,
1568115185.746852299,,,,5.946e-06,,,
1568115185.971531607,0.748248,,,,,,
1568115186.143669633,,0.572916,,,,,
1568115186.143669633,,,4.6513e-05,,,,
1568115186.143669633,,,,7.815e-06,,,
1568115186.371162062,0.759324,,,,,,
1568115186.528789227,,0.529852,,,,,
1568115186.528789227,,,6.7552e-05,,,,
1568115186.528789227,,,,9.82e-06,,,
1568115186.766022663,0.791205,,,,,,
1568115186.923107681,,0.525551,,,,,
1568115186.923107681,,,3.6944e-05,,,,
1568115186.923107681,,,,6.186e-06,,,
1568115187.165133751,0.813346,,,,,,
1568115187.329973957,,0.550896,,,,,
1568115187.329973957,,,0.000202917,,,,
1568115187.329973957,,,,2.8549e-05,,,
1568115187.560601104,0.769983,,,,,,
1568115187.732731138,,0.571951,,,,,
1568115187.732731138,,,0.000132976,,,,
1568115187.732731138,,,,1.5978e-05,,,
1568115187.959543150,0.763573,,,,,,
1568115188.126457803,,0.554639,,,,,
1568115188.126457803,,,0.000142,,,,
1568115188.126457803,,,,9.666e-06,,,
1568115188.348219445,0.73963,,,,,,
1568115188.521074328,,0.579407,,,,,
1568115188.521074328,,,9.8592e-05,,,,
1568115188.521074328,,,,1.1002e-05,,,
1568115188.715288644,0.652882,,,,,,
1568115188.887433484,,0.569924,,,,,
1568115188.887433484,,,4.2305e-05,,,,
1568115188.887433484,,,,7.409e-06,,,
1568115189.111512663,0.749,,,,,,
1568115189.278281475,,0.568224,,,,,
1568115189.278281475,,,4.5688e-05,,,,
1568115189.278281475,,,,7.067e-06,,,
1568115189.499360690,0.733913,,,,,,
1568115189.665544812,,0.56194,,,,,
1568115189.665544812,,,4.9201e-05,,,,
1568115189.665544812,,,,7.682e-06,,,
1568115189.898168902,0.774279,,,,,,
1568115190.071055723,,0.581116,,,,,
1568115190.071055723,,,8.3405e-05,,,,
1568115190.071055723,,,,1.1665e-05,,,
1568115190.292422464,0.729965,,,,,,
1568115190.464934570,,0.588973,,,,,
