Duration,processBuffer,processMap,processCloud
1568115183.761314274,,,1.30358
1568115183.761314274,1.31236,,
1568115184.166457091,,,1.34799
1568115184.166457091,1.35705,,
1568115184.570598097,,,1.35423
1568115184.573624087,1.36367,,
1568115184.957437163,,,1.29426
1568115184.960458427,1.29841,,
1568115185.344894680,,,1.28864
1568115185.344894680,1.29339,,
1568115185.746852299,,,1.35345
1568115185.749873601,1.35869,,
1568115186.143669633,,,1.32142
1568115186.143669633,1.32587,,
1568115186.528789227,,,1.28952
1568115186.531812023,1.29887,,
1568115186.923107681,,,1.31696
1568115186.923107681,1.3211,,
1568115187.329973957,,,1.36504
1568115187.329973957,1.372,,
1568115187.732731138,,,1.34236
1568115187.732731138,1.3489,,
1568115188.126457803,,,1.31868
1568115188.126457803,1.32439,,
1568115188.521074328,,,1.31943
1568115188.521074328,1.32476,,
1568115188.887433484,,,1.22306
1568115188.887433484,1.22689,,
1568115189.278281475,,,1.31751
1568115189.281302597,1.32118,,
1568115189.665544812,,,1.29617
1568115189.668576868,1.30109,,
1568115190.071055723,,,1.35575
1568115190.074072221,1.36366,,
1568115190.467956874,,,1.31941
1568115190.467956874,1.32579,,
1568115190.873538427,,,1.36587
1568115190.876560790,1.36986,,
1568115191.293388102,,,1.40269
1568115191.293388102,1.40786,,
1568115191.692724723,,,1.33219
1568115191.692724723,1.33545,,
1568115192.109840380,,,1.39744
1568115192.109840380,1.40178,,
1568115192.514610798,,,1.35595
1568115192.514610798,1.36223,,
1568115192.916869459,,,1.34578
1568115192.916869459,1.35252,,
1568115193.301523723,,,1.28411
1568115193.301523723,1.28844,,
1568115193.706317846,,,1.36014
1568115193.709337201,1.36434,,
1568115194.124331178,,,1.39446
1568115194.124331178,1.39899,,
1568115194.531947252,,,1.36513
1568115194.531947252,1.36873,,
1568115194.936894655,,,1.36343
1568115194.939912103,1.3678,,
1568115195.367152989,,,1.43632
1568115195.367152989,1.44154,,
1568115195.860550648,,,1.65368
1568115195.860550648,1.663,,
1568115196.366804997,,,1.69295
1568115196.366804997,1.6981,,
1568115196.821526970,,,1.52699
1568115196.824548063,1.53532,,
1568115197.229915264,,,1.36819
1568115197.232935642,1.37317,,
1568115197.643570127,,,1.38787
1568115197.646593826,1.39572,,
1568115198.036175218,,,1.30379
1568115198.036175218,1.30829,,
1568115198.427669984,,,1.31249
1568115198.427669984,1.31663,,
1568115198.820528208,,,1.31925
1568115198.823553065,1.32336,,
1568115199.243313680,,,1.41134
1568115199.243313680,1.41616,,
1568115199.679546977,,,1.465
1568115199.682598497,1.47307,,
1568115200.138818954,,,1.53074
1568115200.141836268,1.54147,,
1568115200.701913595,,,1.89032
1568115200.704932422,1.89615,,
1568115201.266309435,,,1.88803
1568115201.266309435,1.89568,,
1568115201.728499948,,,1.54713
1568115201.728499948,1.55228,,
1568115202.213423651,,,1.63213
1568115202.216448429,1.64317,,
1568115202.678729698,,,1.54481
1568115202.678729698,1.55335,,
1568115203.104576114,,,1.42991
1568115203.107596410,1.43538,,
1568115203.537636695,,,1.44476
1568115203.540654173,1.45179,,
1568115203.945030304,,,1.36368
1568115203.948047271,1.36935,,
1568115204.336283221,,,1.30419
1568115204.336283221,1.30879,,
1568115204.750093272,,,1.3925
1568115204.753113593,1.39701,,
1568115205.172155763,,,1.41382
1568115205.175179040,1.42061,,
1568115205.613093170,,,1.46955
1568115205.613093170,1.47647,,
1568115206.064694448,,,1.50548
1568115206.064694448,1.51096,,
1568115206.663389461,,,2.01055
1568115206.663389461,2.01913,,
1568115207.356069984,,,2.32562
1568115207.359095673,2.33482,,
1568115208.291162539,,,3.14728
1568115208.291162539,3.15431,,
1568115209.006432088,,,2.4097
1568115209.009451038,2.41771,,
1568115209.695479514,,,2.30471
1568115209.695479514,2.31262,,
1568115210.256146202,,,1.88278
1568115210.262193060,1.89981,,
1568115210.854627312,,,1.99796
1568115210.857652062,2.01476,,
1568115211.325767030,,,1.57457
1568115211.325767030,1.57968,,
1568115211.789164455,,,1.54958
1568115211.789164455,1.55543,,
1568115212.238346920,,,1.50888
1568115212.241365205,1.51465,,
1568115212.641622051,,,1.3425
1568115212.641622051,1.34662,,
1568115213.074227077,,,1.45146
1568115213.074227077,1.4558,,
1568115213.494955476,,,1.41603
1568115213.498005493,1.41992,,
1568115213.921254694,,,1.42718
1568115213.924278651,1.43221,,
1568115214.346591181,,,1.42151
1568115214.346591181,1.42624,,
1568115214.806872158,,,1.54381
1568115214.809891212,1.55171,,
1568115215.256147624,,,1.50205
1568115215.259165203,1.50737,,
1568115215.690974086,,,1.44978
1568115215.690974086,1.45466,,
1568115216.290632587,,,2.01621
1568115216.290632587,2.0223,,
1568115216.911437912,,,2.0871
1568115216.914460526,2.09485,,
1568115217.832251900,,,3.09255
1568115217.835358892,3.10175,,
1568115218.624851406,,,2.65956
1568115218.627885367,2.67026,,
1568115219.462225340,,,2.80707
1568115219.462225340,2.81548,,
1568115220.045599880,,,1.96362
1568115220.048618922,1.97003,,
1568115220.624357929,,,1.93803
1568115220.627379073,1.94512,,
1568115221.150643892,,,1.75735
1568115221.150643892,1.76461,,
1568115221.675441908,,,1.7625
1568115221.678460077,1.76825,,
1568115222.279966117,,,2.02694
1568115222.282986659,2.03309,,
1568115222.885151145,,,2.02013
1568115222.885151145,2.02766,,
1568115223.714132587,,,2.79354
1568115223.717152869,2.80313,,
1568115224.538358263,,,2.77046
1568115224.541406201,2.77858,,
1568115225.271281739,,,2.45935
1568115225.274301516,2.46805,,
1568115225.857914799,,,1.9624
1568115225.860935189,1.9706,,
1568115226.455973212,,,2.00243
1568115226.459001188,2.01363,,
1568115227.396712488,,,3.16467
1568115227.399735757,3.17209,,
1568115228.136971530,,,2.48219
1568115228.139994199,2.4911,,
1568115228.818038801,,,2.28388
1568115228.821057929,2.29334,,
1568115229.369732070,,,1.85053
1568115229.372749661,1.85818,,
1568115230.001473575,,,2.10923
1568115230.001473575,2.11416,,
1568115230.675524193,,,2.26356
1568115230.675524193,2.27235,,
1568115231.344337818,,,2.24638
1568115231.347360442,2.25201,,
1568115231.929658316,,,1.9629
1568115231.932681535,1.97338,,
1568115232.484393259,,,1.85605
1568115232.487419308,1.86562,,
1568115233.185140420,,,2.34144
1568115233.185140420,2.34936,,
1568115233.792936044,,,2.04364
1568115233.795956909,2.05293,,
1568115234.359075642,,,1.89258
1568115234.362094278,1.90126,,
1568115234.946440587,,,1.96026
