Duration,noOfRecPlanes,noOfAssocPlanes
1568115183.443504958,32,13
1568115183.809798496,35,12
1568115184.175612924,34,12
1568115184.522703308,29,12
1568115184.891171848,33,12
1568115185.254253626,31,12
1568115185.617312845,29,12
1568115186.001674845,34,13
1568115186.386257397,31,12
1568115186.731174407,30,12
1568115187.101648531,31,12
1568115187.450170251,31,12
1568115187.817005240,31,12
1568115188.203598769,32,12
1568115188.581336520,29,12
1568115188.932256601,33,13
1568115189.308359721,33,13
1568115189.674562107,31,12
1568115190.031225767,30,12
1568115190.446917681,30,13
1568115190.919786064,29,12
1568115191.374265026,33,12
1568115191.950171269,30,12
1568115192.640450688,31,12
1568115194.227921313,31,12
1568115195.614101879,31,12
1568115196.588079451,33,12
1568115197.400882524,34,13
1568115198.097031245,33,12
1568115198.726972287,32,12
1568115199.243497254,29,12
1568115199.763607232,30,12
1568115200.232376172,32,12
1568115200.676950568,31,12
1568115201.115251967,31,12
1568115201.507778244,31,12
1568115201.894617501,31,12
1568115202.285039735,29,12
1568115202.715055132,31,12
1568115203.193863434,34,13
1568115203.620613259,30,13
1568115204.031629659,28,12
1568115204.390720502,29,12
1568115204.816874807,30,12
1568115205.268502212,36,12
1568115205.719335783,31,13
1568115206.325128544,32,12
1568115207.018649275,32,12
1568115207.574251769,33,12
1568115208.133218151,35,12
1568115208.599473835,32,11
1568115209.095073003,32,12
1568115209.587877247,32,11
1568115210.156262925,29,11
1568115210.678749167,29,12
1568115211.446446293,31,11
1568115212.236214405,32,11
1568115212.909697499,35,13
1568115213.654010189,34,12
1568115214.691305915,36,12
1568115216.105683360,33,12
1568115217.120891673,36,13
1568115217.999938697,33,12
1568115219.083915299,34,12
1568115219.902784566,33,11
1568115220.713330599,36,11
1568115221.415798523,38,13
1568115221.995774409,39,13
1568115222.524385597,39,14
1568115223.053627113,38,14
1568115223.522481704,36,12
1568115224.030698635,39,13
1568115224.568265440,37,13
1568115225.151271973,34,10
1568115225.856899856,31,12
1568115227.103311516,35,12
1568115228.393230617,29,10
1568115229.285814514,40,11
1568115230.097058799,32,12
1568115230.807391346,36,12
1568115231.607212784,35,13
1568115232.425548979,33,12
1568115233.166717709,35,13
1568115233.813500572,33,13
1568115234.345319427,35,13
1568115235.031801761,41,14
1568115235.671032931,30,14
1568115236.555599787,32,13
1568115237.427877084,32,13
1568115238.207369673,32,12
1568115239.202764209,34,13
1568115240.167206659,36,13
1568115240.887741904,36,12
1568115241.585898158,35,13
1568115242.426679359,34,13
1568115243.258268377,33,12
1568115243.974759607,31,13
1568115244.643522221,30,14
1568115245.451517875,29,13
1568115247.008873169,30,13
1568115248.132076665,28,12
1568115248.962612377,31,13
1568115249.977298372,31,13
1568115300.794008358,337,27
1568115302.623666530,39,10
1568115303.698442684,28,11
1568115304.547611410,32,14
1568115305.215749481,32,13
1568115305.864149496,34,13
1568115306.433525917,33,13
1568115307.116331981,35,16
1568115307.788297682,32,13
1568115308.919249111,31,12
1568115309.864544374,28,14
1568115310.699296614,29,15
1568115311.378715040,31,14
1568115311.971264671,31,14
1568115312.666092097,30,14
1568115313.397170954,31,14
1568115314.318389757,30,15
1568115315.603526339,28,13
1568115316.604913943,34,15
1568115317.353139607,27,10
1568115318.051127829,27,9
1568115318.699566207,29,11
1568115319.447763620,29,10
1568115320.266740834,31,11
1568115321.553995721,28,13
1568115322.605006759,33,12
1568115324.027892726,40,13
1568115325.017295084,36,12
1568115325.911419643,36,13
1568115326.609858124,33,12
1568115327.295895646,37,15
1568115327.855828338,31,13
1568115328.355629881,33,10
1568115329.043869719,33,12
1568115329.752386632,29,11
1568115330.809906904,33,13
1568115331.662542353,38,13
1568115332.614083296,34,13
1568115333.529428780,31,11
1568115334.293619943,35,13
1568115334.983621021,33,14
1568115335.626271613,28,13
1568115336.400464692,34,11
1568115337.538535793,30,11
1568115338.703283078,33,13
1568115339.538862960,30,13
1568115340.192636457,30,13
1568115340.852628091,32,12
1568115341.493982015,34,14
1568115342.251654235,34,14
1568115343.477939328,38,16
1568115344.945032272,38,15
1568115345.916977869,36,13
1568115346.798895058,37,13
1568115347.639847629,40,15
1568115348.355116578,38,15
1568115349.016076505,36,12
1568115350.005840739,46,15
1568115351.426190985,44,15
1568115352.460794714,42,10
1568115353.745088664,40,9
1568115354.707570217,43,7
1568115356.106685828,41,8
1568115357.079815621,49,9
1568115357.923695081,46,13
1568115358.717989587,46,11
1568115359.515598294,46,15
1568115360.398191284,46,16
1568115361.364088006,47,13
1568115363.265811325,54,14
1568115365.057431389,49,14
1568115366.296076611,42,14
1568115367.367147490,36,13
1568115368.218885925,39,14
1568115369.308339086,35,13
1568115370.898681309,33,12
1568115371.922961411,33,12
1568115372.863988667,31,12
1568115374.048873180,32,14
1568115374.885450221,35,14
1568115375.701691934,36,12
1568115376.521166522,37,13
1568115377.188416701,31,13
1568115377.872681610,33,11
1568115378.543571988,27,11
1568115379.211195019,33,12
1568115379.938971983,35,13
1568115380.746246423,31,13
1568115381.554360112,37,13
1568115382.231872797,30,13
1568115383.052876116,32,13
1568115384.009985643,33,13
1568115385.113773651,36,13
1568115386.034594730,35,13
1568115387.310099975,36,13
1568115388.161029540,31,13
1568115389.011241190,34,12
1568115389.884964020,33,13
1568115390.763519976,34,13
1568115391.528066412,29,12
1568115392.192501035,31,13
1568115392.578689081,33,12
1568115392.578689081,30,12
