plane_id,count,aa_angle,aa_x,aa_y,aa_z,quat_x,quat_y,quat_z,quat_w,translation_x,translation_y,translation_z,score
35,0,0.0216789,-0.0225371,0.419514,0.907469,-0.000244286,0.00454722,0.00983628,0.999941,0.441645,-8.17378,0.799728,0.0137511
63,0,0.00158769,0.0307928,-0.621633,-0.782703,2.44448e-05,-0.000493481,-0.000621346,1,-0.0190859,-0.0142832,1.6567,0.0201443
67,0,0.0125611,-0.0447162,0.898166,0.437377,-0.000280841,0.00564094,0.00274696,0.99998,-0.0200495,0.106598,0.754802,0.0191874
0,0,0.0388888,-0.225459,-0.974253,-7.07607e-08,-0.00438364,-0.0189426,-1.37581e-09,0.999811,-6.08049,9.53725,-0.0179724,0.0246763
69,0,0.0231355,-0.0453677,0.841269,0.538709,-0.000524791,0.00973138,0.00623152,0.999933,0.077553,-0.729735,0.437829,0.0337587
61,0,0.348217,-0.0110938,0.0263449,0.999591,-0.00192179,0.00456374,0.17316,0.984881,-0.779264,-0.410299,1.60304,0.707469
50,0,0.0182579,0.230559,0.0114207,0.972991,0.00210473,0.000104258,0.00888228,0.999958,0.150483,-0.11726,0.149151,0.0995061
59,0,0.010438,-0.0494746,0.998775,-0.00102791,-0.000258206,0.00521258,-5.36465e-06,0.999986,0.115825,-0.0665758,1.72642,0.0887517
71,0,0.0192815,0.0313948,-0.612789,0.789622,0.000302665,-0.00590767,0.00761245,0.999954,0.00443821,0.0723251,0.0499617,0.0224195
48,0,0.00323025,-0.703962,-0.0348709,-0.709381,-0.00113699,-5.63209e-05,-0.00114574,0.999999,-0.374234,-0.119779,0.0628966,0.0941298
34,0,0.00918184,-0.70613,-0.0349784,0.707218,-0.00324177,-0.000160582,0.00324677,0.999989,2.80606,0.193898,0.0160447,0.0473837
57,0,0.0108337,-0.0492674,0.994592,-0.0914339,-0.000266872,0.00538751,-0.00049528,0.999985,-0.0570267,0.297547,1.33036,0.025071
55,0,0.00720505,-0.0490415,0.990033,-0.132021,-0.000176673,0.00356661,-0.000475607,0.999994,-0.00622776,-0.110989,1.23324,0.0232035
35,0,0.00282056,0.040243,-0.7491,0.661234,5.6754e-05,-0.00105644,0.000932526,0.999999,0.458009,-8.03939,0.547504,0.0166208
61,0,0.349943,-0.00594349,0.0141141,0.999883,-0.00103464,0.00245699,0.17406,0.984731,-0.774685,-0.398102,1.56376,0.692982
50,0,0.00518648,0.771776,0.0382302,-0.634744,0.0020014,9.91399e-05,-0.00164604,0.999997,0.132749,-0.104442,0.151578,0.0873602
63,0,0.0178003,-0.0494506,0.99829,-0.0311584,-0.000440113,0.00888484,-0.000277312,0.99996,-0.0887706,1.12153,1.69912,0.0220356
67,0,0.020784,-0.0346475,0.69178,0.721276,-0.00036005,0.00718884,0.00749536,0.999946,-0.0063167,0.110914,0.680529,0.0157573
59,0,0.0100447,-0.049456,0.998399,0.0274467,-0.000248384,0.00501428,0.000137846,0.999987,0.117172,-0.0552796,1.67685,0.0936243
48,0,0.0104286,0.754192,0.0373592,-0.65559,0.00393257,0.000194801,-0.00341843,0.999986,-0.150512,-0.0984061,-0.261207,0.0825805
34,0,0.0550766,0.988029,0.0489423,0.146296,0.0272052,0.00134762,0.00402822,0.999621,-1.28508,-0.0143326,0.761607,0.0510267
