Duration,processBuffer,processMap,processCloud
1568115182.057116093,,,1.28731
1568115182.057116093,1.28796,,
1568115182.435499278,,,1.26966
1568115182.435499278,1.27016,,
1568115182.811050111,,,1.26408
1568115182.811050111,1.26475,,
1568115183.197815933,,,1.29686
1568115183.197815933,1.29722,,
1568115183.551381027,,,1.19587
1568115183.551381027,1.19644,,
1568115183.953287489,,,1.34949
1568115183.953287489,1.34994,,
1568115184.309697349,,,1.19516
1568115184.309697349,1.19551,,
1568115184.687938242,,,1.27556
1568115184.687938242,1.27594,,
1568115185.047201899,,,1.20811
1568115185.047201899,1.20908,,
1568115185.418567289,,,1.24189
1568115185.418567289,1.24234,,
1568115185.781740671,,,1.22574
1568115185.781740671,1.22607,,
1568115186.132257561,,,1.17928
1568115186.132257561,1.18011,,
1568115186.518875882,,,1.29569
1568115186.518875882,1.29609,,
1568115186.896498469,,,1.27485
1568115186.896498469,1.27515,,
1568115187.286112076,,,1.31045
1568115187.286112076,1.31082,,
1568115187.709516421,,,1.42044
1568115187.709516421,1.42076,,
1568115188.117183031,,,1.37789
1568115188.117183031,1.37834,,
1568115188.500889159,,,1.29181
1568115188.500889159,1.29221,,
1568115188.902529384,,,1.34962
1568115188.902529384,1.35007,,
1568115189.292038719,,,1.31019
1568115189.292038719,1.31063,,
1568115189.713955467,,,1.42403
1568115189.713955467,1.42447,,
1568115190.194171614,,,1.62313
1568115190.194171614,1.62347,,
1568115190.703540955,,,1.72051
1568115190.703540955,1.72097,,
1568115191.387347013,,,2.3168
1568115191.387347013,2.31725,,
1568115192.111023396,,,2.46415
1568115192.111023396,2.46473,,
1568115192.812058068,,,2.3798
1568115192.812058068,2.38036,,
1568115193.542123425,,,2.47923
1568115193.542123425,2.47979,,
1568115194.276705815,,,2.48823
1568115194.276705815,2.48868,,
1568115194.965577586,,,2.3402
1568115194.965577586,2.34097,,
1568115195.663977651,,,2.37875
1568115195.663977651,2.3793,,
1568115196.365255407,,,2.38822
1568115196.365255407,2.38954,,
1568115197.046689277,,,2.32641
1568115197.046689277,2.32692,,
1568115197.745090567,,,2.37689
1568115197.745090567,2.37743,,
1568115198.431081157,,,2.32965
1568115198.431081157,2.33011,,
1568115199.128882390,,,2.3797
1568115199.128882390,2.38058,,
1568115199.835809974,,,2.40877
1568115199.835809974,2.40921,,
1568115200.509768383,,,2.30493
1568115200.509768383,2.30668,,
1568115201.224063685,,,2.42792
1568115201.224063685,2.42839,,
1568115201.918886575,,,2.38884
1568115201.918886575,2.38938,,
1568115202.645028850,,,2.47684
1568115202.645028850,2.47725,,
1568115203.367481198,,,2.47581
1568115203.367481198,2.47648,,
1568115204.080042062,,,2.4288
1568115204.080042062,2.42918,,
1568115204.816350817,,,2.51892
1568115204.816350817,2.52008,,
1568115205.250530946,,,2.40127
1568115205.250530946,2.40164,,
