Duration,segmentation,association,deviation,average,segmentationMap,associationMap,deviationMap
1568115184.514246263,2.27439,,,,,,
1568115185.955295217,,1.45934,,,,,
1568115185.955295217,,,0.000152732,,,,
1568115185.955295217,,,,2.4365e-05,,,
1568115188.403971170,2.49657,,,,,,
1568115189.773713576,,1.40223,,,,,
1568115189.773713576,,,0.00024799,,,,
1568115189.773713576,,,,1.8464e-05,,,
1568115192.233472970,2.52123,,,,,,
1568115193.668190540,,1.47303,,,,,
1568115193.668190540,,,0.000333783,,,,
1568115193.668190540,,,,1.9578e-05,,,
1568115196.241147937,2.63241,,,,,,
1568115197.665539008,,1.48258,,,,,
1568115197.665539008,,,0.00013324,,,,
1568115197.665539008,,,,8.197e-06,,,
1568115199.998675521,2.41175,,,,,,
1568115201.503693859,,1.57236,,,,,
1568115201.503693859,,,0.000364871,,,,
1568115201.503693859,,,,2.4644e-05,,,
1568115203.735777952,2.29689,,,,,,
1568115205.552410640,,1.89376,,,,,
1568115205.552410640,,,0.000321421,,,,
1568115205.552410640,,,,1.5555e-05,,,
1568115209.441907942,4.00477,,,,,,
1568115211.998341238,,2.64836,,,,,
1568115211.998341238,,,0.000264936,,,,
1568115211.998341238,,,,1.8275e-05,,,
1568115215.322379059,3.41457,,,,,,
1568115217.992099912,,2.77292,,,,,
1568115217.992099912,,,0.000570122,,,,
1568115217.992099912,,,,3.9896e-05,,,
1568115222.777521152,4.94706,,,,,,
1568115225.757336140,,3.08807,,,,,
1568115225.757336140,,,0.000138972,,,,
1568115225.757336140,,,,1.1184e-05,,,
1568115229.293126552,3.62807,,,,,,
1568115232.735378923,,3.57738,,,,,
1568115232.735378923,,,0.000186605,,,,
1568115232.735378923,,,,1.4283e-05,,,
1568115236.454473210,3.83875,,,,,,
1568115239.547148618,,3.21844,,,,,
1568115239.547148618,,,0.000223824,,,,
1568115239.547148618,,,,1.0462e-05,,,
1568115243.817192891,4.41492,,,,,,
1568115246.876502332,,3.18609,,,,,
1568115246.876502332,,,0.00055351,,,,
1568115246.876502332,,,,3.6769e-05,,,
1568115250.700105881,3.95214,,,,,,
1568115253.629979006,,3.06173,,,,,
1568115253.629979006,,,0.000253491,,,,
1568115253.629979006,,,,1.8895e-05,,,
1568115257.097981303,3.59536,,,,,,
1568115259.948033785,,2.98193,,,,,
1568115259.948033785,,,0.000278427,,,,
1568115259.948033785,,,,2.207e-05,,,
1568115263.380983196,3.54182,,,,,,
1568115265.559935129,,2.29354,,,,,
1568115265.559935129,,,0.000191198,,,,
1568115265.559935129,,,,2.1763e-05,,,
1568115269.477365575,4.06945,,,,,,
1568115272.665814497,,3.31979,,,,,
1568115272.665814497,,,0.000641111,,,,
1568115272.665814497,,,,4.7871e-05,,,
1568115280.956465734,8.55667,,,,,,
1568115284.870432204,,4.08721,,,,,
1568115284.870432204,,,0.000250997,,,,
1568115284.870432204,,,,2.5284e-05,,,
1568115288.087030129,3.32295,,,,,,
1568115291.139179077,,3.15219,,,,,
1568115291.139179077,,,0.000446597,,,,
1568115291.139179077,,,,5.0674e-05,,,
1568115295.018768549,3.98632,,,,,,
1568115298.331673166,,3.46623,,,,,
1568115298.331673166,,,0.000318978,,,,
1568115298.331673166,,,,4.5539e-05,,,
1568115302.794396748,4.60906,,,,,,
1568115305.760597320,,3.10808,,,,,
1568115305.760597320,,,0.000380683,,,,
1568115305.760597320,,,,2.4535e-05,,,
1568115309.797130120,4.22898,,,,,,
1568115311.531205815,,1.832,,,,,
1568115311.531205815,,,0.000556484,,,,
1568115311.531205815,,,,4.922e-05,,,
1568115314.494545163,3.08621,,,,,,
1568115316.747812634,,2.35839,,,,,
1568115316.747812634,,,0.00018642,,,,
1568115316.747812634,,,,1.2807e-05,,,
1568115319.152301228,2.51885,,,,,,
1568115321.064227766,,2.04243,,,,,
1568115321.064227766,,,0.000198466,,,,
1568115321.064227766,,,,1.2491e-05,,,
1568115323.771526382,2.83311,,,,,,
1568115325.741987849,,2.07839,,,,,
1568115325.741987849,,,0.00016592,,,,
1568115325.741987849,,,,1.303e-05,,,
1568115329.006242944,3.42221,,,,,,
1568115332.213143934,,3.41062,,,,,
1568115332.213143934,,,0.00050411,,,,
1568115332.213143934,,,,3.0074e-05,,,
1568115340.531819755,8.61474,,,,,,
1568115343.304083120,,2.91566,,,,,
