Duration,noOfRecPlanes,noOfAssocPlanes
1553088517.081545991,17,7
1553088518.168497641,18,6
1553088518.168497641,16,6
1553088520.357739603,16,7
1553088522.436609403,17,7
1553088524.637916560,15,6
1553088526.798295565,18,8
1553088528.836970974,18,6
1553088531.021573587,19,6
1553088533.317736252,17,7
1553088535.722682073,14,6
1553088537.841250260,19,6
1553088540.193756743,17,8
1553088542.769908176,16,8
1553088545.473440444,20,8
1553088549.558621664,21,8
1553088553.355951148,19,9
1553088556.028650736,16,6
1553088558.608977904,14,4
1553088562.408093438,21,6
1553088566.633165051,20,7
1553088570.098977655,22,8
1553088574.157543147,20,8
1553088577.950107785,14,3
1553088581.990062071,15,4
