Duration,processBuffer,processMap,processCloud
1568115312.666092097,2.53714,,
1568115313.397170954,,,2.67735
1568115313.397170954,2.67787,,
1568115314.321413788,,,3.39432
1568115314.321413788,3.39509,,
1568115315.603526339,,,4.49921
1568115315.603526339,4.50027,,
1568115316.604913943,,,3.60026
1568115316.604913943,3.60082,,
1568115317.353139607,,,2.7053
1568115317.353139607,2.70581,,
1568115318.051127829,,,2.53203
1568115318.051127829,2.53275,,
1568115318.699566207,,,2.36476
1568115318.699566207,2.3653,,
1568115319.447763620,,,2.68177
1568115319.447763620,2.68231,,
1568115320.266740834,,,2.90755
1568115320.266740834,2.90825,,
1568115321.553995721,,,4.76554
1568115321.553995721,4.76642,,
1568115322.605006759,,,3.80929
1568115322.605006759,3.81002,,
1568115324.030921117,,,5.10472
1568115324.030921117,5.10569,,
1568115325.017295084,,,3.65455
1568115325.017295084,3.6553,,
1568115325.911419643,,,3.24761
1568115325.911419643,3.24818,,
1568115326.609858124,,,2.60898
1568115326.609858124,2.61,,
1568115327.295895646,,,2.49448
1568115327.295895646,2.49573,,
1568115327.855828338,,,2.05249
1568115327.855828338,2.05309,,
1568115328.355629881,,,1.80625
1568115328.355629881,1.80668,,
1568115329.043869719,,,2.45686
1568115329.043869719,2.45755,,
1568115329.752386632,,,2.57837
1568115329.752386632,2.57946,,
1568115330.812930314,,,3.84945
1568115330.812930314,3.85011,,
1568115331.662542353,,,3.0969
1568115331.662542353,3.09781,,
1568115332.617109831,,,3.47396
1568115332.617109831,3.4746,,
1568115333.529428780,,,3.26065
1568115333.529428780,3.26261,,
1568115334.293619943,,,2.88346
1568115334.293619943,2.88417,,
1568115334.983621021,,,2.4673
1568115334.983621021,2.46782,,
1568115335.626271613,,,2.38691
1568115335.626271613,2.38751,,
1568115336.400464692,,,2.85168
1568115336.400464692,2.8522,,
1568115337.538535793,,,4.06746
1568115337.538535793,4.06815,,
1568115338.703283078,,,4.25482
1568115338.703283078,4.25566,,
1568115339.538862960,,,2.99899
1568115339.538862960,2.99958,,
1568115340.192636457,,,2.39499
1568115340.192636457,2.39579,,
1568115340.852628091,,,2.38576
1568115340.852628091,2.3862,,
1568115341.493982015,,,2.36103
1568115341.493982015,2.36163,,
1568115342.251654235,,,2.72739
1568115342.251654235,2.72799,,
1568115343.477939328,,,4.4437
1568115343.477939328,4.44494,,
1568115344.945032272,,,5.22758
1568115344.945032272,5.22868,,
1568115345.916977869,,,3.64082
1568115345.916977869,3.64165,,
1568115346.798895058,,,3.21489
1568115346.798895058,3.21543,,
1568115347.639847629,,,3.15122
1568115347.639847629,3.15183,,
1568115348.355116578,,,2.62014
1568115348.355116578,2.62074,,
1568115349.016076505,,,2.45776
1568115349.016076505,2.45832,,
1568115350.005840739,,,3.66631
1568115350.005840739,3.66747,,
1568115351.426190985,,,5.26584
1568115351.426190985,5.26632,,
1568115352.460794714,,,3.71572
1568115352.460794714,3.71626,,
1568115353.745088664,,,4.44927
1568115353.745088664,4.45007,,
1568115354.707570217,,,3.43972
1568115354.707570217,3.44053,,
1568115356.106685828,,,5.15794
1568115356.106685828,5.159,,
1568115357.079815621,,,3.4205
1568115357.079815621,3.42115,,
1568115357.923695081,,,3.17171
1568115357.923695081,3.17398,,
1568115358.717989587,,,2.86666
1568115358.717989587,2.86732,,
1568115359.515598294,,,3.10031
1568115359.515598294,3.101,,
1568115360.398191284,,,3.24732
1568115360.398191284,3.24786,,
1568115361.364088006,,,3.68722
1568115361.364088006,3.6889,,
1568115363.265811325,,,6.97895
1568115363.265811325,6.97988,,
1568115365.060454245,,,6.71424
1568115365.060454245,6.71552,,
1568115366.296076611,,,4.59803
1568115366.296076611,4.59967,,
1568115367.367147490,,,3.9754
1568115367.367147490,3.9759,,
1568115368.218885925,,,3.17223
1568115368.218885925,3.17265,,
1568115369.308339086,,,4.26834
1568115369.308339086,4.2732,,
1568115370.898681309,,,5.69655
1568115370.898681309,5.6975,,
1568115371.922961411,,,3.88261
1568115371.922961411,3.88359,,
1568115372.863988667,,,3.53503
1568115372.863988667,3.53949,,
1568115374.048873180,,,4.34751
1568115374.048873180,4.34814,,
1568115374.885450221,,,3.22894
1568115374.885450221,3.22953,,
1568115375.701691934,,,3.02743
1568115375.701691934,3.02791,,
1568115376.521166522,,,3.19067
1568115376.521166522,3.19134,,
1568115377.188416701,,,2.44896
1568115377.188416701,2.44941,,
1568115377.872681610,,,2.55957
1568115377.872681610,2.56004,,
1568115378.543571988,,,2.6547
1568115378.543571988,2.65527,,
1568115379.211195019,,,2.48462
1568115379.211195019,2.48523,,
1568115379.938971983,,,2.82239
1568115379.938971983,2.82451,,
1568115380.746246423,,,3.17619
1568115380.746246423,3.17674,,
1568115381.554360112,,,2.98705
1568115381.554360112,2.98762,,
1568115382.231872797,,,2.68338
1568115382.231872797,2.68419,,
1568115383.052876116,,,3.0333
1568115383.052876116,3.03365,,
1568115384.009985643,,,3.69168
1568115384.009985643,3.69238,,
1568115385.113773651,,,4.09117
1568115385.113773651,4.09186,,
1568115386.037709971,,,3.58375
1568115386.037709971,3.58447,,
1568115387.310099975,,,4.60453
1568115387.310099975,4.60574,,
1568115388.164048803,,,3.14889
1568115388.164048803,3.14998,,
1568115389.011241190,,,3.24766
1568115389.011241190,3.24926,,
1568115389.884964020,,,3.22156
1568115389.884964020,3.22264,,
1568115390.763519976,,,3.5685
1568115390.763519976,3.5697,,
1568115391.528066412,,,2.88396
1568115391.528066412,2.88452,,
1568115392.192501035,,,2.66192
1568115392.192501035,2.66258,,
1568115392.578689081,,,2.36459
1568115392.578689081,2.36587,,
1568115392.578689081,,,1.7788
1568115392.578689081,1.77941,,
