Duration,processBuffer,processMap,processCloud
1568115183.443504958,,,1.19709
1568115183.443504958,1.19804,,
1568115183.809798496,,,1.23117
1568115183.809798496,1.23224,,
1568115184.175612924,,,1.23112
1568115184.175612924,1.23266,,
1568115184.522703308,,,1.16302
1568115184.522703308,1.16329,,
1568115184.891171848,,,1.24441
1568115184.891171848,1.24555,,
1568115185.254253626,,,1.22281
1568115185.254253626,1.22328,,
1568115185.617312845,,,1.22157
1568115185.617312845,1.22201,,
1568115186.001674845,,,1.2943
1568115186.001674845,1.29466,,
1568115186.386257397,,,1.28798
1568115186.386257397,1.28938,,
1568115186.731174407,,,1.16608
1568115186.731174407,1.16654,,
1568115187.101648531,,,1.24059
1568115187.101648531,1.24141,,
1568115187.450170251,,,1.18095
1568115187.450170251,1.18132,,
1568115187.817005240,,,1.22902
1568115187.817005240,1.22945,,
1568115188.203598769,,,1.30385
1568115188.203598769,1.30418,,
1568115188.581336520,,,1.27286
1568115188.581336520,1.27323,,
1568115188.932256601,,,1.18299
1568115188.932256601,1.1833,,
1568115189.308359721,,,1.26502
1568115189.308359721,1.26539,,
1568115189.674562107,,,1.24036
1568115189.674562107,1.24069,,
1568115190.031225767,,,1.20178
1568115190.031225767,1.20218,,
1568115190.446917681,,,1.39861
1568115190.446917681,1.39894,,
1568115190.919786064,,,1.59546
1568115190.919786064,1.59702,,
1568115191.374265026,,,1.52686
1568115191.374265026,1.52725,,
1568115191.950171269,,,1.96113
1568115191.950171269,1.9615,,
1568115192.640450688,,,2.33638
1568115192.640450688,2.33685,,
1568115194.227921313,,,5.44172
1568115194.227921313,5.44224,,
1568115195.614101879,,,4.75909
1568115195.614101879,4.7606,,
1568115196.588079451,,,3.34459
1568115196.588079451,3.34523,,
1568115197.400882524,,,2.76761
1568115197.400882524,2.76805,,
1568115198.097031245,,,2.37831
1568115198.097031245,2.37894,,
1568115198.726972287,,,2.14248
1568115198.726972287,2.14289,,
1568115199.243497254,,,1.76271
1568115199.243497254,1.76357,,
1568115199.763607232,,,1.75794
1568115199.763607232,1.75828,,
1568115200.232376172,,,1.60435
1568115200.232376172,1.60479,,
1568115200.679973954,,,1.50917
1568115200.679973954,1.50954,,
1568115201.115251967,,,1.4794
1568115201.115251967,1.48023,,
1568115201.507778244,,,1.327
1568115201.507778244,1.3273,,
1568115201.894617501,,,1.3266
1568115201.894617501,1.32691,,
1568115202.285039735,,,1.30538
1568115202.285039735,1.30599,,
1568115202.718075398,,,1.47052
1568115202.718075398,1.4708,,
1568115203.193863434,,,1.61237
1568115203.193863434,1.61328,,
1568115203.620613259,,,1.45942
1568115203.620613259,1.46042,,
1568115204.031629659,,,1.3822
1568115204.031629659,1.38249,,
1568115204.390720502,,,1.22359
1568115204.390720502,1.22391,,
1568115204.816874807,,,1.42899
1568115204.816874807,1.42953,,
1568115205.268502212,,,1.53386
1568115205.268502212,1.5343,,
1568115205.719335783,,,1.52433
1568115205.719335783,1.52495,,
1568115206.325128544,,,2.07342
1568115206.325128544,2.07383,,
1568115207.018649275,,,2.36206
1568115207.018649275,2.36251,,
1568115207.574251769,,,1.90956
1568115207.574251769,1.91041,,
1568115208.133218151,,,1.9024
1568115208.133218151,1.90276,,
1568115208.599473835,,,1.59129
1568115208.599473835,1.59189,,
1568115209.095073003,,,1.69797
1568115209.095073003,1.69877,,
1568115209.587877247,,,1.66953
1568115209.587877247,1.66985,,
1568115210.156262925,,,1.94563
1568115210.156262925,1.9461,,
1568115210.678749167,,,1.80143
1568115210.678749167,1.8018,,
1568115211.446446293,,,2.61778
1568115211.446446293,2.61827,,
1568115212.236214405,,,2.73116
1568115212.236214405,2.73189,,
1568115212.909697499,,,2.30478
1568115212.909697499,2.30529,,
1568115213.654010189,,,2.55728
1568115213.654010189,2.55819,,
1568115214.691305915,,,3.59691
1568115214.691305915,3.59874,,
1568115216.105683360,,,4.94639
1568115216.105683360,4.94732,,
1568115217.120891673,,,3.52119
1568115217.120891673,3.52186,,
1568115217.999938697,,,3.07318
1568115217.999938697,3.07374,,
1568115219.083915299,,,3.76735
1568115219.083915299,3.76833,,
1568115219.902784566,,,2.85778
1568115219.902784566,2.85839,,
1568115220.713330599,,,2.77074
1568115220.713330599,2.77119,,
1568115221.415798523,,,2.44304
1568115221.415798523,2.44354,,
1568115221.995774409,,,1.97601
1568115221.995774409,1.97645,,
1568115222.524385597,,,1.83827
1568115222.524385597,1.83867,,
1568115223.053627113,,,1.80064
1568115223.053627113,1.80146,,
1568115223.522481704,,,1.62196
1568115223.522481704,1.62257,,
1568115224.030698635,,,1.72966
1568115224.030698635,1.73014,,
1568115224.568265440,,,1.86074
1568115224.568265440,1.86115,,
1568115225.151271973,,,1.99725
1568115225.151271973,1.99768,,
1568115225.856899856,,,2.44788
1568115225.856899856,2.44891,,
1568115227.103311516,,,4.35712
1568115227.103311516,4.35765,,
1568115228.393230617,,,4.50255
1568115228.393230617,4.50352,,
1568115229.285814514,,,3.08288
1568115229.285814514,3.08375,,
1568115230.097058799,,,2.79085
1568115230.097058799,2.79141,,
1568115230.807391346,,,2.46413
1568115230.807391346,2.46474,,
1568115231.607212784,,,2.77444
1568115231.607212784,2.77499,,
1568115232.425548979,,,2.8389
1568115232.425548979,2.83957,,
1568115233.166717709,,,2.5526
1568115233.166717709,2.55304,,
1568115233.813500572,,,2.21105
1568115233.813500572,2.21159,,
1568115234.345319427,,,1.85098
1568115234.345319427,1.85135,,
1568115235.031801761,,,2.34711
1568115235.031801761,2.34753,,
1568115235.671032931,,,2.22121
1568115235.671032931,2.2217,,
1568115236.555599787,,,3.0686
1568115236.555599787,3.06901,,
1568115237.427877084,,,3.06212
1568115237.427877084,3.06279,,
1568115238.207369673,,,2.72635
1568115238.207369673,2.72758,,
1568115239.202764209,,,3.50146
1568115239.202764209,3.50211,,
1568115240.167206659,,,3.39897
1568115240.167206659,3.39979,,
1568115240.887741904,,,2.48116
1568115240.887741904,2.48203,,
1568115241.585898158,,,2.41465
1568115241.585898158,2.41517,,
1568115242.426679359,,,2.92199
1568115242.426679359,2.9225,,
1568115243.258268377,,,2.88457
1568115243.258268377,2.88499,,
1568115243.974759607,,,2.48629
1568115243.974759607,2.4867,,
1568115244.643522221,,,2.31076
1568115244.643522221,2.3112,,
1568115245.451517875,,,2.84485
1568115245.451517875,2.84541,,
1568115247.008873169,,,5.52904
1568115247.008873169,5.52979,,
1568115248.132076665,,,3.97434
1568115248.132076665,3.97529,,
1568115248.962612377,,,2.93896
1568115248.962612377,2.93954,,
1568115249.977298372,,,3.63259
1568115249.977298372,3.63388,,
1568115300.794008358,,183.426,
1568115302.623666530,,,5.8903
1568115302.623666530,5.8933,,
1568115303.698442684,,,3.84613
1568115303.698442684,3.84709,,
1568115304.547611410,,,2.99084
1568115304.547611410,2.99137,,
1568115305.215749481,,,2.38312
1568115305.215749481,2.38362,,
1568115305.864149496,,,2.39602
1568115305.864149496,2.39653,,
1568115306.433525917,,,2.03938
1568115306.433525917,2.03979,,
1568115307.116331981,,,2.46197
1568115307.116331981,2.46246,,
1568115307.788297682,,,2.40701
1568115307.788297682,2.4075,,
1568115308.919249111,,,4.05259
1568115308.919249111,4.05313,,
1568115309.864544374,,,3.46202
1568115309.864544374,3.46302,,
1568115310.699296614,,,3.00855
1568115310.699296614,3.00927,,
1568115311.378715040,,,2.42322
1568115311.378715040,2.42434,,
1568115311.971264671,,,2.17467
1568115311.971264671,2.17522,,
1568115312.666092097,,,2.53587
