Duration,segmentation,association,deviation,average,segmentationMap,associationMap,deviationMap
1568115186.764231658,0.712071,,,,,,
1568115186.921262945,,0.530057,,,,,
1568115186.921262945,,,4.5871e-05,,,,
1568115186.921262945,,,,6.182e-06,,,
1568115187.123547274,0.67857,,,,,,
1568115187.280598269,,0.534309,,,,,
1568115187.280598269,,,3.1757e-05,,,,
1568115187.280598269,,,,9.909e-06,,,
1568115187.498244067,0.720809,,,,,,
1568115187.655272693,,0.535213,,,,,
1568115187.655272693,,,5.7532e-05,,,,
1568115187.655272693,,,,5.503e-06,,,
1568115187.878758821,0.752839,,,,,,
1568115188.038931369,,0.532191,,,,,
1568115188.038931369,,,3.9079e-05,,,,
1568115188.038931369,,,,8.811e-06,,,
1568115188.250282821,0.709123,,,,,,
1568115188.404308555,,0.519594,,,,,
1568115188.404308555,,,2.6694e-05,,,,
1568115188.404308555,,,,6.08e-06,,,
1568115188.616198190,0.716169,,,,,,
1568115188.776367994,,0.539633,,,,,
1568115188.776367994,,,2.9772e-05,,,,
1568115188.779386903,,,,1.5314e-05,,,
1568115188.975792184,0.665873,,,,,,
1568115189.135858272,,0.540316,,,,,
1568115189.135858272,,,0.00010128,,,,
1568115189.135858272,,,,1.1842e-05,,,
1568115189.363844747,0.76639,,,,,,
1568115189.517837269,,0.511227,,,,,
1568115189.517837269,,,2.5967e-05,,,,
1568115189.517837269,,,,5.007e-06,,,
1568115189.733046708,0.728762,,,,,,
1568115189.893090478,,0.535078,,,,,
1568115189.893090478,,,3.629e-05,,,,
1568115189.893090478,,,,7.079e-06,,,
1568115190.107461299,0.716861,,,,,,
1568115190.273817877,,0.557937,,,,,
1568115190.273817877,,,0.000160864,,,,
1568115190.273817877,,,,1.7358e-05,,,
1568115190.473123451,0.677761,,,,,,
1568115190.645261211,,0.572233,,,,,
1568115190.645261211,,,4.0238e-05,,,,
1568115190.645261211,,,,6.27e-06,,,
1568115190.850756941,0.693805,,,,,,
1568115191.017503080,,0.56718,,,,,
1568115191.017503080,,,3.0986e-05,,,,
1568115191.017503080,,,,6.558e-06,,,
1568115191.244093207,0.758665,,,,,,
1568115191.416296122,,0.587,,,,,
1568115191.416296122,,,3.2278e-05,,,,
1568115191.416296122,,,,5.856e-06,,,
1568115191.636814247,0.735427,,,,,,
1568115191.796827231,,0.539082,,,,,
1568115191.796827231,,,3.2917e-05,,,,
1568115191.796827231,,,,5.817e-06,,,
1568115192.017333131,0.744601,,,,,,
1568115192.186508551,,0.567446,,,,,
1568115192.186508551,,,3.296e-05,,,,
1568115192.186508551,,,,5.303e-06,,,
1568115192.410067602,0.753876,,,,,,
1568115192.573174916,,0.554146,,,,,
1568115192.573174916,,,3.7574e-05,,,,
1568115192.573174916,,,,5.544e-06,,,
1568115192.799885386,0.757122,,,,,,
1568115192.963034794,,0.552426,,,,,
1568115192.963034794,,,0.00019456,,,,
1568115192.963034794,,,,8.718e-06,,,
1568115193.193153259,0.777792,,,,,,
1568115193.371461916,,0.598119,,,,,
1568115193.371461916,,,4.5232e-05,,,,
1568115193.371461916,,,,6.981e-06,,,
1568115193.664761946,0.9955,,,,,,
1568115193.850651582,,0.631818,,,,,
1568115193.850651582,,,3.8524e-05,,,,
1568115193.850651582,,,,6.06e-06,,,
1568115194.152977660,1.01769,,,,,,
1568115194.310047217,,0.532448,,,,,
1568115194.310047217,,,5.3151e-05,,,,
1568115194.310047217,,,,8.307e-06,,,
1568115194.588344985,0.940379,,,,,,
1568115194.775621354,,0.628404,,,,,
1568115194.775621354,,,0.000210129,,,,
1568115194.775621354,,,,3.1727e-05,,,
1568115195.008234395,0.770562,,,,,,
1568115195.168502934,,0.54037,,,,,
1568115195.168502934,,,0.000186915,,,,
1568115195.168502934,,,,1.9593e-05,,,
1568115195.387027653,0.732984,,,,,,
1568115195.541329530,,0.51893,,,,,
1568115195.541329530,,,4.8218e-05,,,,
1568115195.541329530,,,,6.592e-06,,,
1568115195.789062255,0.838814,,,,,,
1568115195.958204891,,0.576765,,,,,
1568115195.958204891,,,5.8511e-05,,,,
1568115195.958204891,,,,8.532e-06,,,
1568115196.202799010,0.820048,,,,,,
1568115196.387306556,,0.628693,,,,,
1568115196.387306556,,,6.2976e-05,,,,
1568115196.387306556,,,,9.323e-06,,,
1568115196.659462504,0.920567,,,,,,
1568115196.834633196,,0.597263,,,,,
1568115196.834633196,,,3.9825e-05,,,,
1568115196.834633196,,,,5.972e-06,,,
1568115197.082507834,0.84029,,,,,,
1568115197.261026661,,0.599784,,,,,
1568115197.261026661,,,3.4642e-05,,,,
1568115197.261026661,,,,5.61e-06,,,
1568115197.533081900,0.930477,,,,,,
1568115197.755191284,,0.745298,,,,,
1568115197.755191284,,,4.0232e-05,,,,
1568115197.755191284,,,,7.441e-06,,,
1568115198.111347407,1.21271,,,,,,
1568115198.339285942,,0.772619,,,,,
1568115198.339285942,,,3.44e-05,,,,
1568115198.339285942,,,,8.182e-06,,,
1568115198.624899241,0.974956,,,,,,
1568115198.905902092,,0.951161,,,,,
1568115198.905902092,,,4.0561e-05,,,,
1568115198.905902092,,,,1.0018e-05,,,
1568115199.313873373,1.38207,,,,,,
1568115199.606993679,,0.991008,,,,,
1568115199.606993679,,,4.6516e-05,,,,
1568115199.606993679,,,,1.0403e-05,,,
1568115200.021831531,1.41525,,,,,,
1568115200.327887469,,1.05016,,,,,
1568115200.327887469,,,0.000275482,,,,
1568115200.327887469,,,,3.2156e-05,,,
1568115200.768285681,1.48717,,,,,,
1568115201.138578849,,1.29182,,,,,
1568115201.138578849,,,9.9799e-05,,,,
1568115201.138578849,,,,2.5214e-05,,,
1568115202.342558876,4.1209,,,,,,
1568115203.215496146,,2.98391,,,,,
1568115203.215496146,,,0.000108906,,,,
1568115203.215496146,,,,2.5323e-05,,,
1568115204.083418561,2.97899,,,,,,
1568115204.606064290,,1.80133,,,,,
1568115204.606064290,,,8.0229e-05,,,,
1568115204.606064290,,,,1.7785e-05,,,
1568115205.168183126,1.91103,,,,,,
1568115205.563266571,,1.35445,,,,,
1568115205.563266571,,,6.1772e-05,,,,
1568115205.563266571,,,,1.3289e-05,,,
1568115206.073390098,1.73735,,,,,,
1568115206.395209045,,1.10989,,,,,
1568115206.395209045,,,5.7576e-05,,,,
1568115206.395209045,,,,1.1753e-05,,,
1568115206.884711883,1.66724,,,,,,
1568115207.173473291,,0.984184,,,,,
1568115207.173473291,,,4.2483e-05,,,,
1568115207.173473291,,,,7.824e-06,,,
1568115207.551583692,1.30001,,,,,,
1568115207.814495883,,0.89355,,,,,
1568115207.814495883,,,5.4298e-05,,,,
1568115207.814495883,,,,1.0956e-05,,,
1568115208.196610282,1.29893,,,,,,
1568115208.527912401,,1.14403,,,,,
1568115208.527912401,,,4.7362e-05,,,,
1568115208.527912401,,,,9.482e-06,,,
1568115208.937322725,1.3961,,,,,,
1568115209.258165888,,1.09599,,,,,
1568115209.258165888,,,5.8677e-05,,,,
1568115209.258165888,,,,1.2447e-05,,,
1568115209.652982169,1.33891,,,,,,
