Duration,processBuffer,processMap,processCloud
1553088521.480589276,,,2.03267
1553088521.480589276,2.04172,,
1553088523.325641336,,,1.91261
1553088523.335707981,1.92575,,
1553088525.353686846,,,2.10079
1553088525.363753992,2.11295,,
1553088527.612424836,,,2.3338
1553088527.622529195,2.34561,,
1553088530.515290604,,,3.00567
1553088530.515290604,3.01126,,
1553088533.265533495,,,2.86724
1553088533.275611202,2.87262,,
1553088536.159302845,,,2.99781
1553088536.159302845,3.00474,,
1553088539.079443702,,,3.04081
1553088539.099574192,3.05305,,
1553088543.446703259,,,4.54298
1553088543.456764982,4.5489,,
1553088547.907186131,,,4.62626
1553088547.917252330,4.6364,,
1553088551.910947339,,,4.23153
1553088551.921009215,4.2418,,
1553088555.126005608,,,3.44073
1553088555.126005608,3.44766,,
1553088557.585326069,,,2.63715
1553088557.595448161,2.64554,,
1553088561.071315450,,,3.72906
1553088561.081378798,3.73699,,
1553088565.269721760,,,4.44672
1553088565.279790686,4.45717,,
1553088569.004274013,,,3.93043
1553088569.004274013,3.9379,,
1553088572.913014565,,,4.15672
1553088572.923087509,4.16517,,
1553088576.667545327,,,4.06059
1553088576.667545327,4.07109,,
1553088580.130203210,,,3.71209
1553088580.140882627,3.71993,,
1553088583.288180460,,,3.43692
1553088583.298238428,3.44616,,
1553088585.442659276,,,2.32768
1553088585.452723457,2.33444,,
1553088588.651059251,,,3.50722
1553088588.651059251,3.51435,,
1553088591.721846776,,,3.33052
1553088591.731875891,3.34268,,
1553088594.892093376,,,3.47612
1553088594.902176285,3.48645,,
1553088598.649011472,,,4.09979
1553088598.659084975,4.10881,,
1553088601.725662172,,,3.34794
1553088601.735733506,3.3599,,
1553088604.778033445,,,3.32506
1553088604.788107976,3.33644,,
1553088607.837498190,,,3.28763
1553088607.837498190,3.29386,,
1553088611.003034674,,,3.56677
1553088611.023571954,3.57499,,
1553088614.574690828,,,3.94846
1553088614.584760078,3.95746,,
1553088617.622337886,,,3.31891
1553088617.632516613,3.33122,,
1553088620.651254633,,,3.33375
1553088620.661400323,3.34166,,
1553088623.168972997,,,2.7375
1553088623.179037757,2.74487,,
1553088625.835926399,,,2.89903
1553088625.845996429,2.90904,,
1553088628.404982588,,,2.81807
1553088628.404982588,2.82535,,
1553088630.719139286,,,2.48104
1553088630.719139286,2.48979,,
1553088633.045812500,,,2.5114
1553088633.055891823,2.52247,,
1553088635.532336018,,,2.74117
1553088635.542374501,2.75101,,
1553088637.967412231,,,2.6368
1553088637.977479101,2.64918,,
1553088640.622571920,,,2.98814
1553088640.622571920,2.99561,,
1553088643.946967280,,,3.63033
1553088643.946967280,3.63813,,
1553088647.414542722,,,3.78516
1553088647.424607607,3.79336,,
1553088650.831776962,,,3.86054
1553088650.831776962,3.86682,,
1553088654.097747852,,,3.59278
1553088654.097747852,3.59963,,
1553088657.188095725,,,3.41324
1553088657.198118148,3.42208,,
1553088660.755166573,,,3.95721
1553088660.765233457,3.96486,,
1553088664.799119150,,,4.5058
1553088664.799119150,4.52571,,
1553088668.167281547,,,3.77551
1553088668.177344856,3.78567,,
1553088671.543381023,,,3.84706
1553088671.563546215,3.86242,,
1553088675.449548329,,,4.35902
1553088675.469672162,4.36829,,
1553088678.946561169,,,3.98301
1553088678.956808147,3.9925,,
1553088682.522983583,,,4.05059
1553088682.522983583,4.05924,,
1553088686.015279088,,,3.98716
1553088686.025352181,3.99618,,
1553088688.086257148,,,3.58506
1553088688.086257148,3.59129,,
1553088688.086257148,,,2.18952
1553088688.086257148,2.19344,,
