Duration,processBuffer,processMap,processCloud
1553088517.081545991,,,1.87716
1553088517.081545991,1.88128,,
1553088518.168497641,,,1.98829
1553088518.168497641,1.99084,,
1553088518.168497641,,,1.83196
1553088518.168497641,1.83429,,
1553088520.357739603,,,2.08379
1553088520.357739603,2.08797,,
1553088522.436609403,,,2.16467
1553088522.436609403,2.1676,,
1553088524.637916560,,,2.31872
1553088524.637916560,2.32237,,
1553088526.798295565,,,2.29086
1553088526.808357357,2.29363,,
1553088528.836970974,,,2.16101
1553088528.836970974,2.16455,,
1553088531.021573587,,,2.34204
1553088531.021573587,2.34461,,
1553088533.317736252,,,2.46545
1553088533.317736252,2.46894,,
1553088535.722682073,,,2.59981
1553088535.722682073,2.60254,,
1553088537.841250260,,,2.30011
1553088537.841250260,2.30376,,
1553088540.193756743,,,2.54842
1553088540.193756743,2.55156,,
1553088542.769908176,,,2.82195
1553088542.779970600,2.82848,,
1553088545.473440444,,,2.9023
1553088545.483461153,2.90923,,
1553088549.558621664,,,4.39458
1553088549.558621664,4.40104,,
1553088553.355951148,,,4.07614
1553088553.366013806,4.08132,,
1553088556.028650736,,,2.88783
1553088556.028650736,2.89328,,
1553088558.608977904,,,2.7578
1553088558.619041964,2.76249,,
1553088562.408093438,,,4.09791
1553088562.418156884,4.1039,,
1553088566.633165051,,,4.4766
1553088566.633165051,4.48406,,
1553088570.098977655,,,3.60043
1553088570.098977655,3.60662,,
1553088574.157543147,,,4.22707
1553088574.157543147,4.23334,,
1553088577.950107785,,,3.8808
1553088577.950107785,3.88583,,
1553088581.990062071,,,4.05292
1553088582.000125073,4.0607,,
1553088507.428882543,,,2.01006
1553088507.428882543,2.01853,,
1553088509.317789997,,,1.92861
1553088509.327854290,1.93466,,
1553088511.394862255,,,2.11934
1553088511.404948901,2.12519,,
1553088513.494690867,,,2.14137
1553088513.494690867,2.14935,,
1553088515.637878851,,,2.21958
1553088515.637878851,2.2232,,
1553088517.537775310,,,1.95995
1553088517.547806694,1.96485,,
1553088519.514466499,,,2.03504
1553088519.514466499,2.03856,,
