Duration,processBuffer,processMap,processCloud
1553088524.737887178,,,1.98446
1553088524.737887178,1.98845,,
1553088526.817419941,,,2.1292
1553088526.827478660,2.13515,,
1553088528.863883777,,,2.11125
1553088528.863883777,2.11406,,
1553088530.963586594,,,2.19448
1553088530.963586594,2.19946,,
1553088533.155851996,,,2.32763
1553088533.155851996,2.33135,,
1553088535.155436882,,,2.13746
1553088535.155436882,2.14094,,
1553088537.205385834,,,2.20766
1553088537.225579059,2.21496,,
1553088539.127438446,,,2.06753
1553088539.127438446,2.07006,,
1553088541.350537625,,,2.40758
1553088541.360592949,2.41151,,
1553088543.539620220,,,2.38836
1553088543.539620220,2.39192,,
1553088546.225956832,,,2.91718
1553088546.236013230,2.92109,,
1553088548.879495820,,,2.89301
1553088548.889977960,2.89937,,
1553088551.458802796,,,2.82254
1553088551.458802796,2.82694,,
1553088553.319002927,,,2.05561
1553088553.319002927,2.05856,,
1553088555.231202827,,,2.08069
1553088555.231202827,2.0856,,
1553088556.896101659,,,1.84791
1553088556.896101659,1.852,,
1553088557.598209757,,,2.53342
1553088557.598209757,2.53588,,
