Duration,noOfRecPlanes,noOfAssocPlanes
1568115186.921262945,40,11
1568115187.280598269,44,11
1568115187.655272693,45,12
1568115188.038931369,42,10
1568115188.404308555,47,11
1568115188.776367994,45,11
1568115189.135858272,43,11
1568115189.517837269,40,9
1568115189.893090478,44,11
1568115190.270799347,45,11
1568115190.645261211,43,11
1568115191.017503080,43,11
1568115191.416296122,47,11
1568115191.796827231,40,11
1568115192.186508551,44,10
1568115192.573174916,41,10
1568115192.963034794,45,10
1568115193.371461916,43,11
1568115193.850651582,42,10
1568115194.310047217,43,10
1568115194.775621354,43,10
1568115195.168502934,46,10
1568115195.541329530,43,11
1568115195.958204891,46,11
1568115196.387306556,41,11
1568115196.834633196,43,11
1568115197.261026661,44,10
1568115197.755191284,42,11
1568115198.339285942,44,10
1568115198.905902092,43,11
1568115199.606993679,46,10
1568115200.327887469,41,11
1568115201.138578849,41,11
1568115203.215496146,43,10
1568115204.606064290,41,10
1568115205.563266571,46,11
1568115206.395209045,48,10
1568115207.173473291,47,11
1568115207.814495883,42,11
1568115208.527912401,47,11
1568115209.258165888,42,12
1568115209.928570902,39,10
1568115210.597334323,45,11
1568115211.343120414,44,12
1568115212.018858438,47,11
1568115212.647968065,46,11
1568115213.227294981,49,11
1568115213.762466177,52,10
1568115214.237297733,52,12
1568115214.832608305,47,12
1568115215.402428778,50,10
1568115216.296192597,48,13
1568115217.095639239,45,14
1568115217.892464845,47,13
1568115218.629298742,43,14
1568115219.231624085,39,13
1568115219.782926492,42,12
1568115220.329821047,45,11
1568115220.949535056,44,12
1568115221.546182788,41,11
1568115222.056018654,56,12
1568115222.558243774,51,13
1568115223.066138078,50,12
1568115223.505113860,50,12
1568115223.976369958,52,12
1568115224.492314636,44,12
1568115225.027735270,40,10
1568115225.754129662,43,10
1568115226.490841481,40,10
1568115227.145408395,41,10
1568115227.731960759,47,9
1568115228.314164220,45,11
1568115228.822487756,44,10
1568115229.302444785,43,11
1568115229.823233759,47,11
1568115230.374736066,43,11
1568115230.962275714,46,11
1568115231.750697323,51,11
1568115232.519830928,45,11
1568115233.177779732,54,10
1568115233.780767967,49,11
1568115234.313847257,45,11
1568115234.825557574,50,11
1568115235.315317468,47,10
1568115235.799157796,49,11
1568115236.341148038,51,11
1568115236.897774772,46,12
1568115237.531903543,46,13
1568115238.308218710,45,12
1568115238.913763789,49,13
1568115239.495112116,51,15
1568115240.016022457,47,14
1568115240.539765575,43,15
1568115240.960611435,45,15
1568115241.384718389,45,14
1568115241.834997928,43,13
1568115242.369018716,45,10
1568115242.886232759,44,11
1568115243.342551312,45,11
1568115243.747682365,48,13
1568115244.153887900,47,14
1568115244.587652225,47,13
1568115245.062742240,49,15
1568115245.588298683,45,14
1568115246.325956659,45,13
1568115246.953070435,46,13
1568115247.513148431,43,15
1568115248.094258173,39,15
1568115248.594193094,47,15
1568115249.114426039,46,15
1568115249.707624170,44,15
