Duration,segmentation,association,deviation,average,segmentationMap,associationMap,deviationMap
1553088524.133666133,1.35956,,,,,,
1553088524.737887178,,0.624647,,,,,
1553088524.737887178,,,8.2582e-05,,,,
1553088524.737887178,,,,1.1577e-05,,,
1553088526.122041972,1.40884,,,,,,
1553088526.817419941,,0.719999,,,,,
1553088526.817419941,,,7.7856e-05,,,,
1553088526.817419941,,,,9.07e-06,,,
1553088528.289930059,1.51944,,,,,,
1553088528.863883777,,0.591591,,,,,
1553088528.863883777,,,6.6239e-05,,,,
1553088528.863883777,,,,5.048e-06,,,
1553088530.359403487,1.55509,,,,,,
1553088530.963586594,,0.638995,,,,,
1553088530.963586594,,,0.000215776,,,,
1553088530.963586594,,,,1.5379e-05,,,
1553088532.531015816,1.66599,,,,,,
1553088533.155851996,,0.661131,,,,,
1553088533.155851996,,,0.00018715,,,,
1553088533.155851996,,,,1.2622e-05,,,
1553088534.479306883,1.40741,,,,,,
1553088535.155436882,,0.729849,,,,,
1553088535.155436882,,,8.0623e-05,,,,
1553088535.155436882,,,,5.801e-06,,,
1553088536.607222916,1.55515,,,,,,
1553088537.205385834,,0.652141,,,,,
1553088537.205385834,,,0.000124961,,,,
1553088537.205385834,,,,1.116e-05,,,
1553088538.511454282,1.38719,,,,,,
1553088539.127438446,,0.680162,,,,,
1553088539.127438446,,,7.1973e-05,,,,
1553088539.127438446,,,,5.639e-06,,,
1553088540.760315067,1.76315,,,,,,
1553088541.350537625,,0.644161,,,,,
1553088541.350537625,,,8.3629e-05,,,,
1553088541.350537625,,,,7.662e-06,,,
1553088542.921063263,1.71613,,,,,,
1553088543.539620220,,0.671881,,,,,
1553088543.539620220,,,0.000174069,,,,
1553088543.539620220,,,,1.7727e-05,,,
1553088545.357711728,1.9588,,,,,,
1553088546.225956832,,0.958188,,,,,
1553088546.225956832,,,7.0466e-05,,,,
1553088546.225956832,,,,5.735e-06,,,
1553088548.058502513,1.97325,,,,,,
1553088548.879495820,,0.919518,,,,,
1553088548.879495820,,,9.6978e-05,,,,
1553088548.879495820,,,,8.376e-06,,,
1553088550.726913604,2.01784,,,,,,
1553088551.458802796,,0.80435,,,,,
1553088551.458802796,,,0.000172241,,,,
1553088551.458802796,,,,1.689e-05,,,
1553088552.825855459,1.49384,,,,,,
1553088553.319002927,,0.561555,,,,,
1553088553.319002927,,,7.6415e-05,,,,
1553088553.319002927,,,,5.419e-06,,,
1553088554.757058424,1.55894,,,,,,
1553088555.231202827,,0.521418,,,,,
1553088555.231202827,,,7.2082e-05,,,,
1553088555.231202827,,,,8.836e-06,,,
1553088556.409828631,1.31553,,,,,,
1553088556.896101659,,0.53205,,,,,
1553088556.896101659,,,0.000142083,,,,
1553088556.896101659,,,,1.3771e-05,,,
1553088557.598209757,1.91727,,,,,,
1553088557.598209757,,0.615939,,,,,
1553088557.598209757,,,5.8231e-05,,,,
1553088557.598209757,,,,5.715e-06,,,
