plane_id,count,aa_angle,aa_x,aa_y,aa_z,quat_x,quat_y,quat_z,quat_w,translation_x,translation_y,translation_z,score
36,1,0.010628,0.783313,0.0388016,0.620415,0.00416251,0.000206191,0.00329687,0.999986,0.0540209,0.0645419,0.446175,0.0397845
39,3,0.0198964,0,-0.73658,0.676351,0,-0.00732753,0.00672837,0.999951,0.0206649,0.498934,1.21104,0.053104
40,1,0.499118,0.0447102,0.00221467,0.998998,0.0110424,0.000546972,0.246729,0.969021,0.38997,0.0485007,0.637514,0.0889414
43,6,0.0103041,0,-0.261613,-0.965173,0,-0.00134783,-0.00497258,0.999987,0.000620238,-0.150426,1.02344,0.0427992
46,8,0.0132211,0,-0.383573,-0.92351,0,-0.00253562,-0.00610488,0.999978,0.913966,-0.123151,1.63936,0.155483
53,15,0.0487877,0,-0.0178526,0.999841,0,-0.00043545,0.0243876,0.999702,-0.0610936,0.0777946,1.37587,0.0621264
42,23,0.00417146,0,-0.0930701,-0.99566,0,-0.000194119,-0.00207667,0.999998,-0.117419,-0.00659243,0.568142,0.0394229
51,23,0.0150049,0,0.0272378,-0.999629,0,0.000204348,-0.00749961,0.999972,-0.0720183,-0.842317,1.31718,0.105104
58,10,0.0591084,-0,0.00076659,1,-0,2.26527e-05,0.0295499,0.999563,0.057222,0.0923888,1.66851,0.105173
37,18,0.0117422,0,-0.989417,-0.145101,0,-0.00580895,-0.000851903,0.999983,0.0289847,0.0951356,0.14214,0.0368956
56,9,0.0448531,0,0.0112637,-0.999937,0,0.000252585,-0.0224232,0.999749,-0.0221858,0.034067,1.63087,0.0386867
41,57,0.00641406,0,0.972117,-0.234495,0,0.00311761,-0.000752032,0.999995,0.0613069,-0.645797,-0.309874,0.0477578
60,4,0.0865811,-0,0.000970655,1,-0,4.2007e-05,0.043277,0.999063,0.00295154,-0.02259,1.69561,0.0556703
73,1,0.0246081,-0.0251995,0.506415,-0.861922,-0.000310048,0.0062308,-0.0106049,0.999924,-0.0480474,-0.708036,1.55506,0.088325
32,2,0.0954024,-0,0.215159,0.976579,-0,0.0102594,0.0465663,0.998863,-0.181965,0.135917,1.31806,0.172927
68,6,0.136421,-0,0.000460603,1,-0,3.13936e-05,0.0681577,0.997675,-0.00760569,-0.0579191,1.73681,0.065266
31,3,0.0400849,0,-0.0218713,-0.999761,0,-0.000438325,-0.0200363,0.999799,-0.726528,-0.0561964,1.13466,0.0820629
5,6,0.0226551,0,-0.0239091,0.999714,0,-0.000270826,0.0113241,0.999936,0.37234,0.161284,1.73216,0.153493
27,2,0.0202467,0,0.0843404,-0.996437,0,0.000853792,-0.0100871,0.999949,0.0485441,0.0218205,1.2459,0.033557
30,18,0.025473,0,0.790164,-0.612896,0,0.0100637,-0.00780595,0.999919,-0.287584,5.44509,0.336561,0.0453416
70,7,0.013727,0,-0.0257599,-0.999668,0,-0.000176801,-0.00686117,0.999976,0.000907857,-0.0769699,1.49133,0.0785686
71,75,0.0115245,-0,0.816704,0.577057,-0,0.00470603,0.00332513,0.999983,-0.0407131,-0.0743153,0.925749,0.0565846
59,172,0.00529734,0,0.959337,-0.282263,0,0.00254097,-0.000747622,0.999996,0.108314,-0.0372135,1.37391,0.0904805
3,17,0.00929506,-0,0.956835,0.29063,-0,0.00444691,0.00135071,0.999989,-0.0375414,1.30372,0.800818,0.0328477
50,130,0.0182142,-0,0.00552745,0.999985,-0,5.03383e-05,0.00910683,0.999959,-0.0379697,-0.083274,0.203917,0.0747051
61,142,0.349889,-0,0.0308877,0.999523,-0,0.00537611,0.17397,0.984736,-0.762153,-0.309849,1.34304,0.7335
69,150,0.0149777,-0,0.94633,0.323201,-0,0.00708688,0.00242039,0.999972,0.0465559,-0.517249,0.74613,0.0401873
0,205,0.00712876,0,-0.999919,0.0127009,0,-0.00356408,4.52708e-05,0.999994,-3.42243,6.15088,-0.00850531,0.0295023
35,195,0.00218731,0,-0.228606,0.973519,0,-0.000250016,0.00106469,0.999999,0.10694,-1.47426,0.684543,0.0237867
63,176,0.00831358,-0,0.996112,0.0881001,-0,0.00414062,0.000366213,0.999991,-0.0207804,0.296554,1.39379,0.0238367
67,164,0.0125085,-0,0.887747,0.460331,-0,0.00555214,0.002879,0.99998,-0.0161533,0.0635684,1.05918,0.0276029
34,166,0.00275731,-0,0.0328646,0.99946,-0,4.53089e-05,0.00137791,0.999999,0.173994,0.0521976,0.433168,0.0398134
8,11,0.0230406,0,0.982447,-0.186542,0,0.0113178,-0.00214897,0.999934,0.0208309,-0.0935761,1.35691,0.0268458
55,156,0.00924577,0,0.869012,-0.49479,0,0.00401733,-0.00228735,0.999989,0.00571994,-0.108734,1.16485,0.0315617
2,8,0.0894383,0,-0.000142778,1,0,-6.38277e-06,0.0447042,0.999,-1.29342,-0.0559812,1.61991,0.0166548
49,43,0.00796725,-0,0.112409,0.993662,-0,0.000447795,0.00395837,0.999992,0.0172032,-1.07767,0.838681,0.0454336
65,12,0.0366668,0,-0.0117727,-0.999931,0,-0.000215822,-0.0183311,0.999832,-0.0538898,0.0588815,1.3586,0.0722835
62,10,0.448363,0,-0.0020354,0.999998,0,-0.000452488,0.222308,0.974976,-0.757084,-0.39656,1.56484,0.0755102
66,66,0.0117427,0,0.965958,-0.258698,0,0.00567143,-0.00151889,0.999983,-0.0275664,0.0664199,1.41286,0.0378352
54,22,0.0103512,0,-0.0135776,0.999908,0,-7.02719e-05,0.0051751,0.999987,-0.112853,-0.0297797,1.35384,0.0402005
7,51,0.00507015,0,-0.0186496,-0.999826,0,-4.7278e-05,-0.00253463,0.999997,0.53722,0.00703498,0.513358,0.060753
57,168,0.00881916,-0,0.996768,0.0803346,-0,0.00439531,0.000354241,0.99999,-0.0411138,0.134247,1.17476,0.027636
10,34,0.014947,-0,0.980232,0.19785,-0,0.00732571,0.00147862,0.999972,-0.00575192,-0.253289,0.606004,0.0655377
33,44,0.0185247,-0,0.99653,0.0832397,-0,0.00923007,0.000770984,0.999957,0.00470816,0.129244,0.770721,0.0396478
48,118,0.00301866,0,-0.122974,-0.99241,0,-0.000185609,-0.00149787,0.999999,-0.420314,-0.0724679,0.161163,0.0589556
1,2,0.490472,0,-0.998345,0.0575167,0,-0.242383,0.0139642,0.97008,-1.25546,-0.938354,1.89376,0.378031
