Duration,processBuffer,processMap,processCloud
1553088542.519552527,,,2.57302
1553088542.529610016,2.57732,,
1553088544.757231361,,,2.27272
1553088544.757231361,2.27669,,
1553088547.233081297,,,2.53082
1553088547.233081297,2.53334,,
1553088549.227939152,,,2.05673
1553088549.227939152,2.06095,,
1553088551.234165826,,,2.09406
1553088551.234165826,2.09724,,
1553088552.818013646,,,1.66884
1553088552.828074475,1.67348,,
1553088554.593964373,,,1.86215
1553088554.593964373,1.86424,,
1553088556.055532265,,,1.55234
1553088556.065601642,1.55461,,
1553088557.781352510,,,1.83045
1553088557.781352510,1.834,,
1553088560.340689879,,,2.69288
1553088560.340689879,2.70063,,
1553088564.444078490,,,4.29846
1553088564.444078490,4.30505,,
1553088567.962935994,,,3.65995
1553088567.973022008,3.66969,,
1553088571.683974044,,,3.88294
1553088571.694020489,3.89247,,
1553088575.459856698,,,3.97104
1553088575.459856698,3.97708,,
1553088579.847041103,,,4.64151
1553088579.857102927,4.65138,,
1553088583.158570140,,,3.52108
1553088583.158570140,3.52699,,
1553088585.575010228,,,2.56944
1553088585.585171551,2.57541,,
1553088588.856424337,,,3.48529
1553088588.866576032,3.49355,,
1553088591.993614504,,,3.3553
1553088592.003680513,3.36241,,
1553088595.056871898,,,3.24973
1553088595.056871898,3.2565,,
1553088598.544380977,,,3.75911
1553088598.544380977,3.76517,,
1553088601.645567315,,,3.31425
1553088601.655610907,3.32354,,
1553088604.691052173,,,3.25896
1553088604.691052173,3.26788,,
1553088607.773612113,,,3.31642
1553088607.783674644,3.32474,,
1553088610.938445104,,,3.42364
1553088610.948505766,3.43359,,
1553088614.353343017,,,3.6684
1553088614.363406411,3.67577,,
1553088617.441997243,,,3.29672
1553088617.441997243,3.30505,,
1553088620.541878333,,,3.35132
1553088620.554837329,3.35953,,
1553088623.302997205,,,2.95666
1553088623.313065702,2.96385,,
1553088625.982811081,,,2.90116
1553088625.982811081,2.90901,,
1553088629.043236323,,,3.27295
1553088629.053300132,3.27956,,
1553088631.545295891,,,2.71778
1553088631.555398004,2.72651,,
1553088634.016914036,,,2.65566
1553088634.026981239,2.66616,,
1553088636.648920914,,,2.86756
1553088636.658991658,2.87733,,
1553088639.559091767,,,3.14024
1553088639.569172920,3.14759,,
1553088642.370771538,,,3.04039
1553088642.380835246,3.05625,,
1553088645.338972304,,,3.22311
1553088645.338972304,3.23628,,
1553088648.953235978,,,3.89884
1553088648.963419353,3.90759,,
1553088652.617675249,,,4.00829
1553088652.627737629,4.01486,,
1553088655.934944666,,,3.60687
1553088655.945008880,3.61496,,
1553088659.342016297,,,3.69324
1553088659.352118750,3.69969,,
1553088663.089871410,,,4.11444
1553088663.110013165,4.13392,,
1553088666.594815785,,,3.82981
1553088666.604946470,3.8389,,
1553088670.321328674,,,4.15268
1553088670.321328674,4.15973,,
1553088673.902463154,,,3.97591
1553088673.912698000,3.98355,,
1553088677.381653837,,,3.86298
1553088677.381653837,3.87046,,
1553088681.026623785,,,4.10069
1553088681.036878982,4.11802,,
1553088684.238058831,,,3.6084
1553088684.248122898,3.61472,,
1553088687.594748836,,,3.86695
1553088687.604819625,3.87459,,
1553088688.080064154,,,2.89729
1553088688.080064154,2.90213,,
1553088688.080064154,,,2.56149
1553088688.080064154,2.5675,,
