plane_id,count,aa_angle,aa_x,aa_y,aa_z,quat_x,quat_y,quat_z,quat_w,translation_x,translation_y,translation_z,score
30,5,0.0213137,0,0.982721,-0.185095,0,0.0104725,-0.00197249,0.999943,0.0611407,5.34478,0.195573,0.0827463
68,7,0.00636091,0,0.0164496,-0.999865,0,5.23172e-05,-0.00318002,0.999995,-0.00824746,-0.0761768,1.78773,0.0752263
64,5,0.137221,0,-0.00334343,0.999994,0,-0.000229214,0.0685561,0.997647,-1.2343,0.0152355,1.55306,0.0137301
59,111,0.00540558,0,0.99177,-0.128035,0,0.00268054,-0.000346052,0.999996,0.0902174,-0.0840378,1.31494,0.0942129
60,65,0.00206979,0,0.0341977,-0.999415,0,3.5391e-05,-0.00103429,0.999999,0.0375722,-0.00951846,1.68647,0.0130497
61,110,0.347677,-0,0.0323256,0.999477,-0,0.00559118,0.172874,0.984928,-0.751186,-0.25731,1.27681,0.748745
69,112,0.0154399,-0,0.701557,0.712613,-0,0.00541595,0.0055013,0.99997,0.0121162,-0.405435,0.744875,0.0480843
0,129,0.0122771,0,1,-0.000262696,0,0.00613852,-1.61257e-06,0.999981,-4.26859,4.24413,-0.00331426,0.0157599
35,129,0.0174446,-0,0.99646,0.0840707,-0,0.00869129,0.000733278,0.999962,0.0505501,0.686216,1.02124,0.0260599
65,25,0.182735,0,-0.000586233,-1,0,-5.34881e-05,-0.0912403,0.995829,-0.054878,0.0387959,1.08951,0.084451
63,129,0.00603679,0,0.985475,-0.169819,0,0.00297455,-0.00051258,0.999995,-0.00485773,-0.0467209,1.44999,0.0176339
9,6,0.0394667,0,0.00207975,-0.999998,0,4.10377e-05,-0.019732,0.999805,-0.0343118,0.00758388,0.772545,0.0286787
56,48,0.0243522,0,-0.0154425,0.999881,0,-0.000188024,0.0121743,0.999926,-0.0191752,-0.036343,1.12164,0.0374376
33,20,0.0164253,-0,0.9637,0.266987,-0,0.00791442,0.00219264,0.999966,0.00509316,1.34494,1.27453,0.0347927
67,129,0.0086691,-0,0.766553,0.642181,-0,0.00332266,0.00278356,0.999991,-0.0091183,0.0392122,1.05113,0.0273323
10,15,0.0238157,-0,0.74155,0.670898,-0,0.00883004,0.00798875,0.999929,-0.0848608,-0.104181,0.627218,0.0885286
57,109,0.0139831,0,0.255917,-0.966699,0,0.00178925,-0.00675868,0.999976,-0.0112418,0.222304,0.998615,0.0254165
34,71,0.00992126,0,-0.017165,0.999853,0,-8.5149e-05,0.00495988,0.999988,0.382014,-0.00717241,0.750747,0.0225695
8,11,0.02603,-0,0.782404,0.622771,-0,0.0101827,0.00810515,0.999915,-0.0736028,-0.00315479,0.939844,0.0634407
55,79,0.0130619,0,0.691472,-0.722403,0,0.00451595,-0.00471796,0.999979,-0.0319435,-0.111705,1.07787,0.0285051
62,8,0.358006,-0,7.73324e-05,1,-0,1.37689e-05,0.178049,0.984022,-0.792326,-0.364313,1.72074,0.0915654
66,61,0.00797899,-0,0.0183868,0.999831,-0,7.3354e-05,0.00398881,0.999992,-0.00774836,0.00557445,1.40684,0.0261277
71,57,0.00982988,-0,0.560894,0.827888,-0,0.00275675,0.004069,0.999988,-0.0701443,-0.0969291,0.866741,0.0739938
2,13,0.065251,-0,0.00182325,0.999998,-0,5.94739e-05,0.0326197,0.999468,-1.26837,-0.018703,1.32175,0.0611784
1,2,0.420371,0,-0.998221,0.0596155,0,-0.20827,0.0124382,0.977992,-1.24713,-0.167708,1.47285,0.560032
70,10,0.0104338,-0,0.0176574,0.999844,-0,9.21162e-05,0.00521605,0.999986,-0.0322471,-0.121095,1.44497,0.119951
7,26,0.000279669,-0,0.370728,0.928742,-0,5.18406e-05,0.00012987,1,0.656985,-0.00926179,0.405775,0.044125
