Duration,segmentation,association,deviation,average,segmentationMap,associationMap,deviationMap
1553088541.749365674,1.78869,,,,,,
1553088542.519552527,,0.783671,,,,,
1553088542.519552527,,,0.000357423,,,,
1553088542.519552527,,,,3.4378e-05,,,
1553088544.085208122,1.58344,,,,,,
1553088544.757231361,,0.68901,,,,,
1553088544.757231361,,,0.000105856,,,,
1553088544.757231361,,,,9.414e-06,,,
1553088546.426064202,1.7015,,,,,,
1553088547.233081297,,0.829169,,,,,
1553088547.233081297,,,5.8962e-05,,,,
1553088547.233081297,,,,3.992e-06,,,
1553088548.569528661,1.37896,,,,,,
1553088549.227939152,,0.677511,,,,,
1553088549.227939152,,,9.4516e-05,,,,
1553088549.227939152,,,,7.998e-06,,,
1553088550.625358057,1.4592,,,,,,
1553088551.234165826,,0.634641,,,,,
1553088551.234165826,,,9.5212e-05,,,,
1553088551.234165826,,,,7.624e-06,,,
1553088552.364573968,1.18617,,,,,,
1553088552.818013646,,0.482435,,,,,
1553088552.818013646,,,7.5142e-05,,,,
1553088552.818013646,,,,8.584e-06,,,
1553088554.220693451,1.46986,,,,,,
1553088554.593964373,,0.391962,,,,,
1553088554.593964373,,,5.2995e-05,,,,
1553088554.593964373,,,,6.183e-06,,,
1553088555.626276726,1.0819,,,,,,
1553088556.055532265,,0.470174,,,,,
1553088556.055532265,,,6.7562e-05,,,,
1553088556.055532265,,,,6.622e-06,,,
1553088557.173908480,1.17912,,,,,,
1553088557.781352510,,0.651129,,,,,
1553088557.781352510,,,6.3372e-05,,,,
1553088557.781352510,,,,6.005e-06,,,
1553088559.491585729,1.79839,,,,,,
1553088560.340689879,,0.894057,,,,,
1553088560.340689879,,,0.000201118,,,,
1553088560.340689879,,,,1.7384e-05,,,
1553088563.185687491,3.00159,,,,,,
1553088564.444078490,,1.29652,,,,,
1553088564.444078490,,,0.000140054,,,,
1553088564.444078490,,,,9.259e-06,,,
1553088566.581717704,2.21159,,,,,,
1553088567.962935994,,1.44799,,,,,
1553088567.962935994,,,0.000151115,,,,
1553088567.962935994,,,,1.1841e-05,,,
1553088570.136973579,2.27215,,,,,,
1553088571.683974044,,1.61033,,,,,
1553088571.683974044,,,0.000181335,,,,
1553088571.683974044,,,,1.9257e-05,,,
1553088574.081691400,2.5154,,,,,,
1553088575.459856698,,1.45527,,,,,
1553088575.459856698,,,0.000153332,,,,
1553088575.459856698,,,,1.4659e-05,,,
1553088578.249910196,2.93892,,,,,,
1553088579.847041103,,1.70219,,,,,
1553088579.847041103,,,0.000162415,,,,
1553088579.847041103,,,,1.3847e-05,,,
1553088581.865045839,2.13268,,,,,,
