0,1,2,3
0.00771248,0.000314894,0.000407198,0.000828508
0.000747378,0.000142373,0.000594152,0.000673035
0.000272837,0.000358741,6.8841e-05,0.000106565
0.00161121,0.000136919,0.000561779,0.000948405
0.000318293,9.3598e-05,0.000173321,0.000251379
0.000336788,0.000113922,0.000181354,0.000296228
0.000703979,0.000236527,9.7992e-05,0.00015215
0.000317087,0.000133319,0.000151427,0.000244645
0.00170854,0.0003454,0.000327167,0.000619166
0.000394765,0.000137776,9.0757e-05,0.00016217
0.000369337,0.000123558,0.000169521,0.000264223
0.000424054,0.000145147,9.5226e-05,0.000208435
0.000373624,0.000130489,0.000127438,0.000207635
0.00165156,0.000222296,0.000123652,0.00019237
0.000355079,0.000115453,9.0276e-05,0.000161243
0.000588054,0.000143825,0.000120353,0.000224143
0.000544115,0.000259653,0.000111577,0.000197337
0.000629209,0.000153052,0.000103741,0.000189873
0.000430698,0.000125073,9.6734e-05,0.000150827
0.000924215,0.000159089,0.000368561,0.000719652
0.000583782,0.000139839,0.000119379,0.00020889
0.000566385,0.000118927,8.7733e-05,0.000149071
0.000485627,0.000118363,0.000103586,0.00020098
0.000442117,8.7524e-05,8.9147e-05,0.000175441
0.000450762,8.9204e-05,9.8334e-05,0.000167868
0.000400861,0.000104152,0.000556948,0.000986244
0.00148123,0.000223737,8.7173e-05,0.000149697
0.000559391,0.000124694,0.000131635,0.000205504
0.000615097,0.000173912,0.000254385,0.000355718
0.00045234,7.7539e-05,0.000144937,0.000263444
0.00285213,0.000345448,0.000161371,0.000281801
0.000468471,9.6721e-05,0.000626122,0.000841379
0.00049913,0.000154664,0.000727125,0.00112048
0.000553227,0.000179192,8.5739e-05,0.000136348
0.00082415,0.000212126,0.000117245,0.000187855
0.000610296,0.000128298,0.000161743,0.000227766
0.000452306,0.000143793,0.00010944,0.00017739
0.000616207,9.7685e-05,0.000175843,0.000259051
0.00041109,0.000142695,9.6888e-05,0.000147246
0.00292742,0.000456701,0.000176269,0.000252499
0.000593994,0.000135688,0.000150576,0.000253365
0.000545566,0.000109391,0.000135322,0.000210922
0.00194666,0.000120487,0.000170427,0.000257378
0.000543642,0.000124969,0.00023794,0.000428054
0.000427023,0.000125637,0.000802788,0.000901635
0.000430136,7.4825e-05,0.000188466,0.000287747
0.000519661,8.3209e-05,9.0186e-05,0.000133234
0.000741378,0.000162571,0.000233961,0.000397717
0.00401293,0.000299529,0.000111828,0.000177065
0.000642333,0.000127463,0.000206799,0.000299104
0.000519506,0.0002266,0.000226086,0.000306916
0.00183499,0.000217214,0.000197216,0.000249929
0.000493188,0.000114672,0.000271797,0.000348623
0.00070441,0.000158113,0.00165431,0.00249542
0.000545797,0.000101717,0.000326882,0.000405933
0.000765227,0.000162092,0.000241542,0.000329553
0.000843194,0.000176081,0.000362925,0.000434691
0.00058942,0.000129648,0.000375986,0.000580729
0.00276972,0.000408739,0.000333665,0.00062037
0.000536851,0.000129645,0.000220901,0.000300415
0.000617297,0.000142687,0.000846971,0.0012413
0.00192503,0.000367943,0.000159941,0.000210145
0.00045635,0.000115623,0.000210796,0.000290483
0.00170168,0.000181652,0.000924511,0.001244
0.000720264,0.000296491,0.000256723,0.000340401
0.00375758,0.000408886,0.000725975,0.00109963
0.00270309,0.00022763,0.00126734,0.00168156
0.00043804,8.6938e-05,0.000297317,0.000407884
0.000601986,0.000103919,0.000474539,0.00126429
0.0022542,0.000124985,0.000824224,0.00168016
0.000916535,0.000252547,0.000496357,0.000583364
0.000656338,0.000132504,0.00013711,0.000193712
0.000487648,8.329e-05,0.00031368,0.000482411
0.00102926,0.000145553,0.000638565,0.00135144
0.000632487,0.000136838,0.00011584,0.000196824
0.000443209,9.6457e-05,0.000670138,0.00157422
0.000674403,0.000182564,8.8787e-05,0.000128339
0.000686457,0.000214239,0.000535074,0.000965451
0.000695136,0.000129674,0.000130072,0.000189574
0.000501055,7.9348e-05,0.000136786,0.000325604
0.000477124,0.00012322,0.000197552,0.000351372
0.00055974,0.000114549,7.9797e-05,0.000122856
0.000567873,0.000123016,0.000936608,0.00125266
0.000529042,8.2419e-05,0.000112873,0.00017258
0.000718956,0.000114624,0.000131838,0.000215649
0.0021033,0.00055409,0.000135595,0.000260898
0.00370524,0.000325353,0.000131062,0.000191256
0.000789148,0.000177549,0.000171837,0.000280935
0.000524847,0.00012052,0.00017122,0.000356753
0.000576443,0.000362518,0.000152169,0.000250229
0.000562477,0.000112196,0.000160857,0.000324007
0.000469045,8.1582e-05,0.000131621,0.00020026
0.000669453,0.000163859,0.000211069,0.000308954
0.000715968,0.000122512,9.6042e-05,0.000146666
0.000512179,8.5262e-05,0.000182781,0.000267245
0.000486325,8.4421e-05,0.00133362,0.00177547
0.00458043,0.000419399,0.000136283,0.000194135
0.000607229,0.000121752,0.000968942,0.00151773
0.00146367,0.000134067,0.00111286,0.001492
0.00371837,0.000209621,0.000268529,0.000357024
0.000532787,0.000112178,0.000858876,0.0013692
0.000775952,0.000164429,0.000144538,0.000188148
0.000502498,0.000113503,0.000237556,0.000313783
0.000595211,0.000119717,0.000250418,0.000325754
0.000469251,8.1385e-05,0.000231708,0.0003171
0.0010267,0.000243722,0.000159086,0.000247061
0.000629383,0.000293587,0.000151729,0.000216179
0.000943643,0.000152539,0.000164308,0.000248163
0.000807279,0.000141405,0.000134641,0.000192013
0.00100281,0.000147187,0.000644603,0.00106422
0.00053033,0.000119237,0.000182854,0.000262037
0.000614132,0.000242896,0.000108404,0.000186873
0.00602849,0.000149334,0.000120923,0.000190551
0.00225755,0.000270232,0.000127689,0.000188487
0.00224474,0.000227023,0.000241079,0.000361077
0.00167172,0.000238212,0.000817106,0.000950295
0.00131466,0.000179549,0.000474966,0.000732727
0.000680974,8.8572e-05,0.00146335,0.0019116
0.000446799,9.7262e-05,0.000158822,0.000235429
0.000474096,0.000117706,0.0012476,0.00168685
0.00309548,0.000436825,0.000251032,0.000424465
0.000510579,0.000109874,0.000215122,0.000372842
0.000549674,0.000112539,0.000203415,0.00030642
0.000780202,0.000169359,0.000138362,0.000212764
0.000596932,0.000114872,0.000692181,0.00112703
