Duration,selectiveICP,normalICP,gotCloud,processCloud,mapping,realTimeCap
1553088502.255066113,,,,0.706822,,
1553088502.365748893,,,,0.121059,,
1553088502.446366106,,0.242609,,,,
1553088502.446366106,,,0.366946,,,
1553088502.446366106,,,,,,0
1553088502.496671838,,,,0.0887419,,
1553088502.567087233,,0.195606,,,,
1553088502.567087233,,,0.286581,,,
1553088502.567087233,,,,,,282
1553088502.628511840,,,,0.0994604,,
1553088502.700192365,,0.199893,,,,
1553088502.700192365,,,0.301142,,,
1553088502.700192365,,,,,,297
1553088502.760580608,,,,0.100969,,
1553088502.820978193,,0.179432,,,,
1553088502.820978193,,,0.282984,,,
1553088502.820978193,,,,,,278
1553088502.881346828,,,,0.0963495,,
1553088502.941762500,,0.220459,,,,
1553088502.941762500,,,0.318466,,,
1553088502.941762500,,,,,,314
1553088503.002108189,,,,0.0948083,,
1553088503.053039975,,0.165065,,,,
1553088503.053039975,,,0.26179,,,
1553088503.053039975,,,,,,258
1553088503.113466401,,,,0.0954451,,
1553088503.163806841,,0.160534,,,,
1553088503.163806841,,,0.258257,,,
1553088503.173863137,,,,,,254
1553088503.224162350,,,,0.0915854,,
1553088503.264410845,,0.116294,,,,
1553088503.264410845,,,0.209807,,,
1553088503.264410845,,,,,,207
1553088503.324984208,,,,0.0919771,,
1553088503.365213856,,0.109273,,,,
1553088503.365213856,,,0.204151,,,
1553088503.365213856,,,,,,201
1553088503.425592265,,,,0.0942952,,
1553088503.465845985,,0.116488,,,,
1553088503.465845985,,,0.212507,,,
1553088503.465845985,,,,,,209
1553088503.526216342,,,,0.0927052,,
1553088503.566936819,,0.145837,,,,
1553088503.577014302,,,0.240594,,,
1553088503.577014302,,,,,,237
1553088503.627334569,,,,0.0772996,,
1553088503.657541517,,0.0949482,,,,
1553088503.657541517,,,0.173729,,,
1553088503.657541517,,,,,,171
1553088503.717896458,,,,0.0968224,,
1553088503.748091409,,0.107658,,,,
1553088503.748091409,,,0.206134,,,
1553088503.748091409,,,,,,203
1553088503.808469952,,,,0.0982694,,
1553088503.848750781,,0.104513,,,,
1553088503.848750781,,,0.204688,,,
1553088503.848750781,,,,,,201
1553088503.909136761,,,,0.0968683,,
1553088503.939550974,,0.0875911,,,,
1553088503.939550974,,,0.186449,,,
1553088503.939550974,,,,,,183
1553088504.000159996,,,,0.0989175,,
1553088504.041219507,,0.107158,,,,
1553088504.041219507,,,0.207879,,,
1553088504.041219507,,,,,,205
1553088504.101612513,,,,0.0978989,,
1553088504.131781010,,0.102238,,,,
1553088504.141840289,,,0.202032,,,
1553088504.141840289,,,,,,199
1553088504.192148700,,,,0.0893054,,
1553088504.232381759,,0.117259,,,,
1553088504.232381759,,,0.208193,,,
1553088504.232381759,,,,,,205
1553088504.282746416,,,,0.093887,,
1553088504.322996017,,0.106267,,,,
1553088504.322996017,,,0.202353,,,
1553088504.322996017,,,,,,199
1553088504.383442148,,,,0.0927676,,
1553088504.413884211,,0.11987,,,,
1553088504.423961314,,,0.21462,,,
1553088504.423961314,,,,,,211
1553088504.474264101,,,,0.0981898,,
1553088504.514560398,,0.105029,,,,
1553088504.514560398,,,0.206612,,,
1553088504.514560398,,,,,,203
1553088504.564849364,,,,0.0790978,,
1553088504.605061298,,0.115006,,,,
1553088504.605061298,,,0.195779,,,
1553088504.605061298,,,,,,193
1553088504.666228312,,,,0.096579,,
1553088504.696452223,,0.0852297,,,,
1553088504.696452223,,,0.183541,,,
1553088504.696452223,,,,,,181
1553088504.766845959,,,,0.0793518,,
1553088504.797004131,,0.0992564,,,,
1553088504.797004131,,,0.181042,,,
1553088504.797004131,,,,,,178
1553088504.867478487,,,,0.089274,,
1553088504.897655493,,0.119174,,,,
1553088504.897655493,,,0.212715,,,
1553088504.897655493,,,,,,208
1553088504.968106966,,,,0.0818464,,
1553088504.998280558,,0.100269,,,,
1553088504.998280558,,,0.183918,,,
1553088504.998280558,,,,,,181
1553088505.069118258,,,,0.093076,,
1553088505.099314008,,0.0938893,,,,
