Duration,x,y,z,x,y,z,w
1568115178.842073000,-0.8955,-1.39542,0.0122271,-0.00118304,0.00148344,0.193032,0.981191
1568115179.443305000,-0.882261,-1.42736,0.0176072,-0.0023143,0.00091395,0.192908,0.981214
1568115180.044391000,-3.52085,-1.70121,0.119635,-0.00646391,-0.0170445,-0.120891,0.992498
1568115180.645708000,-3.58737,-1.78087,0.109677,-0.0088774,-0.0176983,-0.110392,0.993691
1568115181.447259000,-9.60921,-1.36517,0.184065,-0.00920359,-0.0178254,-0.180749,0.983325
1568115182.048371000,-9.59193,-1.36402,0.177748,-0.00951344,-0.0178149,-0.184627,0.982601
1568115182.449218000,-14.3407,0.428638,0.106053,-0.0101552,-0.0211519,-0.302171,0.952965
1568115183.050397000,-11.9904,-0.04038,0.0971811,-0.0102901,-0.0117144,-0.259595,0.965592
1568115183.451182000,-19.3535,3.18693,-0.033731,-0.0165555,0.0100556,-0.0344041,0.99922
1568115183.851977000,-13.3427,1.38633,0.0960126,-0.00810032,-0.0231236,-0.368726,0.929215
1568115184.252748000,-18.6281,4.62964,-0.079699,-0.00199212,0.0101327,-0.0981183,0.995121
1568115184.453173000,-13.9785,4.32086,-0.0554132,0.0081743,-0.00656636,-0.169654,0.985448
1568115185.254776000,-2.64162,5.94524,-0.0676713,0.0242494,0.00802761,-0.525949,0.850132
1568115185.855997000,-11.8005,12.7051,-0.137492,0.00491837,0.0147549,-0.0701242,0.997417
