Duration,ICPErrorClosestFacetAll,ResidualError,RobustMeanDist,NbPointsRobMeanDist,HaussdorffDist,HaussdorffQuantileDist,ICPErrorClosestFacetRef,selectiveICPOverlap,normalICPOverlap,sizeOfMap
Number of Facets in Model: 182
1568115179.443305000,,,,,,,,,0.798894,
1568115179.643655000,,,,,,,,,0.798557,
1568115179.844081000,,,,,,,,,0.798565,
1568115180.044391000,,,,,,,,,0.798389,
1568115180.244881000,,,,,,,,,0.798778,
1568115180.445323000,,,,,,,,,0.79862,
1568115180.645708000,,,,,,,,,0.798127,
1568115180.846080000,,,,,,,,,0.798743,
1568115181.046443000,,,,,,,,,0.798308,
1568115181.246795000,,,,,,,,,0.798621,
1568115181.447259000,,,,,,,,0.698355,,
1568115181.447259000,,,,,,,,,,4554
1568115181.647628000,,,,,,,,0.698762,,
1568115181.647628000,,,,,,,,,,7906
1568115181.848068000,,,,,,,,0.698848,,
1568115181.848068000,,,,,,,,,,10696
1568115182.048371000,,,,,,,,0.698544,,
1568115182.048371000,,,,,,,,,,13457
1568115182.249475000,,,,,,,,0.697984,,
1568115182.249475000,,,,,,,,,,16026
1568115182.449218000,,,,,,,,0.698251,,
1568115182.449218000,,,,,,,,,,18613
1568115182.649601000,,,,,,,,0.69835,,
1568115182.649601000,,,,,,,,,,21033
1568115182.850530000,,,,,,,,0.697927,,
1568115182.850530000,,,,,,,,,,23338
1568115183.050397000,,,,,,,,0.698821,,
1568115183.050397000,,,,,,,,,,25696
1568115183.250772000,,,,,,,,0.698112,,
1568115183.250772000,,,,,,,,,,28240
1568115183.451182000,,,,,,,,0.697518,,
1568115183.451182000,,,,,,,,,,30638
1568115183.651558000,,,,,,,,0.698493,,
1568115183.651558000,,,,,,,,,,33027
1568115183.851977000,,,,,,,,0.697761,,
1568115183.851977000,,,,,,,,,,35377
1568115184.052352000,,,,,,,,0.697909,,
1568115184.052352000,,,,,,,,,,37638
1568115184.252748000,,,,,,,,0.698041,,
1568115184.252748000,,,,,,,,,,39921
1568115184.453173000,,,,,,,,0.698326,,
1568115184.453173000,,,,,,,,,,42337
1568115184.653570000,,,,,,,,0.697762,,
1568115184.653570000,,,,,,,,,,44526
1568115184.853984000,,,,,,,,0.697862,,
1568115184.853984000,,,,,,,,,,46996
1568115185.054391000,,,,,,,,0.698173,,
1568115185.054391000,,,,,,,,,,49313
1568115185.254776000,,,,,,,,0.698346,,
1568115185.254776000,,,,,,,,,,51586
1568115185.455238000,,,,,,,,0.698188,,
1568115185.455238000,,,,,,,,,,54039
1568115185.655632000,,,,,,,,0.697731,,
1568115185.655632000,,,,,,,,,,56520
1568115185.855997000,,,,,,,,0.697916,,
1568115185.855997000,,,,,,,,,,58740
1568115186.056605000,,,,,,,,0.698469,,
1568115186.056605000,,,,,,,,,,61060
1568115186.256838000,,,,,,,,0.697865,,
1568115186.256838000,,,,,,,,,,63432
1568115186.457236000,,,,,,,,0.697465,,
1568115186.457236000,,,,,,,,,,65790
1568115186.657695000,,,,,,,,0.697853,,
1568115186.657695000,,,,,,,,,,68157
1568115186.857981000,,,,,,,,0.697864,,
1568115186.857981000,,,,,,,,,,70535
1568115187.058372000,,,,,,,,0.697805,,
1568115187.058372000,,,,,,,,,,72945
1568115187.258773000,,,,,,,,0.698372,,
1568115187.258773000,,,,,,,,,,75203
1568115187.459300000,,,,,,,,0.697835,,
1568115187.459300000,,,,,,,,,,77401
1568115187.659543000,,,,,,,,0.697976,,
1568115187.659543000,,,,,,,,,,79724
1568115187.859958000,,,,,,,,0.698012,,
1568115187.859958000,,,,,,,,,,82062
1568115188.060619000,,,,,,,,0.698669,,
1568115188.060619000,,,,,,,,,,84294
1568115188.260733000,,,,,,,,0.698168,,
1568115188.260733000,,,,,,,,,,86507
1568115188.461224000,,,,,,,,0.697955,,
1568115188.461224000,,,,,,,,,,88868
1568115188.661593000,,,,,,,,0.697757,,
1568115188.661593000,,,,,,,,,,91079
1568115188.861977000,,,,,,,,0.697688,,
1568115188.861977000,,,,,,,,,,93320
1568115189.062316000,,,,,,,,0.698662,,
1568115189.062316000,,,,,,,,,,95593
1568115189.262836000,,,,,,,,0.697908,,
1568115189.262836000,,,,,,,,,,97812
1568115189.463213000,,,,,,,,0.698429,,
1568115189.463213000,,,,,,,,,,100193
1568115189.663565000,,,,,,,,0.698756,,
1568115189.663565000,,,,,,,,,,102552
1568115189.863988000,,,,,,,,0.697992,,
1568115189.863988000,,,,,,,,,,104857
1568115190.064316000,,,,,,,,0.697981,,
1568115190.064316000,,,,,,,,,,107183
1568115190.264762000,,,,,,,,0.697448,,
1568115190.264762000,,,,,,,,,,109503
1568115190.465134000,,,,,,,,0.698637,,
1568115190.465134000,,,,,,,,,,111670
1568115190.665522000,,,,,,,,0.698422,,
1568115190.665522000,,,,,,,,,,113967
1568115190.865960000,,,,,,,,0.698349,,
1568115190.865960000,,,,,,,,,,116294
1568115191.066344000,,,,,,,,0.697618,,
1568115191.066344000,,,,,,,,,,118590
1568115191.266725000,,,,,,,,0.698341,,
1568115191.266725000,,,,,,,,,,120936
1568115191.467102000,,,,,,,,0.698226,,
1568115191.467102000,,,,,,,,,,123308
1568115191.667521000,,,,,,,,0.697818,,
1568115191.667521000,,,,,,,,,,125486
1568115191.868026000,,,,,,,,0.69794,,
1568115191.868026000,,,,,,,,,,127741
1568115192.068258000,,,,,,,,0.699005,,
1568115192.068258000,,,,,,,,,,129967
1568115192.268702000,,,,,,,,0.697547,,
1568115192.268702000,,,,,,,,,,132067
1568115192.469153000,,,,,,,,0.698311,,
1568115192.469153000,,,,,,,,,,134263
1568115192.669557000,,,,,,,,0.698226,,
1568115192.669557000,,,,,,,,,,136473
1568115192.869905000,,,,,,,,0.698779,,
1568115192.869905000,,,,,,,,,,138699
1568115193.070231000,,,,,,,,0.698323,,
1568115193.070231000,,,,,,,,,,140798
1568115193.270699000,,,,,,,,0.698601,,
1568115193.270699000,,,,,,,,,,143024
1568115193.471082000,,,,,,,,0.69855,,
1568115193.471082000,,,,,,,,,,145394
1568115193.671486000,,,,,,,,0.698505,,
1568115193.671486000,,,,,,,,,,147564
1568115193.871850000,,,,,,,,0.698296,,
1568115193.871850000,,,,,,,,,,149663
1568115194.072271000,,,,,,,,0.698151,,
1568115194.072271000,,,,,,,,,,151990
1568115194.272664000,,,,,,,,0.697838,,
1568115194.272664000,,,,,,,,,,154141
1568115194.473032000,,,,,,,,0.698715,,
1568115194.473032000,,,,,,,,,,156353
1568115194.673442000,,,,,,,,0.698632,,
1568115194.673442000,,,,,,,,,,158626
1568115194.873824000,,,,,,,,0.698037,,
1568115194.873824000,,,,,,,,,,160873
1568115195.074178000,,,,,,,,0.698323,,
1568115195.074178000,,,,,,,,,,163149
1568115195.274664000,,,,,,,,0.698379,,
1568115195.274664000,,,,,,,,,,165326
1568115195.475029000,,,,,,,,0.698183,,
1568115195.475029000,,,,,,,,,,167598
1568115195.675436000,,,,,,,,0.698905,,
1568115195.675436000,,,,,,,,,,169842
1568115195.875793000,,,,,,,,0.698162,,
1568115195.875793000,,,,,,,,,,171994
1568115196.076275000,,,,,,,,0.698014,,
1568115196.076275000,,,,,,,,,,174091
1568115196.276636000,,,,,,,,0.698874,,
1568115196.276636000,,,,,,,,,,176339
1568115196.477071000,,,,,,,,0.698638,,
1568115196.477071000,,,,,,,,,,178717
1568115196.677525000,,,,,,,,0.698778,,
1568115196.677525000,,,,,,,,,,180959
1568115196.877936000,,,,,,,,0.697896,,
1568115196.877936000,,,,,,,,,,183225
1568115197.078188000,,,,,,,,0.697418,,
1568115197.078188000,,,,,,,,,,185593
1568115197.278616000,,,,,,,,0.698493,,
1568115197.278616000,,,,,,,,,,187955
1568115197.479156000,,,,,,,,0.698789,,
1568115197.479156000,,,,,,,,,,190289
1568115197.679431000,,,,,,,,0.69798,,
1568115197.679431000,,,,,,,,,,192531
1568115197.879844000,,,,,,,,0.698772,,
1568115197.879844000,,,,,,,,,,194767
1568115198.080189000,,,,,,,,0.697704,,
1568115198.080189000,,,,,,,,,,197059
1568115198.280649000,,,,,,,,0.698155,,
1568115198.280649000,,,,,,,,,,199375
1568115198.481027000,,,,,,,,0.697806,,
1568115198.481027000,,,,,,,,,,201697
1568115198.681407000,,,,,,,,0.697922,,
1568115198.681407000,,,,,,,,,,204029
1568115198.881891000,,,,,,,,0.697724,,
1568115198.881891000,,,,,,,,,,206275
1568115199.082199000,,,,,,,,0.697914,,
1568115199.082199000,,,,,,,,,,208626
1568115199.282577000,,,,,,,,0.698242,,
1568115199.282577000,,,,,,,,,,210926
1568115199.483020000,,,,,,,,0.698353,,
1568115199.483020000,,,,,,,,,,213180
1568115199.683453000,,,,,,,,0.698252,,
1568115199.683453000,,,,,,,,,,215459
1568115199.883771000,,,,,,,,0.697613,,
1568115199.883771000,,,,,,,,,,217778
1568115200.084312000,,,,,,,,0.698038,,
1568115200.084312000,,,,,,,,,,220186
1568115200.284686000,,,,,,,,0.698255,,
1568115200.284686000,,,,,,,,,,222400
1568115200.484970000,,,,,,,,0.698538,,
1568115200.484970000,,,,,,,,,,224628
1568115200.685373000,,,,,,,,0.697567,,
1568115200.685373000,,,,,,,,,,226792
1568115200.885925000,,,,,,,,0.699162,,
1568115200.885925000,,,,,,,,,,229073
1568115201.086179000,,,,,,,,0.698,,
1568115201.086179000,,,,,,,,,,231304
1568115201.286595000,,,,,,,,0.698433,,
1568115201.286595000,,,,,,,,,,233583
1568115201.486953000,,,,,,,,0.698158,,
1568115201.486953000,,,,,,,,,,235832
1568115201.687349000,,,,,,,,0.698457,,
1568115201.687349000,,,,,,,,,,238165
1568115201.887712000,,,,,,,,0.698925,,
1568115201.887712000,,,,,,,,,,240330
1568115202.088160000,,,,,,,,0.698446,,
1568115202.088160000,,,,,,,,,,242634
1568115202.288569000,,,,,,,,0.698605,,
1568115202.288569000,,,,,,,,,,244908
1568115202.488919000,,,,,,,,0.698326,,
1568115202.488919000,,,,,,,,,,247058
1568115202.689277000,,,,,,,,0.698804,,
1568115202.689277000,,,,,,,,,,249317
1568115202.889675000,,,,,,,,0.698739,,
1568115202.889675000,,,,,,,,,,251628
1568115203.090035000,,,,,,,,0.69765,,
1568115203.090035000,,,,,,,,,,253819
1568115203.290426000,,,,,,,,0.698919,,
1568115203.290426000,,,,,,,,,,256172
1568115203.490890000,,,,,,,,0.698486,,
1568115203.490890000,,,,,,,,,,258385
1568115203.691323000,,,,,,,,0.698192,,
1568115203.691323000,,,,,,,,,,260592
1568115203.891690000,,,,,,,,0.698475,,
1568115203.891690000,,,,,,,,,,262837
1568115204.092104000,,,,,,,,0.698208,,
1568115204.092104000,,,,,,,,,,265152
1568115204.292507000,,,,,,,,0.698462,,
1568115204.292507000,,,,,,,,,,267305
1568115204.492859000,,,,,,,,0.698022,,
1568115204.492859000,,,,,,,,,,269462
1568115204.693206000,,,,,,,,0.698554,,
1568115204.693206000,,,,,,,,,,271606
1568115204.893639000,,,,,,,,0.697948,,
1568115204.893639000,,,,,,,,,,273723
1568115205.094058000,,,,,,,,0.698531,,
