Duration,selectiveICP,normalICP,gotCloud,processCloud,mapping,realTimeCap
1568115186.805649599,,,,0.735887,,
1568115186.976759034,,,,0.185313,,
1568115187.178187907,,0.455727,,,,
1568115187.188249253,,,0.645725,,,
1568115187.188249253,,,,,,0
1568115187.319079158,,,,0.179423,,
1568115187.511808151,,0.422431,,,,
1568115187.511808151,,,0.606842,,,
1568115187.511808151,,,,,,300
1568115187.642846672,,,,0.194528,,
1568115187.793792788,,0.312151,,,,
1568115187.793792788,,,0.510495,,,
1568115187.793792788,,,,,,252
1568115187.934820584,,,,0.191056,,
1568115188.055608290,,0.239842,,,,
1568115188.055608290,,,0.436199,,,
1568115188.055608290,,,,,,216
1568115188.196966025,,,,0.195889,,
1568115188.297932151,,0.231748,,,,
1568115188.297932151,,,0.432797,,,
1568115188.297932151,,,,,,214
1568115188.438970877,,,,0.18863,,
1568115188.529609945,,0.19781,,,,
1568115188.529609945,,,0.3912,,,
1568115188.529609945,,,,,,192
1568115188.660512502,,,,0.17728,,
1568115188.781225022,,0.248361,,,,
1568115188.781225022,,,0.430375,,,
1568115188.781225022,,,,,,213
1568115188.922112637,,,,0.177742,,
1568115189.023756627,,0.2345,,,,
1568115189.023756627,,,0.421011,,,
1568115189.023756627,,,,,,208
1568115189.164876977,,,,0.188917,,
1568115189.275924805,,0.23206,,,,
1568115189.275924805,,,0.42591,,,
1568115189.275924805,,,,,,211
1568115189.416908811,,,,0.198046,,
1568115189.507510557,,0.190035,,,,
1568115189.507510557,,,0.39245,,,
1568115189.507510557,,,,,,194
1568115189.648435136,,,,0.19024,,
1568115189.749069755,,0.221041,,,,
1568115189.749069755,,,0.415539,,,
1568115189.749069755,,,,,,206
1568115189.890029068,,,,0.192421,,
1568115189.990762799,,0.201393,,,,
1568115189.990762799,,,0.398413,,,
1568115189.990762799,,,,,,197
1568115190.121642094,,,,0.180104,,
1568115190.222432912,,0.20804,,,,
1568115190.222432912,,,0.39311,,,
1568115190.222432912,,,,,,194
1568115190.353161855,,,,0.183925,,
1568115190.433800765,,0.183727,,,,
1568115190.443859111,,,0.373265,,,
1568115190.443859111,,,,,,184
1568115190.574678471,,,,0.180984,,
1568115190.667586111,,0.213789,,,,
1568115190.667586111,,,0.400726,,,
1568115190.667586111,,,,,,198
1568115190.810560088,,,,0.195162,,
1568115190.901535295,,0.168524,,,,
1568115190.901535295,,,0.369019,,,
1568115190.901535295,,,,,,182
1568115191.033134011,,,,0.186811,,
1568115191.123833721,,0.204348,,,,
1568115191.123833721,,,0.395789,,,
1568115191.123833721,,,,,,196
1568115191.256830312,,,,0.189098,,
1568115191.347451922,,0.186304,,,,
1568115191.347451922,,,0.381164,,,
1568115191.347451922,,,,,,188
1568115191.488359142,,,,0.176595,,
1568115191.579069267,,0.208391,,,,
1568115191.589148075,,,0.391616,,,
1568115191.589148075,,,,,,194
1568115191.720014838,,,,0.193208,,
1568115191.800555806,,0.180843,,,,
1568115191.810637693,,,0.381556,,,
1568115191.810637693,,,,,,189
1568115191.942828725,,,,0.181348,,
1568115192.023358185,,0.175865,,,,
1568115192.023358185,,,0.362169,,,
1568115192.023358185,,,,,,179
1568115192.165507297,,,,0.19245,,
1568115192.235976786,,0.155965,,,,
1568115192.235976786,,,0.354178,,,
1568115192.235976786,,,,,,174
1568115192.366879606,,,,0.185177,,
1568115192.457415351,,0.17584,,,,
1568115192.457415351,,,0.366054,,,
1568115192.457415351,,,,,,181
1568115192.598359083,,,,0.189149,,
1568115192.688962082,,0.191478,,,,
1568115192.688962082,,,0.385758,,,
1568115192.688962082,,,,,,191
1568115192.819766759,,,,0.174727,,
1568115192.900366595,,0.197799,,,,
1568115192.910430032,,,0.376683,,,
1568115192.910430032,,,,,,186
1568115193.051363172,,,,0.18397,,
1568115193.132096093,,0.193952,,,,
1568115193.132096093,,,0.384566,,,
1568115193.132096093,,,,,,188
1568115193.262833386,,,,0.190965,,
1568115193.343423644,,0.181314,,,,
1568115193.343423644,,,0.376855,,,
1568115193.343423644,,,,,,186
1568115193.484403308,,,,0.196573,,
1568115193.574978397,,0.211076,,,,
1568115193.574978397,,,0.411787,,,
1568115193.574978397,,,,,,204
1568115193.705893714,,,,0.184659,,
1568115193.798179917,,0.202594,,,,
1568115193.798179917,,,0.390748,,,
