Duration,x,y,z,x,y,z,w
1568115186.857981000,14.9294,-1.76915,0.542447,-0.0032274,0.00968402,0.736618,0.676232
1568115187.058372000,14.9291,-1.7697,0.542025,-0.00332284,0.00976179,0.736618,0.67623
1568115187.258773000,14.9292,-1.76847,0.543068,-0.00338598,0.00987315,0.736658,0.676185
1568115187.459300000,14.9305,-1.76695,0.542946,-0.00282878,0.00911667,0.736578,0.676285
1568115187.659543000,14.9305,-1.76885,0.541155,-0.00310925,0.00947771,0.736545,0.676315
1568115187.859958000,14.9353,-1.76943,0.541572,-0.00339272,0.00980279,0.736564,0.676289
1568115188.060619000,14.9321,-1.76893,0.542531,-0.00295077,0.00945454,0.736618,0.676237
1568115188.260733000,14.9325,-1.76914,0.542843,-0.00334283,0.00979681,0.736598,0.676252
1568115188.461224000,14.9294,-1.76949,0.543159,-0.0034229,0.00977974,0.736537,0.676318
1568115188.661593000,14.9322,-1.77221,0.539515,-0.00323376,0.0101315,0.736625,0.676218
1568115188.861977000,14.9308,-1.77103,0.539649,-0.00347709,0.0101117,0.736519,0.676332
1568115189.062316000,14.9323,-1.77028,0.542666,-0.00307529,0.00959973,0.736596,0.676258
1568115189.262836000,14.9311,-1.76926,0.542803,-0.00325869,0.00953959,0.736547,0.676311
1568115189.463213000,14.9329,-1.76999,0.542267,-0.00354354,0.00991597,0.736628,0.676216
1568115189.663565000,14.9314,-1.76994,0.540286,-0.00323953,0.00987473,0.736641,0.676204
1568115189.863988000,14.9329,-1.76822,0.542456,-0.00325455,0.00962486,0.736623,0.676227
1568115190.064316000,14.9358,-1.76918,0.543011,-0.00294424,0.00927135,0.73646,0.676411
1568115190.264762000,14.9334,-1.76931,0.541149,-0.00310031,0.0096273,0.736546,0.676311
1568115190.465134000,14.9329,-1.7707,0.541581,-0.00320224,0.00976467,0.736617,0.676232
1568115190.665522000,14.9331,-1.77104,0.542148,-0.00313336,0.00948983,0.736514,0.676349
1568115190.865960000,14.9325,-1.76928,0.542674,-0.00297541,0.00928737,0.736532,0.676333
1568115191.066344000,14.9316,-1.77024,0.54005,-0.00316274,0.00975261,0.736591,0.676261
1568115191.266725000,14.9329,-1.76916,0.541682,-0.00312346,0.00954289,0.73653,0.67633
1568115191.467102000,14.9318,-1.77115,0.539112,-0.00311121,0.00968366,0.736565,0.67629
1568115191.667521000,14.9285,-1.77201,0.539607,-0.00327158,0.0100455,0.736526,0.676326
1568115191.868026000,14.9362,-1.76818,0.541385,-0.00306833,0.00935488,0.736532,0.676331
1568115192.068258000,14.9335,-1.76846,0.542536,-0.00320224,0.00962908,0.736536,0.676322
1568115192.268702000,14.9397,-1.77,0.541681,-0.00316816,0.0094761,0.73642,0.676451
1568115192.469153000,14.9324,-1.76861,0.542866,-0.00296107,0.0094047,0.736535,0.676327
1568115192.669557000,14.8995,-1.6421,0.293147,0.00844132,-0.00356863,0.735202,0.677786
1568115192.869905000,14.9075,-1.64281,0.295748,0.00847355,-0.00339638,0.735513,0.677449
1568115193.070231000,14.917,-1.64157,0.289148,0.00843095,-0.00428145,0.735508,0.67745
1568115193.270699000,14.9103,-1.6379,0.291165,0.00874819,-0.00425493,0.735393,0.677571
1568115193.471082000,14.9146,-1.6413,0.289906,0.00833015,-0.00383009,0.735819,0.677117
1568115193.671486000,14.9057,-1.64167,0.289842,0.00957771,-0.00496862,0.735673,0.677251
1568115193.871850000,14.9087,-1.63936,0.293503,0.00904557,-0.00436383,0.735385,0.677575
1568115194.072271000,14.902,-1.64241,0.290302,0.00917679,-0.00376601,0.735823,0.677101
1568115194.272664000,14.912,-1.64703,0.296835,0.00817878,-0.00330299,0.735504,0.677463
1568115194.473032000,14.9085,-1.63997,0.28715,0.0099145,-0.00478381,0.735773,0.677139
1568115194.673442000,14.9053,-1.63829,0.293877,0.00912766,-0.00482713,0.735597,0.677341
1568115194.873824000,14.8982,-1.6382,0.290667,0.00923678,-0.00421587,0.735133,0.677847
1568115195.074178000,14.8977,-1.64466,0.294604,0.00855547,-0.00382744,0.735467,0.677495
1568115195.274664000,14.9025,-1.64396,0.291869,0.00823127,-0.00314931,0.735387,0.677591
1568115195.475029000,14.9031,-1.64404,0.294951,0.00853725,-0.00404754,0.735471,0.67749
1568115195.675436000,14.9021,-1.64172,0.299765,0.00931972,-0.00505609,0.73551,0.677431
1568115195.875793000,14.8991,-1.63891,0.295417,0.00846656,-0.00400261,0.735452,0.677512
1568115196.076275000,14.9121,-1.64718,0.291631,0.00787974,-0.00369515,0.735687,0.677266
1568115196.276636000,14.9064,-1.63929,0.300653,0.0082211,-0.0043175,0.735583,0.677371
1568115196.477071000,14.9092,-1.64173,0.289942,0.00898295,-0.00446957,0.735574,0.67737
1568115196.677525000,14.9043,-1.64895,0.300176,0.00788958,-0.00331166,0.735497,0.677474
1568115196.877936000,14.9035,-1.64085,0.293169,0.00890576,-0.00449045,0.7356,0.677343
1568115197.078188000,14.8999,-1.63833,0.2881,0.00914253,-0.00486948,0.735113,0.677865
1568115197.278616000,14.9113,-1.65233,0.297778,0.00763995,-0.00305857,0.735707,0.67725
1568115197.479156000,14.9041,-1.64356,0.293256,0.00899805,-0.00402475,0.735909,0.677008
1568115197.679431000,14.9032,-1.64087,0.298894,0.00873093,-0.00403361,0.735531,0.677423
1568115197.879844000,14.9023,-1.64022,0.292705,0.0091019,-0.00445124,0.735502,0.677447
1568115198.080189000,14.9011,-1.64012,0.295395,0.00875596,-0.00436788,0.735411,0.677551
1568115198.280649000,14.895,-1.64111,0.292143,0.00927599,-0.00461077,0.735509,0.677436
1568115198.481027000,14.8983,-1.64202,0.29819,0.00792608,-0.00315774,0.734808,0.678222
1568115198.681407000,14.9056,-1.64757,0.300213,0.00766704,-0.00298053,0.73554,0.677432
1568115198.881891000,14.9026,-1.64201,0.292379,0.00798597,-0.00310784,0.735605,0.677357
1568115199.082199000,14.9038,-1.64214,0.296622,0.00897654,-0.0033847,0.735541,0.677413
1568115199.282577000,14.8999,-1.6511,0.302689,0.00696312,-0.00177461,0.735258,0.677749
