Duration,selectiveICP,normalICP,gotCloud,processCloud,mapping,realTimeCap
1553088512.058032282,,,,0.678533,,
1553088512.138858323,,,,0.080808,,
1553088512.209530332,,0.186958,,,,
1553088512.209530332,,,0.271177,,,
1553088512.209530332,,,,,,0
1553088512.260119340,,,,0.0934449,,
1553088512.330549479,,0.202474,,,,
1553088512.330549479,,,0.297736,,,
1553088512.330549479,,,,,,294
1553088512.390898048,,,,0.0833083,,
1553088512.441313918,,0.161269,,,,
1553088512.441313918,,,0.248093,,,
1553088512.441313918,,,,,,244
1553088512.501607382,,,,0.097279,,
1553088512.551929813,,0.130685,,,,
1553088512.551929813,,,0.229884,,,
1553088512.551929813,,,,,,226
1553088512.602246209,,,,0.0999681,,
1553088512.642497426,,0.121927,,,,
1553088512.642497426,,,0.223669,,,
1553088512.642497426,,,,,,220
1553088512.702833846,,,,0.0924405,,
1553088512.743067885,,0.148464,,,,
1553088512.743067885,,,0.242948,,,
1553088512.743067885,,,,,,240
1553088512.803552152,,,,0.0909102,,
1553088512.853863493,,0.16898,,,,
1553088512.853863493,,,0.261837,,,
1553088512.853863493,,,,,,258
1553088512.914195901,,,,0.0961212,,
1553088512.944367207,,0.118708,,,,
1553088512.954434334,,,0.217551,,,
1553088512.954434334,,,,,,215
1553088513.004741942,,,,0.0913644,,
1553088513.044995612,,0.111001,,,,
1553088513.044995612,,,0.204694,,,
1553088513.044995612,,,,,,201
1553088513.085233593,,,,0.0735926,,
1553088513.125577625,,0.0986409,,,,
1553088513.125577625,,,0.173897,,,
1553088513.125577625,,,,,,171
1553088513.187211939,,,,0.0987648,,
1553088513.237508015,,0.140736,,,,
1553088513.237508015,,,0.24126,,,
1553088513.237508015,,,,,,238
1553088513.297880457,,,,0.0991623,,
1553088513.338152903,,0.105021,,,,
1553088513.338152903,,,0.206811,,,
1553088513.338152903,,,,,,203
1553088513.388463692,,,,0.0928813,,
1553088513.438766097,,0.134101,,,,
1553088513.438766097,,,0.22968,,,
1553088513.438766097,,,,,,226
1553088513.490716841,,,,0.0849129,,
1553088513.530963348,,0.120204,,,,
1553088513.530963348,,,0.208035,,,
1553088513.530963348,,,,,,205
1553088513.591346305,,,,0.0940616,,
1553088513.621528258,,0.0905603,,,,
1553088513.621528258,,,0.187062,,,
1553088513.621528258,,,,,,184
1553088513.681934145,,,,0.0960889,,
1553088513.712052300,,0.100377,,,,
1553088513.712052300,,,0.199129,,,
1553088513.712052300,,,,,,195
1553088513.772400668,,,,0.0975558,,
1553088513.812605025,,0.122872,,,,
1553088513.812605025,,,0.222185,,,
1553088513.812605025,,,,,,219
1553088513.872979277,,,,0.0943898,,
1553088513.903164121,,0.111617,,,,
1553088513.903164121,,,0.207996,,,
1553088513.903164121,,,,,,205
