Duration,selectiveICP,normalICP,gotCloud,processCloud,mapping,realTimeCap
1553088511.403001931,,,,0.692448,,
1553088511.483471801,,,,0.0910182,,
1553088511.574467132,,0.215346,,,,
1553088511.574467132,,,0.308731,,,
1553088511.574467132,,,,,,0
1553088511.634863209,,,,0.100917,,
1553088511.707286952,,0.213671,,,,
1553088511.707286952,,,0.316952,,,
1553088511.707286952,,,,,,312
1553088511.767666554,,,,0.0964419,,
1553088511.807892520,,0.136108,,,,
1553088511.817960207,,,0.234873,,,
1553088511.817960207,,,,,,231
1553088511.868259951,,,,0.089501,,
1553088511.908510943,,0.114133,,,,
1553088511.908510943,,,0.205456,,,
1553088511.908510943,,,,,,203
1553088511.968874175,,,,0.0939821,,
1553088511.999077714,,0.103961,,,,
1553088511.999077714,,,0.199703,,,
1553088511.999077714,,,,,,197
1553088512.059486282,,,,0.0889775,,
1553088512.089602775,,0.101917,,,,
1553088512.089602775,,,0.192589,,,
1553088512.089602775,,,,,,190
1553088512.161186988,,,,0.102829,,
1553088512.191493567,,0.0939866,,,,
1553088512.191493567,,,0.198627,,,
1553088512.191493567,,,,,,196
1553088512.251770862,,,,0.093848,,
1553088512.281946128,,0.105006,,,,
1553088512.281946128,,,0.200727,,,
1553088512.281946128,,,,,,198
1553088512.342310757,,,,0.0948102,,
1553088512.382574195,,0.114919,,,,
1553088512.382574195,,,0.211935,,,
1553088512.382574195,,,,,,209
1553088512.432866929,,,,0.0946097,,
1553088512.473658019,,0.10068,,,,
1553088512.473658019,,,0.197056,,,
1553088512.473658019,,,,,,194
1553088512.533982785,,,,0.0917309,,
1553088512.554121808,,0.0886226,,,,
1553088512.554121808,,,0.182387,,,
1553088512.554121808,,,,,,179
1553088512.634673085,,,,0.104839,,
1553088512.664897604,,0.103349,,,,
1553088512.674974028,,,0.210387,,,
1553088512.674974028,,,,,,207
1553088512.735584042,,,,0.0954925,,
1553088512.765758323,,0.101924,,,,
1553088512.765758323,,,0.199112,,,
1553088512.765758323,,,,,,196
1553088512.826133511,,,,0.0909371,,
1553088512.856319141,,0.0937168,,,,
1553088512.866388946,,,0.186446,,,
1553088512.866388946,,,,,,184
1553088512.936754594,,,,0.0886681,,
1553088512.966939414,,0.106685,,,,
1553088512.966939414,,,0.198041,,,
1553088512.966939414,,,,,,194
1553088513.037774452,,,,0.0838486,,
1553088513.067945147,,0.11389,,,,
1553088513.067945147,,,0.200206,,,
1553088513.067945147,,,,,,196
1553088513.138502211,,,,0.0936112,,
1553088513.168677964,,0.0952143,,,,
1553088513.168677964,,,0.190667,,,
1553088513.168677964,,,,,,187
1553088513.229073877,,,,0.0856734,,
1553088513.270104602,,0.104099,,,,
1553088513.270104602,,,0.191701,,,
1553088513.270104602,,,,,,189
1553088513.340511270,,,,0.0894212,,
1553088513.370689452,,0.100822,,,,
1553088513.370689452,,,0.191758,,,
1553088513.370689452,,,,,,189
1553088513.441179804,,,,0.0980323,,
1553088513.481546507,,0.133463,,,,
1553088513.481546507,,,0.233656,,,
1553088513.481546507,,,,,,230
1553088513.541920146,,,,0.0937693,,
1553088513.572183083,,0.110709,,,,
1553088513.582253196,,,0.206316,,,
1553088513.582253196,,,,,,203
1553088513.632557531,,,,0.0901538,,
1553088513.662755461,,0.0928452,,,,
1553088513.662755461,,,0.185385,,,
1553088513.662755461,,,,,,182
1553088513.743309262,,,,0.0803048,,
1553088513.773469206,,0.0900363,,,,
1553088513.773469206,,,0.173023,,,
1553088513.773469206,,,,,,169
1553088513.843894520,,,,0.0921183,,
1553088513.874091832,,0.0819275,,,,
1553088513.874091832,,,0.176167,,,
1553088513.874091832,,,,,,173
1553088513.976265918,,,,0.122934,,
1553088514.016467588,,0.134109,,,,
1553088514.016467588,,,0.259279,,,
1553088514.016467588,,,,,,255
1553088514.076935446,,,,0.096346,,
1553088514.117195428,,0.123468,,,,
1553088514.117195428,,,0.222251,,,
1553088514.117195428,,,,,,219
1553088514.177584286,,,,0.0891537,,
1553088514.197731169,,0.05876,,,,
1553088514.197731169,,,0.149784,,,
1553088514.197731169,,,,,,147
1553088514.258080185,,,,0.101243,,
1553088514.289265218,,0.0917475,,,,
1553088514.289265218,,,0.194669,,,
1553088514.289265218,,,,,,192
1553088514.661598007,,,,0.510847,,
1553088514.733572091,,,,0.0918145,,
1553088514.773831086,0.135072,,,,,
1553088514.773831086,,,,,0.00139612,
1553088514.773831086,,,0.229813,,,
1553088514.773831086,,,,,,224
1553088514.844398221,,,,0.0974067,,
1553088514.895008980,0.171169,,,,,
1553088514.895008980,,,0.27177,,,
1553088514.895008980,,,,,0.00258378,
1553088514.895008980,,,,,,268
1553088514.955330325,,,,0.105589,,
1553088515.015753316,0.174825,,,,,
1553088515.015753316,,,0.283213,,,
1553088515.015753316,,,,,0.00286815,
1553088515.015753316,,,,,,280
1553088515.076679959,,,,0.0879702,,
1553088515.117372189,0.134029,,,,,
1553088515.117372189,,,0.224558,,,
1553088515.117372189,,,,,0.00272586,
1553088515.117372189,,,,,,222
1553088515.197814108,,,,0.112457,,
1553088515.238053207,0.138865,,,,,
1553088515.238053207,,,0.254753,,,
1553088515.238053207,,,,,0.00305209,
1553088515.238053207,,,,,,252
1553088515.298362005,,,,0.0936307,,
1553088515.348697816,0.146223,,,,,
1553088515.358772652,,,0.242945,,,
1553088515.358772652,,,,,0.00378452,
1553088515.358772652,,,,,,242
1553088515.419172229,,,,0.0987608,,
1553088515.459505967,0.125368,,,,,
1553088515.459505967,,,0.227105,,,
1553088515.459505967,,,,,0.00344224,
1553088515.459505967,,,,,,225
1553088515.529913968,,,,0.100728,,
1553088515.570145205,0.140381,,,,,
1553088515.570145205,,,0.244427,,,
1553088515.570145205,,,,,0.00476642,
1553088515.570145205,,,,,,243
1553088515.630446301,,,,0.0877478,,
1553088515.660576723,0.116207,,,,,
1553088515.660576723,,,0.208542,,,
1553088515.660576723,,,,,0.0042911,
1553088515.660576723,,,,,,207
1553088515.721137994,,,,0.0993243,,
1553088515.771551986,0.134754,,,,,
1553088515.771551986,,,0.239761,,,
1553088515.771551986,,,,,0.00727325,
1553088515.771551986,,,,,,238
1553088515.831901558,,,,0.0975266,,
1553088515.862279712,0.118788,,,,,
1553088515.862279712,,,0.220032,,,
1553088515.872334192,,,,,0.00408103,
1553088515.872334192,,,,,,218
1553088515.922611470,,,,0.0981817,,
1553088515.963642050,0.135621,,,,,
1553088515.963642050,,,0.236567,,,
1553088515.973719153,,,,,0.00423589,
1553088515.973719153,,,,,,236
1553088516.034231643,,,,0.0937003,,
1553088516.074497633,0.123964,,,,,
1553088516.074497633,,,0.221065,,,
1553088516.074497633,,,,,0.00456035,
1553088516.074497633,,,,,,220
1553088516.134887332,,,,0.0955585,,
1553088516.187730241,0.139132,,,,,
1553088516.187730241,,,0.239098,,,
1553088516.187730241,,,,,0.00572261,
1553088516.187730241,,,,,,237
1553088516.258136113,,,,0.100066,,
1553088516.288507787,0.124314,,,,,
1553088516.298554495,,,0.227891,,,
1553088516.298554495,,,,,0.0043982,
1553088516.298554495,,,,,,227
1553088516.358962515,,,,0.0943447,,
1553088516.389128773,0.126908,,,,,
1553088516.389128773,,,0.225025,,,
1553088516.399187264,,,,,0.00519157,
1553088516.399187264,,,,,,224
1553088516.459541435,,,,0.0960242,,
1553088516.489708104,0.120563,,,,,
1553088516.489708104,,,0.220212,,,
1553088516.499766123,,,,,0.00480225,
1553088516.499766123,,,,,,219
1553088516.560095413,,,,0.0958671,,
1553088516.590266366,0.129792,,,,,
1553088516.590266366,,,0.229978,,,
1553088516.600417614,,,,,0.00772758,
1553088516.600417614,,,,,,231
1553088516.660695726,,,,0.0915492,,
1553088516.700949913,0.123928,,,,,
1553088516.700949913,,,0.218505,,,
1553088516.700949913,,,,,0.00451559,
1553088516.700949913,,,,,,218
1553088516.771441321,,,,0.103367,,
1553088516.831768664,0.159562,,,,,
1553088516.831768664,,,0.266245,,,
1553088516.841838270,,,,,0.00716584,
1553088516.841838270,,,,,,267
1553088516.892144679,,,,0.0912072,,
1553088516.942440901,0.136584,,,,,
1553088516.942440901,,,0.231122,,,
1553088516.942440901,,,,,0.00507151,
1553088516.942440901,,,,,,230
1553088517.003214349,,,,0.0981285,,
1553088517.053706472,0.13965,,,,,
1553088517.053706472,,,0.242573,,,
1553088517.053706472,,,,,0.0105449,
1553088517.053706472,,,,,,246
1553088517.124093898,,,,0.0980702,,
1553088517.164341612,0.135462,,,,,
1553088517.164341612,,,0.237564,,,
1553088517.164341612,,,,,0.0076815,
1553088517.174408000,,,,,,239
1553088517.234835401,,,,0.0980249,,
1553088517.275074028,0.133396,,,,,
1553088517.275074028,,,0.235023,,,
1553088517.285154616,,,,,0.00797866,
1553088517.285154616,,,,,,237
1553088517.355492793,,,,0.11155,,
1553088517.406060366,0.14672,,,,,
1553088517.406060366,,,0.262736,,,
1553088517.406060366,,,,,0.00579041,
1553088517.406060366,,,,,,261
1553088517.466728966,,,,0.0911354,,
1553088517.517020987,0.142126,,,,,
1553088517.517020987,,,0.238197,,,
1553088517.517020987,,,,,0.00771036,
1553088517.517020987,,,,,,240
1553088517.587471270,,,,0.103418,,
1553088517.637843433,0.14139,,,,,
1553088517.637843433,,,0.248276,,,
1553088517.637843433,,,,,0.00732563,
1553088517.637843433,,,,,,250
1553088517.708302758,,,,0.100499,,
1553088517.748636247,0.142418,,,,,
1553088517.748636247,,,0.248908,,,
1553088517.758696282,,,,,0.00967075,
1553088517.758696282,,,,,,250
1553088517.819176550,,,,0.115558,,
1553088517.890085395,0.149916,,,,,
1553088517.890085395,,,0.268653,,,
1553088517.900148837,,,,,0.0075947,
1553088517.900148837,,,,,,273
1553088517.970600397,,,,0.0997516,,
1553088518.010905679,0.145699,,,,,
1553088518.010905679,,,0.249547,,,
1553088518.020970106,,,,,0.00971237,
1553088518.020970106,,,,,,252
1553088518.081437876,,,,0.0989929,,
1553088518.121661574,0.121673,,,,,
1553088518.121661574,,,0.224347,,,
1553088518.131716505,,,,,0.00699907,
1553088518.131716505,,,,,,226
1553088518.202132922,,,,0.090555,,
1553088518.242377882,0.124748,,,,,
1553088518.242377882,,,0.219097,,,
1553088518.242377882,,,,,0.00686512,
1553088518.242377882,,,,,,220
1553088518.312860823,,,,0.0946208,,
1553088518.353754131,0.133806,,,,,
1553088518.353754131,,,0.235815,,,
1553088518.363814479,,,,,0.00992249,
1553088518.363814479,,,,,,236
1553088518.434912097,,,,0.104645,,
1553088518.465101281,0.0877302,,,,,
1553088518.465101281,,,0.203287,,,
1553088518.475133131,,,,,0.0113445,
1553088518.475133131,,,,,,201
1553088518.535554952,,,,0.0989313,,
1553088518.565750465,0.0939411,,,,,
1553088518.565750465,,,0.195927,,,
1553088518.575815387,,,,,0.00673546,
1553088518.575815387,,,,,,199
1553088518.636321636,,,,0.102441,,
1553088518.676560136,0.0983749,,,,,
1553088518.676560136,,,0.207532,,,
1553088518.686640780,,,,,0.0153022,
1553088518.686640780,,,,,,213
1553088518.757085009,,,,0.101573,,
1553088518.787233777,0.0992486,,,,,
1553088518.787233777,,,0.206897,,,
1553088518.787233777,,,,,0.00684805,
1553088518.787233777,,,,,,206
1553088518.857671223,,,,0.102138,,
1553088518.887851950,0.0973386,,,,,
1553088518.887851950,,,0.205209,,,
1553088518.897926071,,,,,0.0105521,
1553088518.907989346,,,,,,211
1553088518.968718661,,,,0.0974451,,
1553088518.998899794,0.106777,,,,,
1553088518.998899794,,,0.211077,,,
1553088519.009139790,,,,,0.0148627,
1553088519.009139790,,,,,,216
1553088519.079550389,,,,0.109311,,
1553088519.109733130,0.0789895,,,,,
1553088519.109733130,,,0.191568,,,
1553088519.119795749,,,,,0.0102479,
1553088519.119795749,,,,,,197
1553088519.180203263,,,,0.101443,,
1553088519.210467622,0.0842188,,,,,
1553088519.210467622,,,0.188877,,,
1553088519.210467622,,,,,0.007716,
1553088519.210467622,,,,,,191
1553088519.280967484,,,,0.101978,,
1553088519.311150626,0.086412,,,,,
1553088519.311150626,,,0.195183,,,
1553088519.321212079,,,,,0.0151326,
1553088519.321212079,,,,,,202
1553088519.384572529,,,,0.100496,,
1553088519.424972497,0.101104,,,,,
1553088519.424972497,,,0.207577,,,
1553088519.435067461,,,,,0.0138748,
1553088519.435067461,,,,,,210
1553088519.495747473,,,,0.101969,,
1553088519.525947606,0.0936775,,,,,
1553088519.525947606,,,0.19827,,,
1553088519.536012384,,,,,0.0103744,
1553088519.536012384,,,,,,207
1553088519.597094999,,,,0.092202,,
1553088519.627256483,0.090251,,,,,
1553088519.627256483,,,0.186457,,,
1553088519.637341145,,,,,0.011358,
1553088519.637341145,,,,,,192
1553088519.720453112,,,,0.109731,,
1553088519.745786727,0.0957862,,,,,
1553088519.745786727,,,0.209067,,,
1553088519.755837348,,,,,0.00810305,
1553088519.755837348,,,,,,213
1553088519.816233060,,,,0.0982568,,
1553088519.846622334,0.0965547,,,,,
1553088519.846622334,,,0.198893,,,
1553088519.856679112,,,,,0.0104459,
1553088519.866735383,,,,,,206
1553088519.917113713,,,,0.0916758,,
1553088519.947411460,0.0782871,,,,,
1553088519.947411460,,,0.173792,,,
1553088519.957471249,,,,,0.0095568,
1553088519.967542493,,,,,,182
1553088520.027890063,,,,0.100305,,
1553088520.058086602,0.0885873,,,,,
1553088520.058086602,,,0.193215,,,
1553088520.068157126,,,,,0.0133539,
1553088520.068157126,,,,,,202
1553088520.138672597,,,,0.103793,,
1553088520.168956604,0.0841157,,,,,
1553088520.168956604,,,0.191151,,,
1553088520.168956604,,,,,0.00874795,
1553088520.168956604,,,,,,195
1553088520.233713192,,,,0.0950674,,
1553088520.275144555,0.0938123,,,,,
1553088520.275144555,,,0.193041,,,
1553088520.275144555,,,,,0.00959263,
1553088520.275144555,,,,,,197
1553088520.345860109,,,,0.0959662,,
1553088520.376083930,0.0846412,,,,,
1553088520.376083930,,,0.185078,,,
1553088520.386162068,,,,,0.0211852,
1553088520.386162068,,,,,,199
1553088520.446509472,,,,0.0943156,,
1553088520.486754549,0.0995803,,,,,
1553088520.486754549,,,0.197715,,,
1553088520.496832838,,,,,0.00881573,
1553088520.496832838,,,,,,205
1553088520.567432245,,,,0.110458,,
1553088520.608562761,0.108571,,,,,
1553088520.608562761,,,0.222809,,,
1553088520.618682643,,,,,0.0119609,
1553088520.618682643,,,,,,231
1553088520.680041290,,,,0.0991237,,
1553088520.720206205,0.0983836,,,,,
1553088520.720206205,,,0.200953,,,
1553088520.730323309,,,,,0.012128,
1553088520.730323309,,,,,,207
1553088520.790681363,,,,0.0933402,,
1553088520.820873273,0.0961971,,,,,
1553088520.820873273,,,0.197095,,,
1553088520.830921829,,,,,0.0195751,
1553088520.830921829,,,,,,206
1553088520.901356581,,,,0.104018,,
1553088520.942315176,0.131813,,,,,
1553088520.942315176,,,0.239899,,,
1553088520.952378580,,,,,0.0190389,
1553088520.952378580,,,,,,255
1553088521.012770094,,,,0.0902392,,
1553088521.042959652,0.100884,,,,,
