Duration,selectiveICP,normalICP,gotCloud,processCloud,mapping,realTimeCap
1568115179.502813960,,,,0.741601,,
1568115179.551149476,,,,0.177421,,
1568115179.620826023,,0.52116,,,,
1568115179.620826023,,,0.704264,,,
1568115179.620826023,,,,,,0
1568115179.714467319,,,,0.181952,,
1568115179.759777178,,0.325891,,,,
1568115179.759777178,,,0.515758,,,
1568115179.759777178,,,,,,254
1568115179.916901054,,,,0.172443,,
1568115179.959188815,,0.318779,,,,
1568115179.959188815,,,0.497866,,,
1568115179.959188815,,,,,,245
1568115180.122392606,,,,0.167802,,
1568115180.167703345,,0.328638,,,,
1568115180.167703345,,,0.504964,,,
1568115180.167703345,,,,,,248
1568115180.315851748,,,,0.182674,,
1568115180.346037680,,0.240917,,,,
1568115180.346037680,,,0.42968,,,
1568115180.346037680,,,,,,211
1568115180.518309810,,,,0.166603,,
1568115180.563618702,,0.310663,,,,
1568115180.563618702,,,0.486304,,,
1568115180.563618702,,,,,,239
1568115180.720763706,,,,0.170779,,
1568115180.757018462,,0.252556,,,,
1568115180.757018462,,,0.429609,,,
1568115180.757018462,,,,,,211
1568115180.917259348,,,,0.162451,,
1568115180.953522048,,0.248531,,,,
1568115180.956540281,,,0.417747,,,
1568115180.956540281,,,,,,205
1568115181.113742713,,,,0.167357,,
1568115181.153080334,,0.254458,,,,
1568115181.153080334,,,0.4286,,,
1568115181.153080334,,,,,,211
1568115181.313272553,,,,0.166818,,
1568115181.352549222,,0.271334,,,,
1568115181.352549222,,,0.444656,,,
1568115181.352549222,,,,,,219
1568115181.597266241,,,,0.600962,,
1568115181.642583135,,,,0.159226,,
1568115181.672801872,0.231767,,,,,
1568115181.672801872,,,,,0.00518867,
1568115181.672801872,,,0.402262,,,
1568115181.672801872,,,,,,197
1568115181.718074977,,,,0.17848,,
1568115181.748800591,0.241242,,,,,
1568115181.748800591,,,0.425975,,,
1568115181.751819125,,,,,0.0051913,
1568115181.751819125,,,,,,211
1568115181.923960975,,,,0.172399,,
1568115181.954169709,0.260663,,,,,
1568115181.954169709,,,0.442729,,,
1568115181.957417974,,,,,0.0128942,
1568115181.957417974,,,,,,220
1568115182.126598877,,,,0.197137,,
1568115182.157610826,0.244257,,,,,
1568115182.157610826,,,0.447411,,,
1568115182.157610826,,,,,0.00479819,
1568115182.157610826,,,,,,222
1568115182.320691370,,,,0.174785,,
1568115182.356941500,0.258747,,,,,
1568115182.356941500,,,0.440858,,,
1568115182.356941500,,,,,0.0056455,
1568115182.356941500,,,,,,217
1568115182.514972907,,,,0.179999,,
1568115182.542141350,0.209046,,,,,
1568115182.542141350,,,1568115182.542141350,0.396742,,,
,,,
0.00694847,
1568115182.542141350,,,,,,198
1568115182.720315132,,,,0.182236,,
1568115182.759714939,0.297862,,,,,
1568115182.762741847,,,0.485651,,,
1568115182.762741847,,,,,0.0121747,
1568115182.762741847,,,,,,243
1568115182.923024422,,,,0.176107,,
1568115182.956221791,0.269776,,,,,
1568115182.956221791,,,0.450729,,,
1568115182.956221791,,,,,0.00663327,
1568115182.956221791,,,,,,224
1568115183.125310355,,,,0.186639,,
1568115183.164588510,0.285256,,,,,
1568115183.164588510,,,0.477619,,,
1568115183.164588510,,,,,0.00587794,
1568115183.164588510,,,,,,238
1568115183.321620993,,,,0.18396,,
1568115183.348801991,0.240162,,,,,
1568115183.351821329,,,0.430969,,,
1568115183.351821329,,,,,0.00753172,
