Duration,selectiveICP,normalICP,gotCloud,processCloud,mapping,realTimeCap
1553088515.225102498,,,,0.696182,,
1553088515.345862362,,,,0.121037,,
1553088515.416900429,,0.200329,,,,
1553088515.416900429,,,0.323525,,,
1553088515.416900429,,,,,,0
1553088515.478759225,,,,0.100332,,
1553088515.539145239,,0.195713,,,,
1553088515.539145239,,,0.298262,,,
1553088515.539145239,,,,,,294
1553088515.589484444,,,,0.0883226,,
1553088515.659950947,,0.225958,,,,
1553088515.659950947,,,0.316321,,,
1553088515.659950947,,,,,,312
1553088515.720411552,,,,0.091836,,
1553088515.770708133,,0.174186,,,,
1553088515.770708133,,,0.267763,,,
1553088515.770708133,,,,,,264
1553088515.831069615,,,,0.0868357,,
1553088515.881405045,,0.178239,,,,
1553088515.881405045,,,0.267058,,,
1553088515.881405045,,,,,,263
1553088515.941739470,,,,0.0967041,,
1553088515.992020830,,0.170504,,,,
1553088516.002086042,,,0.2702,,,
1553088516.002086042,,,,,,266
1553088516.052406206,,,,0.0940523,,
1553088516.112811598,,0.173367,,,,
1553088516.112811598,,,0.269118,,,
1553088516.112811598,,,,,,266
1553088516.163080252,,,,0.0966664,,
1553088516.223603326,,0.172988,,,,
1553088516.223603326,,,0.271227,,,
1553088516.223603326,,,,,,268
1553088516.273872565,,,,0.0835432,,
1553088516.324196158,,0.153862,,,,
1553088516.324196158,,,0.24008,,,
1553088516.324196158,,,,,,236
1553088516.384551872,,,,0.0867811,,
1553088516.454994044,,0.203468,,,,
1553088516.454994044,,,0.292672,,,
1553088516.454994044,,,,,,288
1553088516.526097990,,,,0.106157,,
1553088516.576474968,,0.174728,,,,
1553088516.576474968,,,0.283482,,,
1553088516.576474968,,,,,,279
1553088516.636852582,,,,0.0926071,,
1553088516.687198675,,0.147358,,,,
1553088516.687198675,,,0.241713,,,
1553088516.687198675,,,,,,238
1553088516.737501429,,,,0.0845495,,
1553088516.787806633,,0.180087,,,,
1553088516.787806633,,,0.266394,,,
1553088516.787806633,,,,,,263
1553088516.848178270,,,,0.0848201,,
1553088516.888499543,,0.149532,,,,
1553088516.888499543,,,0.236456,,,
1553088516.888499543,,,,,,233
1553088516.948882551,,,,0.0856196,,
1553088516.979076243,,0.125994,,,,
1553088516.989146611,,,0.213885,,,
1553088516.989146611,,,,,,210
1553088517.039454705,,,,0.0875622,,
1553088517.079664200,,0.118909,,,,
1553088517.079664200,,,0.208754,,,
1553088517.079664200,,,,,,205
1553088517.130041912,,,,0.0829183,,
1553088517.180394951,,0.166748,,,,
1553088517.180394951,,,0.251149,,,
1553088517.180394951,,,,,,248
1553088517.241424501,,,,0.0952228,,
1553088517.281772649,,0.13827,,,,
1553088517.281772649,,,0.235211,,,
1553088517.281772649,,,,,,232
1553088517.342185661,,,,0.0938091,,
1553088517.382413985,,0.136777,,,,
1553088517.382413985,,,0.232581,,,
1553088517.382413985,,,,,,229
1553088517.442790987,,,,0.0850793,,
1553088517.473006301,,0.0808464,,,,
1553088517.473006301,,,0.167593,,,
1553088517.473006301,,,,,,165
1553088517.523617605,,,,0.0914849,,
1553088517.563825730,,0.115099,,,,
1553088517.563825730,,,0.208432,,,
1553088517.563825730,,,,,,205
1553088517.624204276,,,,0.0958477,,
1553088517.664452353,,0.105011,,,,
1553088517.664452353,,,0.203457,,,
1553088517.664452353,,,,,,200
1553088517.714726780,,,,0.0900385,,
1553088517.755025485,,0.127613,,,,
1553088517.755025485,,,0.220746,,,
1553088517.755025485,,,,,,216
1553088517.825488265,,,,0.101473,,
1553088517.855663356,,0.119001,,,,
1553088517.865693875,,,0.223013,,,
1553088517.865693875,,,,,,219
1553088517.915987343,,,,0.084921,,
1553088517.957570714,,0.103871,,,,
1553088517.957570714,,,0.190523,,,
1553088517.957570714,,,,,,188
1553088518.007907289,,,,0.0759305,,
1553088518.038082536,,0.111252,,,,
1553088518.038082536,,,0.19053,,,
1553088518.038082536,,,,,,188
1553088518.098784971,,,,0.0984473,,
1553088518.140127936,,0.111541,,,,
1553088518.140127936,,,0.212341,,,
1553088518.140127936,,,,,,209
1553088518.512309698,,,,0.528178,,
1553088518.582777036,,,,0.0734969,,
1553088518.633108097,0.142572,,,,,
1553088518.63310809715530885181553088518.6331080971553088518.633108097,,,,,,0.218593,,,
0.00211174,
1553088518.633108097,,,,,,215
1553088518.683606756,,,,0.0879444,,
1553088518.744134257,0.163718,,,,,
1553088518.744134257,,,0.254963,,,
1553088518.744134257,,,,,0.00309996,
1553088518.744134257,,,,,,252
1553088518.814517566,,,,0.0952428,,
1553088518.864819369,0.165408,,,,,
1553088518.864819369,,,0.26364,,,
1553088518.864819369,,,,,0.00289695,
1553088518.864819369,,,,,,261
1553088518.935234435,,,,0.100336,,
1553088518.975433358,0.14042,,,,,
1553088518.975433358,,,0.243621,,,
1553088518.985505583,,,,,0.00501566,
1553088518.985505583,,,,,,242
1553088519.045893597,,,,0.0926322,,
1553088519.076076678,0.136237,,,,,
1553088519.076076678,,,0.231917,,,
1553088519.086136653,,,,,0.00313532,
1553088519.086136653,,,,,,229
1553088519.136679382,,,,0.091078,,
1553088519.186990426,0.130958,,,,,
1553088519.186990426,,,0.224876,,,
1553088519.186990426,,,,,0.00387331,
1553088519.186990426,,,,,,223
1553088519.247326145,,,,0.0939435,,
1553088519.287571691,0.132082,,,,,
1553088519.287571691,,,0.231497,,,
1553088519.287571691,,,,,0.00765138,
1553088519.287571691,,,,,,231
1553088519.348074139,,,,0.0902014,,
1553088519.388331210,0.12963,,,,,
1553088519.388331210,,,0.223813,,,
1553088519.398427315,,,,,0.00304016,
1553088519.398427315,,,,,,220
1553088519.449566963,,,,0.0899343,,
1553088519.489784657,0.119509,,,,,
1553088519.489784657,,,0.212109,,,
1553088519.489784657,,,,,0.00694405,
1553088519.489784657,,,,,,212
1553088519.550197618,,,,0.0943009,,
1553088519.590485927,0.136438,,,,,
1553088519.590485927,,,0.234263,,,
1553088519.600545898,,,,,0.00461141,
1553088519.600545898,,,,,,233
1553088519.650853200,,,,0.0954366,,
1553088519.691181224,0.131741,,,,,
1553088519.701256182,,,0.229778,,,
1553088519.701256182,,,,,0.00453184,
1553088519.701256182,,,,,,229
1553088519.762060469,,,,0.0916136,,
1553088519.792243105,0.125636,,,,,
1553088519.792243105,,,0.220339,,,
1553088519.802302874,,,,,0.00387698,
1553088519.802302874,,,,,,219
1553088519.862670932,,,,0.0886902,,
1553088519.902917087,0.12952,,,,,
1553088519.902917087,,,0.222854,,,
1553088519.902917087,,,,,0.00683411,
1553088519.902917087,,,,,,223
1553088519.973415541,,,,0.105638,,
1553088520.023728479,0.142686,,,,,
1553088520.023728479,,,0.253122,,,
1553088520.023728479,,,,,0.00699955,
