Duration,selectiveICP,normalICP,gotCloud,processCloud,mapping,realTimeCap
1568115185.058388396,,,,0.699574,,
1568115185.138949877,,,,0.180191,,
1568115185.234602335,,0.411484,,,,
1568115185.234602335,,,0.598157,,,
1568115185.234602335,,,,,,0
1568115185.305663929,,,,0.18858,,
1568115185.401288907,,0.445115,,,,
1568115185.401288907,,,0.637612,,,
1568115185.401288907,,,,,,316
1568115185.466663884,,,,0.184464,,
1568115185.552237461,,0.357797,,,,
1568115185.552237461,,,0.546646,,,
1568115185.552237461,,,,,,271
1568115185.617659002,,,,0.180914,,
1568115185.688097335,,0.318205,,,,
1568115185.693130126,,,0.505551,,,
1568115185.693130126,,,,,,249
1568115185.758520939,,,,0.174046,,
1568115185.813910345,,0.269659,,,,
1568115185.813910345,,,0.450438,,,
1568115185.813910345,,,,,,222
1568115185.941889703,,,,0.160273,,
1568115185.997240428,,0.225722,,,,
1568115185.997240428,,,0.390915,,,
1568115185.997240428,,,,,,193
1568115186.153296947,,,,0.188786,,
1568115186.203654420,,0.209917,,,,
1568115186.203654420,,,0.40444,,,
1568115186.203654420,,,,,,199
1568115186.349614584,,,,0.162673,,
1568115186.415101120,,0.287008,,,,
1568115186.415101120,,,0.455933,,,
1568115186.415101120,,,,,,225
1568115186.556032210,,,,0.179909,,
1568115186.601371354,,0.210887,,,,
1568115186.601371354,,,0.396715,,,
1568115186.601371354,,,,,,195
1568115186.747363221,,,,0.159195,,
1568115186.792705591,,0.215811,,,,
1568115186.792705591,,,0.38175,,,
1568115186.792705591,,,,,,187
1568115186.948780764,,,,0.177144,,
1568115186.999156378,,0.230639,,,,
1568115186.999156378,,,0.414575,,,
1568115186.999156378,,,,,,204
1568115187.150252393,,,,0.163609,,
1568115187.191533112,,0.188638,,,,
1568115187.191533112,,,0.359689,,,
1568115187.191533112,,,,,,176
1568115187.352632903,,,,0.185576,,
1568115187.403067710,,0.224724,,,,
1568115187.403067710,,,0.416994,,,
1568115187.403067710,,,,,,205
1568115187.549113288,,,,0.173696,,
1568115187.599425498,,0.208405,,,,
1568115187.599425498,,,0.388406,,,
1568115187.599425498,,,,,,191
1568115187.756914192,,,,0.187475,,
1568115187.797150448,,0.174647,,,,
1568115187.797150448,,,0.368252,,,
1568115187.797150448,,,,,,181
1568115187.953203609,,,,0.166421,,
1568115187.993640109,,0.170937,,,,
1568115187.993640109,,,0.343527,,,
1568115187.993640109,,,,,,169
1568115188.156359654,,,,0.168485,,
1568115188.201663297,,0.206713,,,,
1568115188.201663297,,,0.382516,,,
1568115188.201663297,,,,,,187
1568115188.360174011,,,,0.184246,,
