Duration,selectiveICP,normalICP,gotCloud,processCloud,mapping,realTimeCap
1568115186.764241746,,,,0.690566,,
1568115186.844781246,,,,0.168149,,
1568115186.945569756,,0.42139,,,,
1568115186.945569756,,,0.594627,,,
1568115186.945569756,,,,,,0
1568115187.015990639,,,,0.189441,,
1568115187.111632563,,0.430929,,,,
1568115187.116677828,,,0.625235,,,
1568115187.116677828,,,,,,310
1568115187.177044875,,,,0.181905,,
1568115187.252556170,,0.326975,,,,
1568115187.252556170,,,0.512838,,,
1568115187.252556170,,,,,,254
1568115187.353242799,,,,0.17124,,
1568115187.418673282,,0.305428,,,,
1568115187.418673282,,,0.483106,,,
1568115187.418673282,,,,,,238
1568115187.554629249,,,,0.172544,,
1568115187.610029040,,0.246981,,,,
1568115187.610029040,,,0.426138,,,
1568115187.610029040,,,,,,210
1568115187.751018359,,,,0.178097,,
1568115187.806386316,,0.221841,,,,
1568115187.811423382,,,0.407699,,,
1568115187.811423382,,,,,,200
1568115187.952431742,,,,0.163481,,
1568115188.002749793,,0.207414,,,,
1568115188.007782649,,,0.377198,,,
1568115188.007782649,,,,,,185
1568115188.158807491,,,,0.171583,,
1568115188.214240772,,0.23654,,,,
1568115188.214240772,,,0.416623,,,
1568115188.214240772,,,,,,204
1568115188.360301301,,,,0.192507,,
1568115188.415667972,,0.226269,,,,
1568115188.420713765,,,0.429896,,,
1568115188.420713765,,,,,,212
1568115188.551583548,,,,0.158283,,
1568115188.602066101,,0.21445,,,,
1568115188.602066101,,,0.378732,,,
1568115188.602066101,,,,,,186
1568115188.758215134,,,,0.178931,,
1568115188.813635053,,0.22263,,,,
1568115188.818666530,,,0.40951,,,
1568115188.818666530,,,,,,201
1568115188.955060895,,,,0.174383,,
1568115189.010438330,,0.231623,,,,
1568115189.010438330,,,0.413921,,,
1568115189.010438330,,,,,,203
1568115189.161488507,,,,0.185393,,
1568115189.216879604,,0.220961,,,,
1568115189.216879604,,,0.411315,,,
1568115189.216879604,,,,,,203
1568115189.357855945,,,,0.164721,,
1568115189.403126120,,0.178937,,,,
1568115189.403126120,,,0.35136,,,
1568115189.403126120,,,,,,172
1568115189.559297672,,,,0.191886,,
1568115189.604599351,,0.16178,,,,
1568115189.604599351,,,0.360742,,,
1568115189.604599351,,,,,,178
1568115189.755677806,,,,0.183803,,
1568115189.800991675,,0.174309,,,,
1568115189.800991675,,,0.364787,,,
1568115189.800991675,,,,,,179
1568115189.962095448,,,,0.186977,,
1568115190.007540412,,0.17191,,,,
1568115190.007540412,,,0.367357,,,
1568115190.007540412,,,,,,180
1568115190.158634004,,,,0.167403,,
1568115190.199014313,,0.16941,,,,
1568115190.204044454,,,0.343248,,,
1568115190.204044454,,,,,,168
1568115190.370193755,,,,0.197692,,
1568115190.411880227,,0.176911,,,,
1568115190.411880227,,,0.379122,,,
1568115190.411880227,,,,,,187
1568115190.583040246,,,,0.440649,,
1568115190.653501293,,,,0.170166,,
1568115190.724013327,0.283369,,,,,
1568115190.7240133271568115190.7240133271568115190.724013327,,,,,,0.459946,,,
0.00459587,
1568115190.724013327,,,,,,228
1568115190.794513389,,,,0.185011,,
1568115190.865065773,0.327271,,,,,
1568115190.865065773,,,0.517363,,,
1568115190.865065773,,,,,0.00527204,
1568115190.865065773,,,,,,258
1568115190.960747861,,,,0.165497,,
1568115191.031234475,0.309399,,,,,
1568115191.031234475,,,0.486602,,,
1568115191.031234475,,,,,0.00674542,
1568115191.031234475,,,,,,240
1568115191.167251319,,,,0.194628,,
1568115191.237925735,0.295361,,,,,
1568115191.237925735,,,0.495421,,,
1568115191.237925735,,,,,0.00374144,
1568115191.237925735,,,,,,246
1568115191.363823596,,,,0.163938,,
1568115191.419179606,0.221642,,,,,
1568115191.419179606,,,0.393074,,,
1568115191.419179606,,,,,0.00416443,
1568115191.419179606,,,,,,194
1568115191.565130749,,,,0.193893,,
