Duration,x,y,z,x,y,z,w
1568115186.056605000,14.9339,-1.76842,0.543714,-0.00331698,0.00954346,0.736672,0.676175
1568115186.256838000,14.9333,-1.7684,0.542807,-0.00338689,0.00961033,0.736634,0.676215
1568115186.457236000,14.9335,-1.76777,0.545844,-0.00322939,0.00963652,0.736654,0.676194
1568115186.657695000,14.9325,-1.76787,0.544569,-0.00304856,0.00934058,0.736566,0.676294
1568115186.857981000,14.9357,-1.76792,0.542707,-0.00319372,0.00942526,0.736687,0.676161
1568115187.058372000,14.9334,-1.76893,0.541855,-0.00336398,0.00986041,0.736589,0.67626
1568115187.258773000,14.9342,-1.76784,0.543646,-0.00323167,0.00961229,0.736639,0.67621
1568115187.459300000,14.9384,-1.76871,0.542641,-0.00313605,0.00929596,0.736618,0.676238
1568115187.659543000,14.9357,-1.76749,0.543217,-0.00331011,0.00973548,0.73671,0.676131
1568115187.859958000,14.9346,-1.76784,0.543383,-0.00302702,0.00938041,0.736669,0.676182
1568115188.060619000,14.9342,-1.76928,0.543297,-0.00313437,0.0096222,0.736517,0.676344
1568115188.260733000,14.9373,-1.76799,0.54353,-0.00328143,0.00943112,0.736677,0.676171
1568115188.461224000,14.9368,-1.77056,0.541615,-0.00340546,0.00968376,0.736746,0.676092
1568115188.661593000,14.938,-1.77,0.541665,-0.00369909,0.0101976,0.736722,0.676109
1568115188.861977000,14.9365,-1.7704,0.538653,-0.0036999,0.0102055,0.7367,0.676133
1568115189.062316000,14.9351,-1.76975,0.538826,-0.00357606,0.00976165,0.736688,0.676153
1568115189.262836000,14.9323,-1.76909,0.541324,-0.00318319,0.00969309,0.736692,0.676151
1568115189.463213000,14.9335,-1.77042,0.541934,-0.00330138,0.00975659,0.736672,0.676172
1568115189.663565000,14.9355,-1.76845,0.543069,-0.00324601,0.00976567,0.736686,0.676157
1568115189.863988000,14.9389,-1.76935,0.542176,-0.00346697,0.00999425,0.736747,0.676086
1568115190.064316000,14.9339,-1.76807,0.544019,-0.00313016,0.00953712,0.736679,0.676168
1568115190.264762000,14.9035,-1.64592,0.293221,0.00761858,-0.00255786,0.735414,0.67757
1568115190.465134000,14.9043,-1.64293,0.294353,0.00856009,-0.00344648,0.735486,0.677477
1568115190.665522000,14.8934,-1.63765,0.296267,0.00845843,-0.00265444,0.735003,0.678006
1568115190.865960000,14.8977,-1.63222,0.293391,0.00898117,-0.0035078,0.735444,0.677517
1568115191.066344000,14.8993,-1.63979,0.286976,0.00856772,-0.00311155,0.735302,0.677679
1568115191.266725000,14.9075,-1.64476,0.292687,0.00773881,-0.00266722,0.735373,0.677613
1568115191.467102000,14.9041,-1.63817,0.290919,0.00936417,-0.00377241,0.735455,0.677499
1568115191.667521000,14.905,-1.64032,0.291367,0.00910537,-0.0034515,0.73561,0.677336
1568115191.868026000,14.903,-1.63993,0.293331,0.00828767,-0.00378619,0.735469,0.677497
1568115192.068258000,14.91,-1.64164,0.295655,0.0086296,-0.00325964,0.735712,0.677232
1568115192.268702000,14.9144,-1.64194,0.29146,0.00829583,-0.00355204,0.735441,0.677528
1568115192.469153000,14.8978,-1.63993,0.295096,0.00919425,-0.00416061,0.735531,0.677416
1568115192.669557000,14.8969,-1.6391,0.296191,0.0088524,-0.00382358,0.735275,0.677701
1568115192.869905000,14.9045,-1.63729,0.29175,0.0089584,-0.00376921,0.735074,0.677917
1568115193.070231000,14.911,-1.64181,0.289278,0.00835632,-0.0037258,0.735522,0.67744
1568115193.270699000,14.9135,-1.64098,0.289826,0.00901785,-0.00336997,0.735872,0.677052
1568115193.471082000,14.9087,-1.63755,0.287292,0.00856086,-0.00292539,0.735516,0.677447
1568115193.671486000,14.9052,-1.63891,0.289024,0.00909779,-0.00350861,0.735409,0.677554
1568115193.871850000,14.9017,-1.63802,0.29238,0.00881396,-0.00349276,0.735641,0.677306
1568115194.072271000,14.901,-1.63788,0.289599,0.00915899,-0.00443789,0.735231,0.67774
1568115194.272664000,14.9044,-1.63954,0.289021,0.00914973,-0.00425441,0.735644,0.677293
1568115194.473032000,14.9028,-1.63944,0.289484,0.00949503,-0.00452253,0.735572,0.677365
1568115194.673442000,14.9026,-1.63836,0.28894,0.00906569,-0.00360313,0.735556,0.677393
1568115194.873824000,14.9033,-1.63783,0.294989,0.00901578,-0.00378053,0.735511,0.677442
1568115195.074178000,14.8919,-1.64641,0.296072,0.00812205,-0.002432,0.735388,0.677594
1568115195.274664000,14.9038,-1.64005,0.293479,0.00903622,-0.00387008,0.735575,0.677372
1568115195.475029000,14.9016,-1.64152,0.29488,0.00868641,-0.00392044,0.735575,0.677376
1568115195.675436000,14.9047,-1.64298,0.294513,0.00855277,-0.00337372,0.73572,0.677223
1568115195.875793000,14.8944,-1.64132,0.290821,0.00796443,-0.00347433,0.735163,0.677834
1568115196.076275000,14.9019,-1.64337,0.299224,0.00841363,-0.00329926,0.73554,0.677421
1568115196.276636000,14.8972,-1.64197,0.293759,0.00805606,-0.00307243,0.735036,0.677973
1568115196.477071000,14.9106,-1.64077,0.298334,0.00859805,-0.0038128,0.735441,0.677523
1568115196.677525000,14.8938,-1.64461,0.293911,0.00855485,-0.00292011,0.735342,0.677636
1568115196.877936000,14.9028,-1.64066,0.292739,0.00849965,-0.00419724,0.735488,0.677471
1568115197.078188000,14.8952,-1.64246,0.300673,0.00873607,-0.0028183,0.735087,0.677911
1568115197.278616000,14.8999,-1.63833,0.291741,0.00840095,-0.00311844,0.735253,0.677734
1568115197.479156000,14.9016,-1.63731,0.298272,0.00902348,-0.0039596,0.735593,0.677352
1568115197.679431000,14.9027,-1.64068,0.296348,0.00900588,-0.00364693,0.735572,0.677377
1568115197.879844000,14.9009,-1.64309,0.292999,0.00823442,-0.00273505,0.735509,0.67746
1568115198.080189000,14.8965,-1.6396,0.295905,0.00852487,-0.00295648,0.735297,0.677685
1568115198.280649000,14.8912,-1.64144,0.294182,0.00811875,-0.00301779,0.735239,0.677753
1568115198.481027000,14.8987,-1.64476,0.296878,0.00822349,-0.00277332,0.735879,0.677057
1568115198.681407000,14.9014,-1.64037,0.291393,0.00887964,-0.00368077,0.735253,0.677724
