Duration,x,y,z,x,y,z,w
1568115179.643655000,14.7242,-1.61054,0.892296,-0.00129737,0.00656926,0.736558,0.676342
1568115179.844081000,14.7241,-1.61027,0.891196,-0.0012506,0.00645373,0.736586,0.676311
1568115180.044391000,14.7143,-1.60505,0.894359,-0.000362335,0.00600224,0.736704,0.676188
1568115180.244881000,14.7228,-1.60467,0.900166,-0.00101614,0.00555456,0.736505,0.676409
1568115180.445323000,14.7262,-1.60383,0.89647,-0.00162104,0.00679586,0.736557,0.67634
1568115180.645708000,14.7193,-1.60337,0.89952,-0.00118707,0.00594205,0.73671,0.676181
1568115180.846080000,14.7255,-1.60195,0.89724,-0.00150161,0.00583119,0.736701,0.676192
1568115181.046443000,14.7232,-1.60109,0.902579,-0.000985608,0.00555726,0.736646,0.676255
1568115181.246795000,14.7213,-1.59972,0.901994,-0.000742584,0.00477376,0.736686,0.676218
1568115181.447259000,14.7222,-1.60551,0.89109,-0.00109139,0.00623168,0.736585,0.676316
1568115181.647628000,14.7271,-1.60378,0.901334,-0.00135829,0.00642747,0.736723,0.676163
1568115181.848068000,14.728,-1.60171,0.895046,-0.00139225,0.00600404,0.736378,0.676543
1568115182.048371000,14.724,-1.60293,0.902282,-0.00109212,0.00572851,0.736439,0.676479
1568115182.249475000,14.7178,-1.6043,0.895655,-0.00149567,0.00628281,0.736575,0.676325
1568115182.449218000,14.7211,-1.60804,0.897437,-0.00130819,0.00565992,0.73668,0.676217
1568115182.649601000,14.7154,-1.6104,0.896189,-0.00138476,0.00612912,0.736686,0.676206
1568115182.850530000,14.6918,-1.55247,0.897182,0.00261537,0.00226217,0.736499,0.67643
1568115183.050397000,14.6983,-1.55786,0.895774,0.00217027,0.00295324,0.73677,0.676134
1568115183.250772000,14.7021,-1.55535,0.894358,0.00202486,0.00258875,0.736827,0.676074
1568115183.451182000,14.6971,-1.54802,0.895143,0.00234398,0.00247865,0.735985,0.67699
1568115183.651558000,14.7047,-1.55165,0.897043,0.00228632,0.00257045,0.736362,0.67658
1568115183.851977000,14.7103,-1.55236,0.89819,0.0024385,0.00280538,0.736346,0.676595
1568115184.052352000,14.7066,-1.55288,0.889529,0.00264109,0.00193717,0.736418,0.676519
1568115184.252748000,14.7065,-1.55532,0.9023,0.00156589,0.00343744,0.736453,0.676478
1568115184.453173000,14.7084,-1.55168,0.895709,0.00274149,0.00188436,0.736336,0.676608
1568115184.653570000,14.7071,-1.55637,0.895167,0.00213404,0.00269627,0.73649,0.67644
1568115184.853984000,14.7037,-1.55287,0.892437,0.00190711,0.00297716,0.736169,0.676789
1568115185.054391000,14.702,-1.55179,0.894536,0.00278659,0.00205097,0.736577,0.676345
1568115185.254776000,14.702,-1.55481,0.890323,0.00188583,0.00280483,0.736352,0.67659
1568115185.455238000,14.7028,-1.55092,0.900974,0.00319788,0.00194357,0.736464,0.676467
1568115185.655632000,14.6986,-1.553,0.896633,0.00293263,0.00175875,0.736291,0.676657
1568115185.855997000,14.7067,-1.56111,0.892175,0.00225877,0.00263794,0.736668,0.676245
1568115186.056605000,14.6991,-1.55349,0.898726,0.00327657,0.00142764,0.736365,0.676575
1568115186.256838000,14.7038,-1.55395,0.896786,0.00232018,0.00270133,0.736446,0.676487
1568115186.457236000,14.7095,-1.55614,0.899112,0.00255008,0.00229559,0.736709,0.676201
1568115186.657695000,14.6994,-1.55166,0.898605,0.00288762,0.00204099,0.736415,0.676521
1568115186.857981000,14.6976,-1.55808,0.89335,0.00197605,0.00307906,0.736445,0.676487
1568115187.058372000,14.7051,-1.54896,0.894934,0.00286861,0.00204176,0.736449,0.676484
1568115187.258773000,14.706,-1.55362,0.898214,0.00252579,0.00246693,0.736537,0.676388
1568115187.459300000,14.7062,-1.55319,0.890338,0.00229723,0.00235711,0.736648,0.676268
1568115187.659543000,14.7025,-1.54584,0.89856,0.00298071,0.00153324,0.736094,0.676871
1568115187.859958000,14.7047,-1.55608,0.894942,0.00199369,0.00243818,0.736676,0.676238
1568115188.060619000,14.7061,-1.55048,0.896926,0.00287938,0.00170768,0.736254,0.676697
1568115188.260733000,14.7075,-1.55652,0.894595,0.00278655,0.00201497,0.736769,0.676135
1568115188.461224000,14.707,-1.55377,0.894367,0.0022011,0.00271682,0.736328,0.676616
1568115188.661593000,14.7045,-1.55376,0.888325,0.00198284,0.00287066,0.736553,0.676371
1568115188.861977000,14.7017,-1.55752,0.893044,0.0019462,0.00300864,0.736642,0.676273
1568115189.062316000,14.711,-1.55756,0.889581,0.00221406,0.00244527,0.736593,0.676328
1568115189.262836000,14.7101,-1.55171,0.895443,0.00282454,0.00210483,0.736556,0.676367
1568115189.463213000,14.7004,-1.55209,0.89089,0.00279692,0.00215627,0.736388,0.676551
1568115189.663565000,14.7072,-1.55468,0.899424,0.00278511,0.00223045,0.736601,0.676318
1568115189.863988000,14.7025,-1.55483,0.896346,0.00249606,0.00217886,0.736452,0.676482
1568115190.064316000,14.7074,-1.55407,0.898813,0.00237853,0.00259342,0.736409,0.676528
1568115190.264762000,14.6993,-1.5557,0.893215,0.00214256,0.00225505,0.736287,0.676663
1568115190.465134000,14.7065,-1.55134,0.896974,0.00300799,0.00172896,0.736606,0.676313
1568115190.665522000,14.7043,-1.55102,0.89734,0.00288198,0.00152969,0.736489,0.676442
1568115190.865960000,14.7045,-1.55493,0.894511,0.00299722,0.00166795,0.736595,0.676326
1568115191.066344000,14.7089,-1.54846,0.892444,0.002729,0.00220913,0.736519,0.676408
1568115191.266725000,14.7056,-1.55397,0.890368,0.00247379,0.00269993,0.73657,0.676352
1568115191.467102000,14.708,-1.55075,0.891642,0.00313499,0.0022336,0.736225,0.676726
1568115191.667521000,14.7062,-1.55254,0.892222,0.0026678,0.00194521,0.73661,0.676309
1568115191.868026000,14.6986,-1.54938,0.893037,0.00277006,0.00206267,0.736499,0.67643
1568115192.068258000,14.7014,-1.55646,0.893443,0.00235366,0.00247234,0.736556,0.676368
1568115192.268702000,14.7003,-1.55417,0.889366,0.00282907,0.00179987,0.736668,0.676246
1568115192.469153000,14.7042,-1.5529,0.895259,0.00277321,0.00189115,0.736688,0.676225
1568115192.669557000,14.7058,-1.55346,0.893792,0.00236267,0.00227466,0.736479,0.676453
1568115192.869905000,14.7092,-1.55491,0.895584,0.00238478,0.002442,0.736601,0.676319
1568115193.270699000,14.7059,-1.55469,0.89061,0.00289108,0.00193047,0.736378,0.676562
