Duration,x,y,z,x,y,z,w
1568115180.645708000,14.932,-1.80719,0.501874,-0.00181081,0.00666996,0.736425,0.676484
1568115180.846080000,14.9244,-1.80676,0.508585,-0.00110627,0.00584856,0.736808,0.676075
1568115181.046443000,14.9247,-1.80479,0.49514,-0.000850142,0.00668692,0.736536,0.676364
1568115181.246795000,14.9266,-1.80165,0.49915,-0.00118526,0.00634466,0.736439,0.676473
1568115181.447259000,14.9258,-1.79879,0.499952,-0.000989741,0.00548897,0.736556,0.676354
1568115181.647628000,14.927,-1.79914,0.50105,-0.000737634,0.00529536,0.73665,0.676253
1568115181.848068000,14.9264,-1.80596,0.497672,-0.00173164,0.00636837,0.736435,0.676476
1568115182.048371000,14.919,-1.79946,0.504845,-0.00080823,0.00576614,0.736281,0.676651
1568115182.249475000,14.9154,-1.79986,0.499195,-0.000876751,0.00590129,0.736615,0.676286
1568115182.449218000,14.925,-1.80707,0.500659,-0.00138709,0.00625516,0.736608,0.676289
1568115182.649601000,14.9216,-1.8059,0.502475,-0.0012711,0.00585348,0.73661,0.676292
1568115182.850530000,14.9188,-1.80486,0.502008,-0.000942779,0.00562654,0.736704,0.676191
1568115183.050397000,14.9248,-1.80955,0.505296,-0.00167434,0.00610544,0.736681,0.676211
1568115183.250772000,14.9261,-1.81054,0.498333,-0.00188025,0.00661302,0.736877,0.675992
1568115183.451182000,14.9348,-1.80532,0.496441,-0.0016694,0.00627448,0.736327,0.676594
1568115183.651558000,14.9288,-1.80679,0.500228,-0.00187469,0.00631944,0.736325,0.676596
1568115183.851977000,14.9237,-1.8048,0.505202,-0.00132167,0.00576326,0.736624,0.676277
1568115184.052352000,14.9314,-1.80136,0.503221,-0.00110984,0.00539721,0.736677,0.676222
1568115184.252748000,14.934,-1.80278,0.499784,-0.00134682,0.00598751,0.736605,0.676296
1568115184.453173000,14.933,-1.81046,0.500075,-0.00165427,0.00580298,0.736716,0.676176
