Duration,x,y,z,x,y,z,w
1568115179.844081000,-0.966816,-1.37009,0.0116048,-0.00259053,0.00129129,0.194827,0.980833
1568115180.445323000,-0.960873,-1.3989,0.0120801,-0.00368714,0.000967442,0.19432,0.980931
1568115180.846080000,-1.17489,-2.91233,0.0436913,0.00832352,-0.0160266,0.00351099,0.999831
1568115181.246795000,-1.23622,-2.97497,0.0424551,0.00773523,-0.0134429,0.0161429,0.999749
1568115181.848068000,1.79875,-6.49071,0.112994,-0.0104403,0.0293474,-0.0806193,0.996258
1568115182.449218000,-1.2982,-8.51068,-0.0983164,-0.0113605,0.0217919,0.0798418,0.996505
