Duration,selectiveICP,normalICP,gotCloud,processCloud,mapping,realTimeCap
1553088519.753306432,,,,0.684389,,
1553088519.844389933,,,,0.0993529,,
1553088519.904764167,,0.168539,,,,
1553088519.904764167,,,0.271354,,,
1553088519.904764167,,,,,,0
1553088519.975206916,,,,0.102456,,
1553088520.025545806,,0.186276,,,,
1553088520.025545806,,,0.291157,,,
1553088520.025545806,,,,,,287
1553088520.095969556,,,,0.0959967,,
1553088520.146326628,,0.145425,,,,
1553088520.146326628,,,0.24319,,,
1553088520.146326628,,,,,,239
1553088520.207274856,,,,0.102049,,
1553088520.257568582,,0.146705,,,,
1553088520.257568582,,,0.250539,,,
1553088520.257568582,,,,,,246
1553088520.318565942,,,,0.0991069,,
1553088520.368911275,,0.160403,,,,
1553088520.368911275,,,0.261248,,,
1553088520.368911275,,,,,,258
1553088520.429366736,,,,0.0934966,,
1553088520.469646408,,0.132883,,,,
1553088520.469646408,,,0.228615,,,
1553088520.469646408,,,,,,225
1553088520.519934433,,,,0.0750893,,
1553088520.560201969,,0.117606,,,,
1553088520.560201969,,,0.195362,,,
1553088520.560201969,,,,,,192
1553088520.620792454,,,,0.0923813,,
1553088520.650973641,,0.113077,,,,
1553088520.650973641,,,0.208126,,,
1553088520.650973641,,,,,,204
1553088520.711405281,,,,0.0965871,,
1553088520.752510559,,0.108381,,,,
1553088520.752510559,,,0.208713,,,
1553088520.752510559,,,,,,205
1553088520.812871635,,,,0.085493,,
1553088520.843048211,,0.112306,,,,
1553088520.843048211,,,0.200152,,,
1553088520.843048211,,,,,,197
1553088520.903395407,,,,0.0954016,,
1553088520.943631809,,0.109682,,,,
1553088520.943631809,,,0.206776,,,
1553088520.943631809,,,,,,204
1553088521.004422152,,,,0.0955774,,
1553088521.044688677,,0.113976,,,,
1553088521.044688677,,,0.211222,,,
1553088521.044688677,,,,,,208
1553088521.105049095,,,,0.0977324,,
1553088521.136171310,,0.107794,,,,
1553088521.146229174,,,0.207743,,,
1553088521.146229174,,,,,,204
1553088521.206583326,,,,0.0887329,,
1553088521.236779457,,0.0918691,,,,
1553088521.236779457,,,0.182457,,,
1553088521.236779457,,,,,,180
1553088521.308801228,,,,0.108442,,
1553088521.349056412,,0.124939,,,,
1553088521.349056412,,,0.235086,,,
1553088521.349056412,,,,,,231
1553088521.409436918,,,,0.0985102,,
1553088521.449656797,,0.109371,,,,
1553088521.449656797,,,0.210157,,,
1553088521.449656797,,,,,,206
1553088521.510024598,,,,0.0995538,,
1553088521.550413229,,0.113324,,,,
1553088521.550413229,,,0.214495,,,
1553088521.550413229,,,,,,211
1553088521.610852243,,,,0.0981424,,
1553088521.641022079,,0.0941733,,,,
1553088521.641022079,,,0.194448,,,
1553088521.651120017,,,,,,191
1553088521.711467718,,,,0.0879966,,
1553088521.741644223,,0.0986898,,,,
1553088521.741644223,,,0.189381,,,
1553088521.741644223,,,,,,186
1553088521.812138615,,,,0.0905864,,
1553088521.842322276,,0.112103,,,,
1553088521.842322276,,,0.204673,,,
1553088521.842322276,,,,,,201
1553088521.912791723,,,,0.0985437,,
1553088521.942986878,,0.0845048,,,,
1553088521.942986878,,,0.184678,,,
1553088521.942986878,,,,,,182
1553088522.013464445,,,,0.0863221,,
1553088522.043710177,,0.115199,,,,
1553088522.043710177,,,0.203211,,,
1553088522.043710177,,,,,,200
1553088522.114165745,,,,0.0966957,,
1553088522.154373991,,0.122847,,,,
1553088522.154373991,,,0.222012,,,
1553088522.154373991,,,,,,219
1553088522.214724278,,,,0.0960139,,
1553088522.255007622,,0.110057,,,,
1553088522.255007622,,,0.208189,,,
1553088522.255007622,,,,,,205
1553088522.315347594,,,,0.0947106,,
1553088522.346773120,,0.113063,,,,
1553088522.346773120,,,0.209744,,,
1553088522.346773120,,,,,,206
1553088522.417213030,,,,0.0885289,,
1553088522.437338112,,0.0637047,,,,
1553088522.437338112,,,0.154156,,,
1553088522.437338112,,,,,,151
1553088522.517835680,,,,0.104303,,
1553088522.548020646,,0.0772746,,,,
1553088522.548020646,,,0.183676,,,
1553088522.548020646,,,,,,180
1553088522.618507997,,,,0.097068,,
1553088522.638628814,,0.0736919,,,,
1553088522.648728575,,,0.172902,,,
1553088522.648728575,,,,,,170
1553088522.719101130,,,,0.0850472,,
1553088522.739208946,,0.0690102,,,,
1553088522.739208946,,,0.155993,,,
1553088522.739208946,,,,,,153
1553088522.819701007,,,,0.1029,,
1553088522.849886872,,0.0835508,,,,
1553088522.849886872,,,0.189274,,,
1553088522.849886872,,,,,,185
1553088522.920354284,,,,0.0940107,,
1553088522.940480859,,0.0660639,,,,
1553088522.940480859,,,0.162471,,,
1553088522.940480859,,,,,,159
1553088523.020966729,,,,0.0950613,,
1553088523.051156839,,0.109783,,,,
1553088523.051156839,,,0.206677,,,
1553088523.051156839,,,,,,203
1553088523.121676910,,,,0.0969829,,
1553088523.152535792,,0.0971538,,,,
1553088523.152535792,,,0.196418,,,
1553088523.152535792,,,,,,193
1553088523.223044692,,,,0.0802623,,
1553088523.233105508,,0.0517227,,,,
1553088523.233105508,,,0.134605,,,
1553088523.233105508,,,,,,132
1553088523.323752786,,,,0.0916793,,
1553088523.353923791,,0.0842655,,,,
1553088523.353923791,,,0.179212,,,
1553088523.353923791,,,,,,175
1553088523.424379186,,,,0.0977259,,
1553088523.454552523,,0.0996806,,,,
1553088523.454552523,,,0.200552,,,
1553088523.454552523,,,,,,196
1553088523.524916625,,,,0.0813431,,
1553088523.545056109,,0.0563065,,,,
1553088523.545056109,,,0.139999,,,
1553088523.545056109,,,,,,137
1553088523.615477530,,,,0.0721738,,
1553088523.635595176,,0.0694941,,,,
1553088523.635595176,,,0.143745,,,
1553088523.635595176,,,,,,141
