Duration,ICPErrorClosestFacetAll,ResidualError,RobustMeanDist,NbPointsRobMeanDist,HaussdorffDist,HaussdorffQuantileDist,ICPErrorClosestFacetRef,selectiveICPOverlap,normalICPOverlap,sizeOfMap
Number of Facets in Model: 182
1568115179.643655000,,,,,,,,,0.798244,
1568115179.844081000,,,,,,,,,0.798331,
1568115180.044391000,,,,,,,,,0.798637,
1568115180.244881000,,,,,,,,,0.798232,
1568115180.445323000,,,,,,,,,0.797455,
1568115180.645708000,,,,,,,,,0.798737,
1568115180.846080000,,,,,,,,,0.798693,
1568115181.046443000,,,,,,,,,0.798777,
1568115181.246795000,,,,,,,,,0.79911,
1568115181.447259000,,,,,,,,,0.797965,
1568115181.647628000,,,,,,,,,0.798301,
1568115181.848068000,,,,,,,,,0.798885,
1568115182.048371000,,,,,,,,,0.798317,
1568115182.249475000,,,,,,,,,0.797772,
1568115182.449218000,,,,,,,,,0.798775,
1568115182.649601000,,,,,,,,,0.797517,
1568115182.850530000,,,,,,,,0.698134,,
1568115182.850530000,,,,,,,,,,4359
1568115183.050397000,,,,,,,,0.697966,,
1568115183.050397000,,,,,,,,,,7546
1568115183.250772000,,,,,,,,0.698623,,
1568115183.250772000,,,,,,,,,,10291
1568115183.451182000,,,,,,,,0.698673,,
1568115183.451182000,,,,,,,,,,12988
1568115183.651558000,,,,,,,,0.698265,,
1568115183.651558000,,,,,,,,,,15669
1568115183.851977000,,,,,,,,0.697963,,
1568115183.851977000,,,,,,,,,,18228
1568115184.052352000,,,,,,,,0.698157,,
1568115184.052352000,,,,,,,,,,20711
1568115184.252748000,,,,,,,,0.697955,,
1568115184.252748000,,,,,,,,,,23051
1568115184.453173000,,,,,,,,0.698215,,
1568115184.453173000,,,,,,,,,,25531
1568115184.653570000,,,,,,,,0.698049,,
1568115184.653570000,,,,,,,,,,28053
1568115184.853984000,,,,,,,,0.697787,,
1568115184.853984000,,,,,,,,,,30442
1568115185.054391000,,,,,,,,0.698382,,
1568115185.054391000,,,,,,,,,,32695
1568115185.254776000,,,,,,,,0.69846,,
1568115185.254776000,,,,,,,,,,35217
1568115185.455238000,,,,,,,,0.698439,,
1568115185.455238000,,,,,,,,,,37476
1568115185.655632000,,,,,,,,0.698587,,
1568115185.655632000,,,,,,,,,,39832
1568115185.855997000,,,,,,,,0.697884,,
1568115185.855997000,,,,,,,,,,42086
