Duration,selectiveICP,normalICP,gotCloud,processCloud,mapping,realTimeCap
1568115178.642665245,,,,0.704313,,
1568115178.723194065,,,,0.186692,,
1568115179.166660981,,2.0757,,,,
1568115179.166660981,,,2.26725,,,
1568115179.166660981,,,,,,0
1568115179.237216184,,,,0.19258,,
1568115179.670536174,,2.05996,,,,
1568115179.670536174,,,2.2584,,,
1568115179.670536174,,,,,,1122
1568115179.735998555,,,,0.194017,,
1568115179.952654340,,1.04853,,,,
1568115179.952654340,,,1.2466,,,
1568115179.952654340,,,,,,620
1568115180.023154469,,,,0.198627,,
1568115180.461197296,,2.20577,,,,
1568115180.461197296,,,2.40883,,,
1568115180.461197296,,,,,,1200
1568115180.536702811,,,,0.208707,,
1568115181.187385250,,3.45004,,,,
1568115181.187385250,,,3.66435,,,
1568115181.187385250,,,,,,1826
1568115181.252808100,,,,0.189998,,
1568115181.585211118,,1.84126,,,,
1568115181.585211118,,,2.03547,,,
1568115181.585211118,,,,,,1012
1568115181.655655397,,,,0.194041,,
1568115182.287247623,,3.61152,,,,
1568115182.292784849,,,3.81258,,,
1568115182.292784849,,,,,,1900
1568115182.358206000,,,,0.185932,,
1568115182.798756047,,2.49603,,,,
1568115182.798756047,,,2.68721,,,
1568115182.798756047,,,,,,1336
1568115182.864203946,,,,0.184574,,
1568115183.191381829,,1.73095,,,,
1568115183.191381829,,,1.92354,,,
1568115183.191381829,,,,,,958
1568115183.261849333,,,,0.179689,,
1568115183.720221919,,2.30353,,,,
1568115183.725252125,,,2.48854,,,
1568115183.725252125,,,,,,1240
1568115183.790662935,,,,0.186541,,
1568115184.335732641,,2.83459,,,,
1568115184.335732641,,,3.02559,,,
1568115184.335732641,,,,,,1506
1568115184.406199279,,,,0.192066,,
1568115184.799726404,,1.98572,,,,
1568115184.799726404,,,2.18293,,,
1568115184.799726404,,,,,,1086
1568115184.870449294,,,,0.183922,,
1568115185.424691994,,2.99037,,,,
1568115185.429862149,,,3.17968,,,
1568115185.429862149,,,,,,1584
1568115185.495305984,,,,0.19118,,
1568115185.762871656,,,,0.176807,,
1568115186.041273541,,1.82068,,,,
1568115186.041273541,,,2.00158,,,
1568115186.041273541,,,,,,995
1568115186.106711314,,,,0.18675,,
1568115186.314081141,,,,0.174468,,
1568115186.928839754,,3.846,,,,
1568115186.928839754,,,4.02445,,,
1568115186.928839754,,,,,,2006
1568115186.999328444,,,,0.1943,,
1568115187.152404673,,,,0.174495,,
1568115187.353964313,,,,0.188923,,
1568115187.864164345,,,,0.178872,,
1568115187.949719915,,,,0.162419,,
1568115188.162453340,,,,0.195152,,
1568115188.354231219,,,,0.167909,,
1568115188.556125881,,,,0.180835,,
