Duration,x,y,z,x,y,z,w
1568115183.050397000,14.927,-1.77148,0.540733,-0.00347722,0.0099602,0.736691,0.676148
1568115183.250772000,14.9298,-1.7709,0.54086,-0.00360539,0.00978214,0.736575,0.676275
1568115183.451182000,14.9347,-1.7716,0.5409,-0.00361331,0.00983565,0.736372,0.676496
1568115183.651558000,14.9323,-1.76907,0.542388,-0.00342858,0.00987255,0.736473,0.676386
1568115183.851977000,14.9343,-1.77095,0.542951,-0.00367859,0.0100996,0.736538,0.67631
1568115184.052352000,14.9333,-1.7734,0.542491,-0.0036994,0.010445,0.736609,0.676228
1568115184.252748000,14.9331,-1.77188,0.542863,-0.00356015,0.0100349,0.736597,0.676248
1568115184.453173000,14.9352,-1.77071,0.540699,-0.00327957,0.00990425,0.736568,0.676283
1568115184.653570000,14.9319,-1.77014,0.542836,-0.00330804,0.00987603,0.73652,0.676336
1568115184.853984000,14.9336,-1.77101,0.542174,-0.00332741,0.00966263,0.736421,0.676446
1568115185.054391000,14.9327,-1.76987,0.541922,-0.00341032,0.00995897,0.736561,0.67629
1568115185.254776000,14.9336,-1.77032,0.545025,-0.00376364,0.00987677,0.73649,0.676366
1568115185.455238000,14.9351,-1.77057,0.541765,-0.0032512,0.0095784,0.736482,0.676381
1568115185.655632000,14.935,-1.76907,0.542866,-0.00324092,0.00951219,0.736538,0.676321
1568115185.855997000,14.9359,-1.77001,0.542759,-0.00336754,0.00972585,0.736599,0.676251
1568115186.056605000,14.9341,-1.7699,0.542432,-0.00328291,0.0098355,0.736583,0.676268
1568115186.256838000,14.9332,-1.76835,0.543042,-0.00316211,0.00956665,0.73655,0.676308
1568115186.457236000,14.9318,-1.76991,0.543087,-0.00296116,0.00944071,0.73645,0.676419
1568115186.657695000,14.9351,-1.7687,0.542491,-0.00310656,0.00943217,0.736464,0.676404
1568115186.857981000,14.9342,-1.76711,0.543692,-0.00335422,0.00984259,0.736602,0.676247
1568115187.058372000,14.932,-1.76919,0.543962,-0.00343893,0.0099333,0.736569,0.67628
1568115187.258773000,14.9329,-1.76984,0.541983,-0.00375575,0.0100241,0.736582,0.676263
1568115187.459300000,14.9339,-1.76885,0.541484,-0.00328341,0.00986103,0.736565,0.676287
1568115187.659543000,14.934,-1.76921,0.542983,-0.00345791,0.00978384,0.736483,0.676377
1568115187.859958000,14.9328,-1.76961,0.542095,-0.00340801,0.00977753,0.736528,0.676327
1568115188.060619000,14.9343,-1.76834,0.54358,-0.00352782,0.00982693,0.736628,0.676218
1568115188.260733000,14.9335,-1.76986,0.54239,-0.00305123,0.00979128,0.73657,0.676284
1568115188.461224000,14.9331,-1.77048,0.541523,-0.00341822,0.0098589,0.736603,0.676245
1568115188.661593000,14.9344,-1.77147,0.541028,-0.00384607,0.0104354,0.736608,0.676229
1568115188.861977000,14.9334,-1.77057,0.540233,-0.00375962,0.0104442,0.736554,0.676288
1568115189.062316000,14.9325,-1.77048,0.542521,-0.00335975,0.00995421,0.736466,0.676393
1568115189.262836000,14.9329,-1.77195,0.540228,-0.00355449,0.010167,0.736675,0.676161
1568115189.463213000,14.9352,-1.77086,0.541119,-0.00339727,0.00995634,0.736588,0.67626
1568115189.663565000,14.9324,-1.77036,0.542196,-0.00345086,0.00988313,0.736565,0.676285
1568115189.863988000,14.9355,-1.76951,0.542751,-0.00359268,0.00981948,0.736627,0.676218
1568115190.064316000,14.9352,-1.76888,0.541677,-0.00311192,0.00953975,0.736576,0.676281
1568115190.264762000,14.9357,-1.77084,0.540722,-0.00353383,0.0098143,0.736602,0.676246
1568115190.465134000,14.9332,-1.76968,0.54371,-0.00338315,0.00973708,0.736659,0.676186
1568115190.665522000,14.9293,-1.77085,0.542323,-0.00322947,0.00983302,0.736567,0.676286
1568115190.865960000,14.9323,-1.77157,0.542515,-0.00340426,0.00995089,0.736525,0.676329
1568115191.066344000,14.9333,-1.77056,0.540066,-0.00341295,0.00991354,0.736585,0.676264
1568115191.266725000,14.9346,-1.76852,0.541212,-0.00343071,0.0100418,0.736587,0.676259
1568115191.467102000,14.9334,-1.77048,0.542104,-0.00351272,0.00991552,0.736605,0.676241
1568115191.667521000,14.9339,-1.76967,0.53892,-0.00354073,0.010174,0.736604,0.676238
1568115191.868026000,14.9349,-1.76969,0.540963,-0.00352768,0.00995125,0.736565,0.676284
