Duration,selectiveICP,normalICP,gotCloud,processCloud,mapping,realTimeCap
1568115182.967549321,,,,0.681164,,
1568115183.048043132,,,,0.173284,,
1568115183.566724497,,2.35075,,,,
1568115183.566724497,,,2.52875,,,
1568115183.566724497,,,,,,0
1568115183.627103908,,,,0.168958,,
1568115184.070322598,,2.02544,,,,
1568115184.070322598,,,2.19947,,,
1568115184.070322598,,,,,,1095
1568115184.135756571,,,,0.183434,,
1568115184.277581276,,0.728358,,,,
1568115184.277581276,,,0.915767,,,
1568115184.277581276,,,,,,454
1568115184.342987243,,,,0.166139,,
1568115184.499068948,,0.734451,,,,
1568115184.499068948,,,0.905237,,,
1568115184.499068948,,,,,,450
1568115184.564517965,,,,0.17567,,
1568115184.954159818,,1.94536,,,,
1568115184.954159818,,,2.12531,,,
1568115184.954159818,,,,,,1058
1568115185.019596654,,,,0.165675,,
1568115185.434435118,,2.28957,,,,
1568115185.434435118,,,2.46035,,,
1568115185.434435118,,,,,,1224
1568115185.499977105,,,,0.175121,,
1568115185.947867413,,2.27758,,,,
1568115185.952882973,,,2.45701,,,
1568115185.952882973,,,,,,1224
1568115186.015199484,,,,0.166027,,
1568115186.247204191,,1.67628,,,,
1568115186.247204191,,,1.84813,,,
1568115186.247204191,,,,,,918
1568115186.312602638,,,,0.171927,,
1568115186.856712823,,2.65333,,,,
1568115186.861745410,,,2.83041,,,
1568115186.861745410,,,,,,1409
1568115186.927151146,,,,0.184293,,
1568115187.158548422,,,,0.159817,,
1568115187.505858694,,1.79854,,,,
1568115187.505858694,,,1.96201,,,
1568115187.505858694,,,,,,975
1568115187.576346049,,,,0.185944,,
1568115187.913773847,,1.85742,,,,
1568115187.913773847,,,2.04722,,,
1568115187.913773847,,,,,,1020
1568115187.979174237,,,,0.182875,,
1568115188.507808519,,2.61473,,,,
1568115188.507808519,,,2.80418,,,
1568115188.507808519,,,,,,1396
1568115188.573219387,,,,0.181101,,
1568115188.825922339,,1.3404,,,,
1568115188.830963974,,,1.52849,,,
1568115188.830963974,,,,,,759
1568115188.896372460,,,,0.184836,,
1568115189.233767985,,1.593,,,,
1568115189.233767985,,,1.78381,,,
1568115189.233767985,,,,,,888
1568115189.301401190,,,,0.182167,,
1568115189.573503578,,1.36535,,,,
1568115189.573503578,,,1.55232,,,
1568115189.573503578,,,,,,772
1568115189.638934833,,,,0.183585,,
1568115190.167931754,,2.43117,,,,
1568115190.167931754,,,2.61887,,,
1568115190.167931754,,,,,,1304
1568115190.233362832,,,,0.184852,,
1568115190.767331260,,2.76709,,,,
1568115190.767331260,,,2.95733,,,
1568115190.767331260,,,,,,1473
1568115190.832771169,,,,0.181755,,
1568115191.181028049,,,,0.166632,,
1568115191.367306768,,,,0.187137,,
1568115191.563805869,,,,0.171497,,
1568115191.765343458,,,,0.193091,,
1568115191.971981969,,,,0.176959,,
1568115192.224706064,,2.17098,,,,
1568115192.224706064,,,2.35214,,,
1568115192.224706064,,,,,,1170
1568115192.295169409,,,,0.190558,,
1568115192.425965302,,,,0.169209,,
1568115192.994683832,,3.27999,,,,
1568115192.994683832,,,3.45396,,,
1568115192.994683832,,,,,,1722
1568115193.065289033,,,,0.186678,,
1568115193.188466083,,,,0.179128,,
1568115193.460235556,,1.42939,,,,
1568115193.460235556,,,1.61235,,,
1568115193.460235556,,,,,,800
1568115193.550851205,,,,0.258391,,
1568115193.960958840,,2.22103,,,,
1568115193.960958840,,,2.4844,,,
1568115193.960958840,,,,,,1237
1568115194.041482804,,,,0.232025,,
1568115194.354441776,,2.38459,,,,
1568115194.354441776,,,2.62119,,,
1568115194.354441776,,,,,,1305
1568115194.445091899,,,,0.24022,,
1568115195.018567667,,4.87292,,,,
1568115195.018567667,,,5.11862,,,
1568115195.018567667,,,,,,2552
1568115195.104193460,,,,0.234183,,
1568115195.421979816,,,,0.314942,,
1568115195.661333185,,,,0.327338,,
1568115195.975948183,,,,0.311643,,
1568115196.202745968,,,,0.317841,,
1568115196.486084295,,,,0.340033,,
1568115196.627079345,,,,0.33938,,
1568115196.823396081,,,,0.31041,,
1568115197.024787627,,,,0.305308,,
1568115197.221216215,,,,0.309562,,
1568115197.423054271,,,,0.304408,,
1568115197.624747275,,,,0.333009,,
1568115197.831710896,,,,0.343086,,
1568115198.033226508,,,,0.324223,,
1568115198.229911211,,,,0.338246,,
1568115198.431295322,,,,0.336085,,
1568115198.636176699,,,,0.316397,,
1568115198.832512744,,,,0.312664,,
1568115199.033918715,,,,0.31204,,
1568115199.230392999,,,,0.306242,,
1568115199.432228250,,,,0.308209,,
1568115199.639444995,,,,0.339482,,
1568115199.835895108,,,,0.323571,,
1568115200.037454461,,,,0.337113,,
1568115200.238984346,,,,0.333531,,
1568115200.430277428,,,,0.301923,,
1568115200.646954683,,,,0.353819,,
1568115200.838400779,,,,0.342164,,
1568115201.031757957,,,,0.301808,,
1568115201.233178392,,,,0.308548,,
1568115201.439634842,,,,0.323679,,
1568115201.641109449,,,,0.341166,,
1568115201.837792084,,,,0.333956,,
1568115202.034467148,,,,0.321811,,
1568115202.241119178,,,,0.334753,,
1568115202.442516208,,,,0.335707,,
1568115202.639555025,,,,0.316054,,
1568115202.840989252,,,,0.332468,,
1568115203.042729041,,,,0.336954,,
1568115203.234100471,,,,0.307321,,
1568115203.441039488,,,,0.326541,,
1568115203.638844459,,,,0.330828,,
1568115203.840265518,,,,0.320489,,
1568115204.039794179,,,,0.310788,,
1568115204.241237555,,,,0.328301,,
1568115204.442648559,,,,0.310329,,
1568115204.651218394,,,,0.341038,,
1568115204.842694340,,,,0.305979,,
1568115205.044238817,,,,0.328808,,
1568115205.250689906,,,,0.345081,,
1568115205.447105295,,,,0.320088,,
1568115205.643452245,,,,0.308774,,
1568115205.844931549,,,,0.334658,,
1568115206.051481418,,,,0.342744,,
1568115206.257940969,,,,0.349873,,
1568115206.454284517,,,,0.32512,,
1568115206.645609006,,,,0.323276,,
1568115206.821865574,,,,0.34423,,
1568115207.045039946,,,,0.350827,,
1568115207.246657034,,,,0.313602,,
1568115207.438138185,,,,0.302027,,
1568115207.644596856,,,,0.343112,,
1568115207.846043177,,,,0.32685,,
1568115208.042450124,,,,0.309848,,
1568115208.249097887,,,,0.352408,,
1568115208.441196067,,,,0.324639,,
1568115208.638940492,,,,0.332736,,
1568115208.845462586,,,,0.309002,,
1568115209.048493622,,,,0.3292,,
1568115209.249895595,,,,0.329839,,
1568115209.446261985,,,,0.324536,,
1568115209.643198498,,,,0.304352,,
1568115209.849797582,,,,0.327169,,
1568115210.046715788,,,,0.327776,,
1568115210.248705233,,,,0.314199,,
1568115210.445060998,,,,0.305827,,
1568115210.656638722,,,,0.343597,,
1568115210.827856169,,,,0.318568,,
1568115211.034450063,,,,0.298861,,
1568115211.250997191,,,,0.339523,,
1568115211.447423499,,,,0.332657,,
1568115211.650304879,,,,0.331294,,
1568115211.861900021,,,,0.351547,,
1568115212.043249789,,,,0.308854,,
1568115212.249833626,,,,0.320054,,
1568115212.451193013,,,,0.339908,,
1568115212.658146463,,,,0.320305,,
1568115212.869934468,,,,0.358493,,
1568115213.056537640,,,,0.311553,,
1568115213.257995459,,,,0.312991,,
1568115213.454443993,,,,0.311303,,
1568115213.660917962,,,,0.346999,,
1568115213.855119970,,,,0.308611,,
1568115214.071674389,,,,0.370231,,
1568115214.257940191,,,,0.309747,,
1568115214.459466731,,,,0.328618,,
1568115214.662246859,,,,0.332931,,
1568115214.868784286,,,,0.32074,,
1568115215.065078389,,,,0.337011,,
1568115215.267018854,,,,0.336885,,
1568115215.463868039,,,,0.333632,,
1568115215.660291673,,,,0.314997,,
1568115215.861754203,,,,0.323177,,
1568115216.058120064,,,,0.312074,,
1568115216.264591659,,,,0.329503,,
1568115216.461040826,,,,0.308328,,
1568115216.678732381,,,,0.36898,,
1568115216.865014948,,,,0.336366,,
1568115217.061442540,,,,0.310132,,
1568115217.268030446,,,,0.341125,,
1568115217.474769434,,,,0.341841,,
1568115217.671126667,,,,0.335259,,
1568115217.872713725,,,,0.348336,,
1568115218.074127489,,,,0.322064,,
1568115218.275578159,,,,0.344939,,
1568115218.472239666,,,,0.323349,,
1568115218.668502523,,,,0.32801,,
1568115218.875108228,,,,0.345045,,
1568115219.081803459,,,,0.351062,,
1568115219.273114825,,,,0.346406,,
1568115219.474622353,,,,0.322723,,
1568115219.674281809,,,,0.345622,,
1568115219.871270127,,,,0.346867,,
1568115220.074473522,,,,0.332411,,
1568115220.270897560,,,,0.341714,,
1568115220.477837293,,,,0.324157,,
1568115220.679649578,,,,0.324986,,
1568115220.876066166,,,,0.342363,,
1568115221.077425948,,,,0.339278,,
1568115221.273997842,,,,0.313514,,
1568115221.480701633,,,,0.331452,,
1568115221.671984016,,,,0.324918,,
1568115221.878539859,,,,0.326689,,
1568115222.079889952,,,,0.34037,,
1568115222.281736371,,,,0.351323,,
1568115222.488541839,,,,0.355334,,
1568115222.680179524,,,,0.32793,,
1568115222.886817063,,,,0.344375,,
1568115223.083521838,,,,0.34201,,
1568115223.287201912,,,,0.327555,,
1568115223.488674911,,,,0.341681,,
1568115223.684950060,,,,0.342552,,
1568115223.887187481,,,,0.344941,,
1568115224.093988380,,,,0.357972,,
1568115224.285396429,,,,0.325049,,
1568115224.481989504,,,,0.314675,,
1568115224.693465145,,,,0.34593,,
1568115224.885325630,,,,0.348823,,
1568115225.091857000,,,,0.332846,,
1568115225.293845689,,,,0.350502,,
1568115225.485210783,,,,0.318228,,
1568115225.691914953,,,,0.350419,,
1568115225.888459212,,,,0.315259,,
1568115226.095397710,,,,0.358621,,
1568115226.286882129,,,,0.30615,,
1568115226.493410944,,,,0.341603,,
1568115226.689792179,,,,0.324345,,
1568115226.891163398,,,,0.348204,,
1568115227.093780109,,,,0.348513,,
1568115227.295202662,,,,0.342864,,
1568115227.496761979,,,,0.32856,,
1568115227.693223731,,,,0.333321,,
1568115227.894667177,,,,0.346781,,
1568115228.091187524,,,,0.347338,,
1568115228.294038557,,,,0.351174,,
1568115228.491322860,,,,0.352515,,
1568115228.697911755,,,,0.351095,,
1568115228.894330640,,,,0.323831,,
1568115229.100879695,,,,0.342465,,
1568115229.302290609,,,,0.362336,,
1568115229.493758982,,,,0.347458,,
1568115229.695138589,,,,0.34271,,
1568115229.901671396,,,,0.36589,,
1568115230.093055459,,,,0.336197,,
1568115230.299266377,,,,0.356411,,
1568115230.501274101,,,,0.339816,,
1568115230.697604675,,,,0.334449,,
1568115230.893964362,,,,0.328316,,
1568115231.105450851,,,,0.367418,,
1568115231.298352461,,,,0.336956,,
1568115231.499871536,,,,0.337272,,
1568115231.696281048,,,,0.34114,,
1568115231.897703117,,,,0.346163,,
1568115232.104539353,,,,0.349214,,
1568115232.301165788,,,,0.346608,,
1568115232.507667565,,,,0.337629,,
1568115232.704390328,,,,0.323976,,
1568115232.905757128,,,,0.342684,,
1568115233.097071321,,,,0.330913,,
1568115233.303512679,,,,0.352938,,
1568115233.500475209,,,,0.319479,,
1568115233.712019189,,,,0.379832,,
1568115233.903565567,,,,0.348585,,
1568115234.105025360,,,,0.357276,,
1568115234.303138134,,,,0.320436,,
1568115234.507612264,,,,0.34447,,
1568115234.704268799,,,,0.330121,,
1568115234.905655226,,,,0.355014,,
1568115235.102099552,,,,0.3526,,
1568115235.303580855,,,,0.321435,,
1568115235.505238759,,,,0.348635,,
1568115235.706980918,,,,0.349613,,
1568115235.894428761,,,,0.330612,,
1568115236.090963625,,,,0.30483,,
1568115236.292271007,,,,0.308179,,
1568115236.503731667,,,,0.330989,,
1568115236.700050910,,,,0.328367,,
1568115236.906544653,,,,0.351302,,
1568115237.108043947,,,,0.326247,,
1568115237.304488683,,,,0.321593,,
1568115237.506065766,,,,0.331522,,
1568115237.707437988,,,,0.332748,,
1568115237.908928318,,,,0.33078,,
1568115238.105705267,,,,0.324239,,
1568115238.314465260,,,,0.358028,,
1568115238.510948119,,,,0.362685,,
1568115238.708832539,,,,0.344583,,
