Duration,selectiveICP,normalICP,gotCloud,processCloud,mapping,realTimeCap
1553088512.552941456,,,,0.673664,,
1553088512.663537575,,,,0.122547,,
1553088512.737425083,,0.229308,,,,
1553088512.737425083,,,0.353798,,,
1553088512.737425083,,,,,,0
1553088512.797764685,,,,0.0938039,,
1553088512.858135047,,0.192533,,,,
1553088512.858135047,,,0.287893,,,
1553088512.868195320,,,,,,284
1553088512.929203347,,,,0.0982774,,
1553088512.989773539,,0.210967,,,,
1553088512.989773539,,,0.311205,,,
1553088512.989773539,,,,,,307
1553088513.051903208,,,,0.0993642,,
1553088513.102220100,,0.168666,,,,
1553088513.102220100,,,0.270008,,,
1553088513.102220100,,,,,,266
1553088513.162604791,,,,0.0932663,,
1553088513.222978939,,0.201329,,,,
1553088513.222978939,,,0.296328,,,
1553088513.222978939,,,,,,292
1553088513.283492980,,,,0.0977578,,
1553088513.333767416,,0.142465,,,,
1553088513.333767416,,,0.242554,,,
1553088513.333767416,,,,,,238
1553088513.394127827,,,,0.0929556,,
1553088513.454481983,,0.185941,,,,
1553088513.454481983,,,0.280623,,,
1553088513.454481983,,,,,,277
1553088513.504796366,,,,0.0761654,,
1553088513.545014079,,0.14998,,,,
1553088513.545014079,,,0.227934,,,
1553088513.545014079,,,,,,225
1553088513.615475173,,,,0.106083,,
1553088513.666743935,,0.157992,,,,
1553088513.666743935,,,0.266056,,,
1553088513.666743935,,,,,,262
1553088513.727094379,,,,0.0938784,,
1553088513.777357262,,0.13602,,,,
1553088513.777357262,,,0.231949,,,
1553088513.777357262,,,,,,229
1553088513.827648943,,,,0.0910236,,
1553088513.867931140,,0.115178,,,,
1553088513.878012115,,,0.209226,,,
1553088513.878012115,,,,,,205
1553088513.928381091,,,,0.0943633,,
1553088513.968671376,,0.118872,,,,
1553088513.968671376,,,0.215251,,,
1553088513.968671376,,,,,,212
1553088514.028983639,,,,0.0894816,,
1553088514.059152046,,0.093976,,,,
1553088514.069212158,,,0.185224,,,
1553088514.069212158,,,,,,182
1553088514.119507893,,,,0.094833,,
1553088514.159774346,,0.111657,,,,
1553088514.159774346,,,0.20866,,,
1553088514.159774346,,,,,,206
1553088514.210048373,,,,0.077497,,
1553088514.250282449,,0.121351,,,,
1553088514.250282449,,,0.20072,,,
1553088514.250282449,,,,,,198
1553088514.300564571,,,,0.0883704,,
1553088514.340838227,,0.119473,,,,
1553088514.340838227,,,0.209459,,,
1553088514.340838227,,,,,,206
1553088514.401171234,,,,0.097209,,
1553088514.441622280,,0.103089,,,,
1553088514.441622280,,,0.202851,,,
1553088514.441622280,,,,,,200
1553088514.501970019,,,,0.0986751,,
1553088514.532135632,,0.0846211,,,,
1553088514.532135632,,,0.185045,,,
1553088514.532135632,,,,,,182
1553088514.592473299,,,,0.0947477,,
1553088514.622668344,,0.0982824,,,,
1553088514.622668344,,,0.194849,,,
1553088514.622668344,,,,,,192
1553088514.673279945,,,,0.0938085,,
1553088514.713909831,,0.0947648,,,,
1553088514.713909831,,,0.190234,,,
1553088514.713909831,,,,,,187
1553088514.764187242,,,,0.0790358,,
1553088514.804469138,,0.103451,,,,
1553088514.804469138,,,0.184409,,,
1553088514.804469138,,,,,,182
1553088514.864837875,,,,0.0984869,,
1553088514.895040247,,0.111604,,,,
1553088514.895040247,,,0.212787,,,
1553088514.895040247,,,,,,209
1553088514.955443541,,,,0.0956063,,
1553088514.995686950,,0.117648,,,,
1553088514.995686950,,,0.216009,,,
1553088514.995686950,,,,,,213
1553088515.055994611,,,,0.0937685,,
1553088515.086173773,,0.0926689,,,,
1553088515.086173773,,,0.188292,,,
1553088515.086173773,,,,,,185
1553088515.156622524,,,,0.0863202,,
1553088515.186791746,,0.0923061,,,,
1553088515.186791746,,,0.180239,,,
1553088515.186791746,,,,,,177
1553088515.257253443,,,,0.0894504,,
1553088515.287473362,,0.0923518,,,,
1553088515.287473362,,,0.184326,,,
1553088515.287473362,,,,,,181
1553088515.357906495,,,,0.0885726,,
1553088515.388100353,,0.0918613,,,,
1553088515.388100353,,,0.182319,,,
1553088515.388100353,,,,,,179
1553088515.458652994,,,,0.0965793,,
1553088515.498913433,,0.117582,,,,
1553088515.498913433,,,0.218286,,,
1553088515.498913433,,,,,,214
1553088515.559281823,,,,0.0907074,,
1553088515.589596068,,0.0991513,,,,
1553088515.589596068,,,0.19281,,,
1553088515.589596068,,,,,,190
1553088515.660001354,,,,0.0848242,,
1553088515.690246405,,0.0896206,,,,
1553088515.690246405,,,0.176948,,,
1553088515.690246405,,,,,,174
1553088515.761402728,,,,0.0878621,,
1553088515.791593944,,0.101426,,,,
1553088515.791593944,,,0.191185,,,
1553088515.791593944,,,,,,188
1553088515.862004116,,,,0.0889556,,
1553088515.902234832,,0.12146,,,,
1553088515.902234832,,,0.212406,,,
1553088515.902234832,,,,,,209
1553088515.962616377,,,,0.0953445,,
1553088516.003638003,,0.120261,,,,
1553088516.003638003,,,0.217447,,,
1553088516.003638003,,,,,,214
1553088516.064003198,,,,0.0947088,,
1553088516.104239621,,0.0976305,,,,
1553088516.104239621,,,0.194161,,,
1553088516.104239621,,,,,,191
1553088516.174758040,,,,0.108545,,
1553088516.225062285,,0.136031,,,,
1553088516.225062285,,,0.246389,,,
1553088516.225062285,,,,,,243
1553088516.608115988,,,,0.524235,,
1553088516.678549629,,,,0.073402,,
1553088516.708797681,0.107988,,,,,
1553088516.708797681,,,,,0.00212929,
1553088516.708797681,,,0.185454,,,
1553088516.708797681,,,,,,180
1553088516.780987529,,,,0.0965833,,
1553088516.852214728,0.192887,,,,,
1553088516.852214728,,,0.29203,,,
1553088516.852214728,,,,,0.00284478,
1553088516.852214728,,,,,,289
1553088516.922982285,,,,0.107036,,
1553088516.983366115,0.175443,,,,,
1553088516.983366115,,,0.285056,,,
1553088516.983366115,,,,,0.00276153,
1553088516.983366115,,,,,,282
1553088517.054241789,,,,0.100228,,
1553088517.094525469,0.133467,,,,,
1553088517.094525469,,,0.235982,,,
1553088517.094525469,,,,,0.00464202,
1553088517.104638421,,,,,,236
1553088517.175974366,,,,0.105269,,
1553088517.226265817,0.139487,,,,,
1553088517.226265817,,,0.247532,,,
1553088517.226265817,,,,,0.00386908,
1553088517.226265817,,,,,,246
1553088517.286699203,,,,0.101858,,
1553088517.336946970,0.12115,,,,,
1553088517.336946970,,,0.226168,,,
1553088517.336946970,,,,,0.00347228,
1553088517.336946970,,,,,,224
1553088517.397304257,,,,0.103746,,
1553088517.437531014,0.122096,,,,,
1553088517.437531014,,,0.228852,,,
1553088517.437531014,,,,,0.00337573,
1553088517.437531014,,,,,,227
1553088517.497933066,,,,0.0923024,,
1553088517.538163563,0.129755,,,,,
1553088517.538163563,,,0.225336,,,
1553088517.538163563,,,,,0.00348147,
1553088517.538163563,,,,,,223
1553088517.598494736,,,,0.0921899,,
1553088517.638719606,0.127325,,,,,
1553088517.638719606,,,0.222897,,,
1553088517.638719606,,,,,0.00361142,
1553088517.638719606,,,,,,221
1553088517.699114705,,,,0.0985652,,
1553088517.739353799,0.122018,,,,,
1553088517.739353799,,,0.225356,,,
1553088517.739353799,,,,,0.0071873,
1553088517.739353799,,,,,,224
1553088517.812983494,,,,0.0989848,,
1553088517.853808300,0.128923,,,,,
1553088517.853808300,,,0.23394,,,
1553088517.853808300,,,,,0.00651865,
1553088517.853808300,,,,,,232
1553088517.914295565,,,,0.0944434,,
1553088517.964794850,0.138423,,,,,
1553088517.964794850,,,0.235558,,,
1553088517.964794850,,,,,0.00440326,
1553088517.964794850,,,,,,235
1553088518.035224785,,,,0.096431,,
1553088518.085536606,0.138629,,,,,
1553088518.085536606,,,0.237852,,,
1553088518.085536606,,,,,0.0059879,
1553088518.085536606,,,,,,239
1553088518.176190738,,,,0.116309,,
1553088518.226808903,0.135684,,,,,
1553088518.226808903,,,0.254618,,,
1553088518.226808903,,,,,0.00519886,
1553088518.226808903,,,,,,254
1553088518.297253247,,,,0.0996166,,
1553088518.337485986,0.12579,,,,,
1553088518.337485986,,,0.228456,,,
1553088518.337485986,,,,,0.00431304,
1553088518.337485986,,,,,,226
1553088518.401017787,,,,0.100174,,
1553088518.441253191,0.121748,,,,,
1553088518.441253191,,,0.224204,,,
1553088518.441253191,,,,,0.00499105,
1553088518.441253191,,,,,,225
1553088518.511682766,,,,0.102621,,
1553088518.541993492,0.108956,,,,,
1553088518.541993492,,,0.21507,,,
1553088518.552068888,,,,,0.00450049,
1553088518.552068888,,,,,,214
1553088518.612731546,,,,0.096406,,
1553088518.653672266,0.114644,,,,,
1553088518.653672266,,,0.21457,,,
1553088518.653672266,,,,,0.00623178,
1553088518.653672266,,,,,,214
1553088518.714019813,,,,0.098568,,
1553088518.755771117,0.128144,,,,,
1553088518.755771117,,,0.22967,,,
1553088518.755771117,,,,,0.0043726,
1553088518.755771117,,,,,,229
1553088518.816171384,,,,0.0949953,,
1553088518.856566187,0.109339,,,,,
1553088518.856566187,,,0.207859,,,
1553088518.856566187,,,,,0.00495223,
1553088518.856566187,,,,,,208
1553088518.917146945,,,,0.097304,,
1553088518.958723404,0.124662,,,,,
1553088518.958723404,,,0.224905,,,
1553088518.958723404,,,,,0.0051482,
1553088518.958723404,,,,,,224
1553088519.019079777,,,,0.0915759,,
1553088519.059328740,0.132181,,,,,
1553088519.059328740,,,0.228103,,,
1553088519.069385259,,,,,0.00569438,
1553088519.069385259,,,,,,228
1553088519.129741025,,,,0.0936332,,
1553088519.169980421,0.141086,,,,,
1553088519.169980421,,,0.236983,,,
1553088519.180039483,,,,,0.0065067,
1553088519.180039483,,,,,,239
1553088519.260597911,,,,0.115979,,
1553088519.300872792,0.131655,,,,,
1553088519.300872792,,,0.252151,,,
1553088519.300872792,,,,,0.00560503,
1553088519.300872792,,,,,,251
1553088519.361232943,,,,0.0918068,,
1553088519.401493653,0.128588,,,,,
1553088519.401493653,,,0.225768,,,
1553088519.411548899,,,,,0.00596121,
1553088519.411548899,,,,,,224
