Duration,selectiveICP,normalICP,gotCloud,processCloud,mapping,realTimeCap
1568115180.342624550,,,,0.730777,,
1568115180.390928852,,,,0.178452,,
1568115180.479195086,,0.655238,,,,
1568115180.479195086,,,0.840124,,,
1568115180.479195086,,,,,,0
1568115180.518439095,,,,0.180132,,
1568115180.609625750,,0.656822,,,,
1568115180.609625750,,,0.840593,,,
1568115180.609625750,,,,,,418
1568115180.721422627,,,,0.191805,,
1568115180.769769564,,0.346059,,,,
1568115180.772790361,,,0.547085,,,
1568115180.772790361,,,,,,269
1568115180.918867143,,,,0.161348,,
1568115180.964361774,,0.326667,,,,
1568115180.964361774,,,0.493641,,,
1568115180.964361774,,,,,,244
1568115181.113649256,,,,0.176081,,
1568115181.152963537,,0.265534,,,,
1568115181.152963537,,,0.448837,,,
1568115181.152963537,,,,,,221
1568115181.313255002,,,,0.176625,,
1568115181.349522012,,0.259544,,,,
1568115181.349522012,,,0.441568,,,
1568115181.349522012,,,,,,218
1568115181.515727046,,,,0.171488,,
1568115181.555492910,,0.294635,,,,
1568115181.555492910,,,0.474847,,,
1568115181.555492910,,,,,,233
1568115181.718703465,,,,0.182991,,
1568115181.761061163,,0.288186,,,,
1568115181.761061163,,,0.478515,,,
1568115181.761061163,,,,,,235
1568115181.921195568,,,,0.167287,,
1568115181.960515174,,0.270821,,,,
1568115181.960515174,,,0.442044,,,
1568115181.960515174,,,,,,219
1568115182.124189284,,,,0.180454,,
1568115182.157433403,,0.245922,,,,
1568115182.157433403,,,0.434046,,,
1568115182.157433403,,,,,,213
1568115182.319526496,,,,0.159483,,
1568115182.355771027,,0.257947,,,,
1568115182.355771027,,,0.423874,,,
1568115182.355771027,,,,,,208
1568115182.516320561,,,,0.172287,,
1568115182.558833108,,0.270967,,,,
1568115182.558833108,,,0.451132,,,
1568115182.558833108,,,,,,224
1568115182.722156868,,,,0.188588,,
1568115182.755427831,,0.240653,,,,
1568115182.755427831,,,0.436288,,,
1568115182.755427831,,,,,,215
1568115182.924730437,,,,0.166806,,
1568115182.954933972,,0.227846,,,,
1568115182.954933972,,,0.401415,,,
1568115182.954933972,,,,,,197
1568115183.124145801,,,,0.187396,,
1568115183.157357519,,0.260083,,,,
1568115183.160379253,,,0.45139,,,
1568115183.160379253,,,,,,224
1568115183.294010974,,,,0.614908,,
1568115183.342334412,,,,0.184044,,
1568115183.369539657,0.210308,,,,,
1568115183.369539657,,,0.402173,,,
1568115183.369539657,,,,,,199
1568115183.521678705,,,,0.174539,,
1568115183.548854917,0.234699,,,,,
1568115183.548854917,,,0.413254,,,
1568115183.548854917,,,,,,205
1568115183.721728759,,,,0.188163,,
1568115183.767359184,0.323608,,,,,
1568115183.767359184,,,0.51699,,,
1568115183.767359184,,,,,,256
1568115183.921430194,,,,0.183084,,
1568115183.960687008,0.319534,,,,,
1568115183.960687008,,,0.507324,,,
1568115183.960687008,,,,,,251
1568115184.124170370,,,,0.187277,,
1568115184.175526573,0.369192,,,,,
1568115184.175526573,,,0.562346,,,
1568115184.175526573,,,,,,278
1568115184.324993177,,,,0.196095,,
1568115184.355792099,0.240538,,,,,
1568115184.355792099,,,0.444344,,,
1568115184.355792099,,,,,,219
1568115184.521975725,,,,0.189806,,
1568115184.552489767,0.23597,,,,,
1568115184.552489767,,,0.431779,,,
1568115184.552489767,,,,,,214
1568115184.721747391,,,,0.190344,,
1568115184.749003015,0.225489,,,,,
1568115184.749003015,,,0.421669,,,
1568115184.749003015,,,,,,208
1568115184.924186762,,,,0.198467,,
1568115184.948369296,0.201741,,,,,
1568115184.951387150,,,0.406606,,,
1568115184.951387150,,,,,,200
1568115185.124319421,,,,0.188361,,
