Duration,selectiveICP,normalICP,gotCloud,processCloud,mapping,realTimeCap
1553088511.671088743,,,,0.706293,,
1553088511.761664738,,,,0.0879843,,
1553088511.852357668,,0.246454,,,,
1553088511.852357668,,,0.337326,,,
1553088511.852357668,,,,,,0
1553088511.912693629,,,,0.0979884,,
1553088511.993359015,,0.219528,,,,
1553088512.003425885,,,0.319982,,,
1553088512.003425885,,,,,,316
1553088512.063796380,,,,0.0930213,,
1553088512.124925009,,0.20918,,,,
1553088512.124925009,,,0.304286,,,
1553088512.124925009,,,,,,300
1553088512.185285922,,,,0.0960761,,
1553088512.246407943,,0.183416,,,,
1553088512.246407943,,,0.281281,,,
1553088512.246407943,,,,,,278
1553088512.306709127,,,,0.0950487,,
1553088512.356998241,,0.164917,,,,
1553088512.356998241,,,0.261552,,,
1553088512.356998241,,,,,,258
1553088512.417352366,,,,0.0982315,,
1553088512.477829818,,0.207888,,,,
1553088512.477829818,,,0.308207,,,
1553088512.477829818,,,,,,304
1553088512.538209829,,,,0.0948336,,
1553088512.598621114,,0.205197,,,,
1553088512.608684603,,,0.301981,,,
1553088512.608684603,,,,,,298
1553088512.658979055,,,,0.100222,,
1553088512.709323861,,0.159717,,,,
1553088512.709323861,,,0.262026,,,
1553088512.709323861,,,,,,258
1553088512.769700521,,,,0.0944162,,
1553088512.819990669,,0.13347,,,,
1553088512.819990669,,,0.230407,,,
1553088512.819990669,,,,,,226
1553088512.870353087,,,,0.0922822,,
1553088512.920551408,,0.133457,,,,
1553088512.920551408,,,0.227843,,,
1553088512.920551408,,,,,,224
1553088512.980867660,,,,0.0960168,,
1553088513.021096515,,0.144531,,,,
1553088513.021096515,,,0.242353,,,
1553088513.021096515,,,,,,239
1553088513.081502281,,,,0.0878833,,
1553088513.121746519,,0.156382,,,,
1553088513.131813370,,,0.246016,,,
1553088513.131813370,,,,,,243
1553088513.182131153,,,,0.0949907,,
1553088513.222387883,,0.105164,,,,
1553088513.222387883,,,0.201911,,,
1553088513.222387883,,,,,,199
1553088513.272691297,,,,0.090656,,
1553088513.323027936,,0.132525,,,,
1553088513.323027936,,,0.224808,,,
1553088513.323027936,,,,,,221
1553088513.383364039,,,,0.092205,,
1553088513.423714730,,0.132407,,,,
1553088513.423714730,,,0.226478,,,
1553088513.423714730,,,,,,223
1553088513.494164670,,,,0.104021,,
1553088513.544437374,,0.150235,,,,
1553088513.544437374,,,0.255951,,,
1553088513.544437374,,,,,,253
1553088513.604813111,,,,0.0920802,,
1553088513.645090898,,0.125879,,,,
1553088513.645090898,,,0.22086,,,
1553088513.645090898,,,,,,216
1553088513.705443936,,,,0.0935972,,
1553088513.735622253,,0.107462,,,,
1553088513.735622253,,,0.202871,,,
1553088513.735622253,,,,,,200
1553088513.795975349,,,,0.0844173,,
1553088513.826140133,,0.105288,,,,
1553088513.826140133,,,0.191197,,,
1553088513.826140133,,,,,,188
1553088513.886511261,,,,0.0943436,,
1553088513.916670209,,0.112222,,,,
1553088513.916670209,,,0.208362,,,
1553088513.916670209,,,,,,205
1553088513.977002255,,,,0.0940017,,
1553088514.017242368,,0.105295,,,,
1553088514.017242368,,,0.201201,,,
1553088514.017242368,,,,,,198
