Duration,ICPErrorClosestFacetAll,ResidualError,RobustMeanDist,NbPointsRobMeanDist,HaussdorffDist,HaussdorffQuantileDist,ICPErrorClosestFacetRef,selectiveICPOverlap,normalICPOverlap,sizeOfMap
Number of Facets in Model: 182
1568115180.645708000,,,,,,,,,0.798764,
1568115180.846080000,,,,,,,,,0.797817,
1568115181.046443000,,,,,,,,,0.797873,
1568115181.246795000,,,,,,,,,0.798281,
1568115181.447259000,,,,,,,,,0.797831,
1568115181.647628000,,,,,,,,,0.797396,
1568115181.848068000,,,,,,,,,0.797282,
1568115182.048371000,,,,,,,,,0.797195,
1568115182.249475000,,,,,,,,,0.798352,
1568115182.449218000,,,,,,,,,0.798381,
1568115182.649601000,,,,,,,,,0.799169,
1568115182.850530000,,,,,,,,,0.798237,
1568115183.050397000,,,,,,,,,0.7986,
1568115183.250772000,,,,,,,,,0.797957,
1568115183.451182000,,,,,,,,,0.798035,
1568115183.651558000,,,,,,,,,0.797473,
1568115183.851977000,,,,,,,,,0.797605,
1568115184.052352000,,,,,,,,,0.799312,
1568115184.252748000,,,,,,,,,0.797805,
1568115184.453173000,,,,,,,,,0.79793,
1568115184.653570000,,,,,,,,,0.798094,
1568115184.853984000,,,,,,,,,0.798569,
1568115185.054391000,,,,,,,,,0.797809,
1568115185.254776000,,,,,,,,,0.797733,
1568115185.455238000,,,,,,,,,0.797478,
1568115185.655632000,,,,,,,,,0.798448,
1568115185.855997000,,,,,,,,,0.798445,
1568115186.056605000,,,,,,,,,0.79787,
1568115186.256838000,,,,,,,,,0.798074,
1568115186.457236000,,,,,,,,0.69835,,
1568115186.457236000,,,,,,,,,,4515
1568115186.657695000,,,,,,,,0.698485,,
1568115186.657695000,,,,,,,,,,7809
1568115186.857981000,,,,,,,,0.698187,,
1568115186.857981000,,,,,,,,,,10624
1568115187.058372000,,,,,,,,0.697797,,
1568115187.058372000,,,,,,,,,,13330
1568115187.258773000,,,,,,,,0.698718,,
1568115187.258773000,,,,,,,,,,15947
1568115187.459300000,,,,,,,,0.698798,,
1568115187.459300000,,,,,,,,,,18446
1568115187.659543000,,,,,,,,0.698343,,
1568115187.659543000,,,,,,,,,,20890
1568115187.859958000,,,,,,,,0.698694,,
1568115187.859958000,,,,,,,,,,23342
1568115188.060619000,,,,,,,,0.698594,,
1568115188.060619000,,,,,,,,,,25792
1568115188.260733000,,,,,,,,0.698658,,
1568115188.260733000,,,,,,,,,,28174
1568115188.461224000,,,,,,,,0.698638,,
1568115188.461224000,,,,,,,,,,30637
1568115188.661593000,,,,,,,,0.698098,,
1568115188.661593000,,,,,,,,,,33089
1568115188.861977000,,,,,,,,0.698235,,
1568115188.861977000,,,,,,,,,,35682
1568115189.062316000,,,,,,,,0.69874,,
1568115189.062316000,,,,,,,,,,38067
1568115189.262836000,,,,,,,,0.698587,,
1568115189.262836000,,,,,,,,,,40451
1568115189.463213000,,,,,,,,0.698425,,
1568115189.463213000,,,,,,,,,,42866
1568115189.663565000,,,,,,,,0.697847,,
1568115189.663565000,,,,,,,,,,45204
1568115189.863988000,,,,,,,,0.698164,,
1568115189.863988000,,,,,,,,,,47676
1568115190.064316000,,,,,,,,0.698408,,
1568115190.064316000,,,,,,,,,,50108
1568115190.264762000,,,,,,,,0.698871,,
1568115190.264762000,,,,,,,,,,52562
1568115190.465134000,,,,,,,,0.698279,,
1568115190.465134000,,,,,,,,,,54915
1568115190.665522000,,,,,,,,0.69831,,
1568115190.665522000,,,,,,,,,,57259
1568115190.865960000,,,,,,,,0.698616,,
1568115190.865960000,,,,,,,,,,59540
1568115191.066344000,,,,,,,,0.698204,,
1568115191.066344000,,,,,,,,,,61948
1568115191.266725000,,,,,,,,0.698547,,
1568115191.266725000,,,,,,,,,,64275
1568115191.467102000,,,,,,,,0.698319,,
1568115191.467102000,,,,,,,,,,66533
1568115191.667521000,,,,,,,,0.698815,,
1568115191.667521000,,,,,,,,,,68826
1568115191.868026000,,,,,,,,0.698383,,
1568115191.868026000,,,,,,,,,,71097
1568115192.068258000,,,,,,,,0.698801,,
1568115192.068258000,,,,,,,,,,73307
1568115192.268702000,,,,,,,,0.698947,,
1568115192.268702000,,,,,,,,,,75479
1568115192.469153000,,,,,,,,0.698175,,
1568115192.469153000,,,,,,,,,,77728
1568115192.669557000,,,,,,,,0.698746,,
1568115192.669557000,,,,,,,,,,80082
1568115192.869905000,,,,,,,,0.698661,,
1568115192.869905000,,,,,,,,,,82292
1568115193.070231000,,,,,,,,0.698537,,
1568115193.070231000,,,,,,,,,,84603
1568115193.270699000,,,,,,,,0.698309,,
1568115193.270699000,,,,,,,,,,86756
1568115193.471082000,,,,,,,,0.698261,,
1568115193.471082000,,,,,,,,,,89083
1568115193.671486000,,,,,,,,0.698363,,
1568115193.671486000,,,,,,,,,,91390
1568115193.871850000,,,,,,,,0.698691,,
