Duration,x,y,z,x,y,z,w
1568115191.266725000,14.9286,-1.75408,0.49759,0.0024554,0.00221886,0.736469,0.676464
1568115191.467102000,14.9291,-1.75164,0.492999,0.00256337,0.0019492,0.73645,0.676484
1568115191.667521000,14.9329,-1.75561,0.498528,0.00225226,0.00232525,0.736577,0.676346
1568115191.868026000,14.932,-1.75347,0.500778,0.00276615,0.00230133,0.736627,0.676289
1568115192.068258000,14.9319,-1.74777,0.496448,0.00287454,0.00153776,0.736582,0.67634
1568115192.268702000,14.9311,-1.74815,0.493613,0.00244352,0.00261462,0.736495,0.676434
1568115192.469153000,14.9266,-1.74793,0.49922,0.00356105,0.000715357,0.736437,0.676496
1568115192.669557000,14.9263,-1.74956,0.498698,0.00274645,0.0021214,0.736561,0.676363
1568115192.869905000,14.9341,-1.75019,0.505026,0.00292526,0.00192082,0.736273,0.676675
1568115193.070231000,14.9319,-1.7545,0.50217,0.00258153,0.00214066,0.736496,0.676434
1568115193.270699000,14.934,-1.75108,0.499213,0.0031099,0.00170575,0.736579,0.676342
1568115193.471082000,14.9311,-1.75299,0.497814,0.0028964,0.00192512,0.735766,0.677227
1568115193.671486000,14.9316,-1.75248,0.50123,0.0030387,0.00159067,0.736144,0.676817
1568115193.871850000,14.9388,-1.74801,0.497463,0.00337537,0.00171147,0.736584,0.676336
1568115194.072271000,14.938,-1.74998,0.499378,0.00306766,0.00209915,0.736651,0.676263
1568115194.272664000,14.9334,-1.75235,0.501747,0.00276708,0.00184548,0.736485,0.676445
1568115194.473032000,14.9301,-1.74836,0.502436,0.00312,0.00144751,0.736419,0.676517
1568115194.673442000,14.9284,-1.75097,0.502347,0.00287773,0.00197827,0.736538,0.676387
1568115194.873824000,14.9316,-1.75211,0.505202,0.00193402,0.00308568,0.736416,0.676519
1568115195.074178000,14.925,-1.75546,0.500334,0.00241688,0.00260565,0.73631,0.676635
1568115195.274664000,14.9217,-1.75025,0.500404,0.00284701,0.00208466,0.736507,0.676421
1568115195.475029000,14.9313,-1.75032,0.498207,0.00271784,0.00208903,0.736382,0.676557
1568115195.675436000,14.9328,-1.74507,0.495121,0.00288968,0.00157683,0.736589,0.676333
1568115195.875793000,14.9295,-1.75074,0.500479,0.00237315,0.00264611,0.736704,0.676206
1568115196.076275000,14.928,-1.75067,0.499232,0.00290627,0.00186487,0.736558,0.676365
1568115196.276636000,14.9269,-1.75023,0.506949,0.00273728,0.00178573,0.736551,0.676374
1568115196.477071000,14.9405,-1.74866,0.499618,0.00275969,0.00160654,0.736748,0.67616
1568115196.677525000,14.9393,-1.75178,0.500441,0.00233754,0.00265684,0.736679,0.676233
1568115196.877936000,14.9341,-1.75078,0.494173,0.00253504,0.00237142,0.736442,0.676492
1568115197.078188000,14.9253,-1.75012,0.501564,0.00293658,0.00201613,0.736387,0.676551
1568115197.278616000,14.9098,-1.74877,0.498888,0.00333398,0.00148803,0.736349,0.676592
1568115197.479156000,14.9208,-1.75119,0.500345,0.00291335,0.00176858,0.736561,0.676363
1568115197.679431000,14.9274,-1.75702,0.505052,0.00206301,0.00297138,0.736471,0.67646
1568115197.879844000,14.926,-1.75126,0.498336,0.00267094,0.00210028,0.736543,0.676382
1568115198.080189000,14.9287,-1.74988,0.503399,0.00254664,0.00225798,0.736576,0.676346
1568115198.280649000,14.9236,-1.75094,0.501755,0.00236861,0.00245249,0.736567,0.676356
1568115198.481027000,14.9283,-1.75091,0.505554,0.00233287,0.00246922,0.736243,0.676709
1568115198.681407000,14.9331,-1.75031,0.503283,0.002707,0.00229385,0.736487,0.676443
1568115198.881891000,14.9312,-1.75923,0.508302,0.00201004,0.0028951,0.736503,0.676425
1568115199.082199000,14.931,-1.75125,0.503736,0.00255445,0.00245193,0.736522,0.676404
1568115199.282577000,14.9294,-1.74796,0.500974,0.00255232,0.00223553,0.736156,0.676803
1568115199.483020000,14.9373,-1.74702,0.49662,0.0027364,0.00216885,0.736584,0.676337
1568115199.683453000,14.9311,-1.75091,0.499258,0.00249671,0.00216666,0.736533,0.676394
1568115199.883771000,14.9281,-1.74835,0.495103,0.00278594,0.00226017,0.736383,0.676555
1568115200.084312000,14.928,-1.74681,0.500749,0.00292502,0.00184718,0.736326,0.676618
1568115200.284686000,14.9236,-1.74981,0.504496,0.00288769,0.00199263,0.73657,0.676352
1568115200.484970000,14.9259,-1.74866,0.499584,0.00262325,0.00214309,0.736468,0.676464
1568115200.685373000,14.9283,-1.74664,0.503503,0.002851,0.00212322,0.736393,0.676545
1568115200.885925000,14.9212,-1.74508,0.50009,0.00290386,0.00169951,0.736419,0.676517
1568115201.086179000,14.9251,-1.75091,0.502398,0.00291335,0.00187776,0.736524,0.676403
1568115201.286595000,14.9314,-1.7488,0.502566,0.00316314,0.00173324,0.736583,0.676338
1568115201.486953000,14.9329,-1.74706,0.503122,0.00283186,0.00195423,0.736402,0.676536
1568115201.687349000,14.928,-1.74849,0.497244,0.00317799,0.00204283,0.736503,0.676424
