Duration,selectiveICP,normalICP,gotCloud,processCloud,mapping,realTimeCap
1568115182.633781826,,,,0.770683,,
1568115182.720345917,,,,0.185487,,
1568115182.801391729,,0.344464,,,,
1568115182.801391729,,,0.535218,,,
1568115182.801391729,,,,,,0
1568115182.871894312,,,,0.188135,,
1568115182.964734894,,0.399387,,,,
1568115182.964734894,,,0.594443,,,
1568115182.964734894,,,,,,294
1568115183.035173811,,,,0.190129,,
1568115183.100625549,,0.304869,,,,
1568115183.100625549,,,0.499147,,,
1568115183.100625549,,,,,,247
1568115183.171109890,,,,0.191131,,
1568115183.241584252,,0.31579,,,,
1568115183.246614776,,,0.510935,,,
1568115183.246614776,,,,,,254
1568115183.347230522,,,,0.180258,,
1568115183.402766821,,0.236172,,,,
1568115183.402766821,,,0.423763,,,
1568115183.402766821,,,,,,208
1568115183.549067781,,,,0.17785,,
1568115183.604422635,,0.231894,,,,
1568115183.604422635,,,0.418234,,,
1568115183.604422635,,,,,,206
1568115183.745327159,,,,0.166173,,
1568115183.800712772,,0.257681,,,,
1568115183.800712772,,,0.43147,,,
1568115183.800712772,,,,,,212
1568115183.946713956,,,,0.168522,,
1568115184.002041810,,0.230439,,,,
1568115184.002041810,,,0.40533,,,
1568115184.002041810,,,,,,199
1568115184.143062128,,,,0.169322,,
1568115184.198567927,,0.227507,,,,
1568115184.198567927,,,0.404616,,,
1568115184.198567927,,,,,,199
1568115184.349622824,,,,0.184067,,
1568115184.399989904,,0.221841,,,,
1568115184.399989904,,,0.414448,,,
1568115184.399989904,,,,,,204
1568115184.545951151,,,,0.168757,,
1568115184.601326001,,0.237682,,,,
1568115184.601326001,,,0.414565,,,
1568115184.601326001,,,,,,203
1568115184.747361489,,,,0.183935,,
1568115184.797701357,,0.219886,,,,
1568115184.797701357,,,0.410939,,,
1568115184.797701357,,,,,,202
1568115184.944254332,,,,0.160744,,
1568115184.984529484,,0.173585,,,,
1568115184.984529484,,,0.340232,,,
1568115184.984529484,,,,,,167
1568115185.150735170,,,,0.193212,,
1568115185.196027835,,0.196251,,,,
1568115185.196027835,,,0.396341,,,
1568115185.196027835,,,,,,195
1568115185.347568214,,,,0.164544,,
1568115185.387838802,,0.171567,,,,
1568115185.387838802,,,0.341807,,,
1568115185.387838802,,,,,,168
1568115185.548957361,,,,0.167867,,
1568115185.594268051,,0.204259,,,,
1568115185.594268051,,,0.379107,,,
1568115185.594268051,,,,,,186
1568115185.760511542,,,,0.202986,,
1568115185.800772414,,0.187323,,,,
1568115185.800772414,,,0.398635,,,
1568115185.800772414,,,,,,195
1568115185.991991361,,,,0.44909,,
1568115186.062435767,,,,0.164247,,
1568115186.102705926,0.160338,,,,,
1568115186.102705926,,,,,0.00180688,
1568115186.102705926,,,0.333499,,,
1568115186.102705926,,,,,,163
1568115186.170543081,,,,0.178525,,
1568115186.211086978,0.185102,,,,,
1568115186.216120937,,,0.37044,,,
1568115186.216120937,,,,,0.00443999,
1568115186.216120937,,,,,,183
1568115186.352076605,,,,0.173557,,
1568115186.402432223,0.231112,,,,,
1568115186.402432223,,,0.415733,,,
1568115186.402432223,,,,,0.00616041,
1568115186.402432223,,,,,,205
1568115186.553490484,,,,0.171712,,
1568115186.598800064,0.228531,,,,,
1568115186.598800064,,,0.406921,,,
1568115186.598800064,,,,,0.00500114,
1568115186.598800064,,,,,,202
1568115186.749858445,,,,0.169755,,
1568115186.780090082,0.148361,,,,,
1568115186.785120364,,,0.328688,,,
1568115186.785120364,,,,,0.00501577,
1568115186.785120364,,,,,,161
1568115186.946193914,,,,0.183142,,
1568115186.986459627,0.155558,,,,,
1568115186.986459627,,,0.344701,,,
1568115186.986459627,,,,,0.00509683,
1568115186.986459627,,,,,,171
1568115187.147796297,,,,0.161732,,
1568115187.188078455,0.158251,,,,,
1568115187.193110331,,,0.326394,,,
1568115187.193110331,,,,,0.00475869,
1568115187.193110331,,,,,,162
1568115187.356388013,,,,0.188202,,
1568115187.396680470,0.196816,,,,,
1568115187.396680470,,,0.391631,,,
1568115187.401712704,,,,,0.00693433,
1568115187.401712704,,,,,,195
1568115187.547759432,,,,0.178044,,
1568115187.593031208,0.167616,,,,,
1568115187.593031208,,,0.353452,,,
1568115187.593031208,,,,,0.00508162,
1568115187.593031208,,,,,,175
1568115187.754124337,,,,0.169331,,
1568115187.789352116,0.170379,,,,,
1568115187.789352116,,,0.345029,,,
1568115187.794389732,,,,,0.0100445,
1568115187.794389732,,,,,,174
1568115187.960779803,,,,0.18867,,
1568115188.001046013,0.17575,,,,,
1568115188.001046013,,,0.375132,,,
1568115188.001046013,,,,,0.0100786,
1568115188.001046013,,,,,,187
1568115188.162091858,,,,0.195291,,
1568115188.197318557,0.163242,,,,,
1568115188.197318557,,,0.367562,,,
1568115188.202349501,,,,,0.00988721,
1568115188.202349501,,,,,,184
1568115188.358483788,,,,0.187767,,
1568115188.404133402,0.191247,,,,,
1568115188.404133402,,,0.384714,,,
1568115188.404133402,,,,,0.00619498,
1568115188.404133402,,,,,,192
1568115188.560203005,,,,0.183254,,
1568115188.600485003,0.183303,,,,,
1568115188.600485003,,,0.376385,,,
1568115188.605511076,,,,,0.0126182,
1568115188.605511076,,,,,,189
1568115188.756572662,,,,0.19288,,
1568115188.796847434,0.163855,,,,,
1568115188.801919803,,,0.362558,,,
1568115188.801919803,,,,,0.00905375,
1568115188.801919803,,,,,,182
1568115188.963132470,,,,0.183728,,
1568115189.008436123,0.20607,,,,,
1568115189.008436123,,,0.398495,,,
1568115189.008436123,,,,,0.00775391,
1568115189.008436123,,,,,,198
1568115189.159542453,,,,0.19459,,
1568115189.194783016,0.166185,,,,,
1568115189.199811035,,,0.366168,,,
1568115189.199811035,,,,,0.00776809,
1568115189.199811035,,,,,,184
1568115189.361104192,,,,0.190592,,
1568115189.411457277,0.189098,,,,,
1568115189.411457277,,,0.385213,,,
1568115189.411457277,,,,,0.00759235,
1568115189.411457277,,,,,,193
1568115189.562467856,,,,0.175772,,
1568115189.602744314,0.17759,,,,,
1568115189.602744314,,,0.360629,,,
1568115189.602744314,,,,,0.00619069,
1568115189.602744314,,,,,,179
1568115189.758917911,,,,0.18359,,
1568115189.804255483,0.198155,,,,,
1568115189.804255483,,,0.388952,,,
1568115189.804255483,,,,,0.00572662,
1568115189.804255483,,,,,,193
1568115189.960291882,,,,0.179438,,
1568115190.000568727,0.192385,,,,,
1568115190.000568727,,,0.380766,,,
1568115190.005598928,,,,,0.00657079,
1568115190.005598928,,,,,,188
1568115190.161651284,,,,0.174361,,
1568115190.191833406,0.14197,,,,,
1568115190.191833406,,,0.326217,,,
1568115190.196865051,,,,,0.00658343,
1568115190.196865051,,,,,,161
1568115190.363169306,,,,0.177069,,
1568115190.398783867,0.162236,,,,,
1568115190.403813631,,,0.346595,,,
1568115190.403813631,,,,,0.00788147,
1568115190.403813631,,,,,,173
1568115190.559837837,,,,0.16773,,
1568115190.600388372,0.167595,,,,,
1568115190.600388372,,,0.340945,,,
1568115190.600388372,,,,,0.00606623,
1568115190.600388372,,,,,,170
1568115190.761506090,,,,0.175439,,
1568115190.796738569,0.154161,,,,,
1568115190.796738569,,,0.336213,,,
1568115190.796738569,,,,,0.00563776,
1568115190.796738569,,,,,,167
1568115190.962866676,,,,0.165147,,
1568115190.988755605,0.13173,,,,,
1568115190.988755605,,,0.304135,,,
1568115190.993788527,,,,,0.00904906,
1568115190.993788527,,,,,,152
1568115191.159935648,,,,0.169734,,
1568115191.180076387,0.09564,,,,,
1568115191.185298386,,,0.272119,,,
1568115191.185298386,,,,,0.00857592,
1568115191.185298386,,,,,,136
1568115191.362216926,,,,0.160599,,
1568115191.397524116,0.132538,,,,,
1568115191.397524116,,,0.297905,,,
1568115191.397524116,,,,,0.00570945,
1568115191.397524116,,,,,,149
1568115191.563849531,,,,0.166921,,
1568115191.589002138,0.107289,,,,,
1568115191.589002138,,,0.284826,,,
1568115191.589002138,,,,,0.00668606,
1568115191.589002138,,,,,,140
1568115191.760156514,,,,0.17467,,
