Duration,x,y,z,x,y,z,w
1568115184.653570000,14.9308,-1.77101,0.545019,-0.00304111,0.00971924,0.736524,0.676335
1568115184.853984000,14.9331,-1.77137,0.542043,-0.00343276,0.00987929,0.736635,0.67621
1568115185.054391000,14.9357,-1.77216,0.544367,-0.00341508,0.00994438,0.736497,0.676359
1568115185.254776000,14.9352,-1.76989,0.5428,-0.00353098,0.00984655,0.736696,0.676143
1568115185.455238000,14.9333,-1.7713,0.543719,-0.00331956,0.00975598,0.736535,0.676321
1568115185.655632000,14.9357,-1.77073,0.545128,-0.00342805,0.00987977,0.736645,0.676199
1568115185.855997000,14.9358,-1.77127,0.544759,-0.00356582,0.00990015,0.736647,0.676195
1568115186.056605000,14.9366,-1.77005,0.546052,-0.00344355,0.00960914,0.736664,0.676182
1568115186.256838000,14.936,-1.76987,0.546066,-0.00344827,0.00979408,0.736632,0.676215
1568115186.457236000,14.9357,-1.76985,0.546967,-0.00311939,0.00956178,0.736661,0.676188
1568115186.657695000,14.937,-1.77062,0.547087,-0.00327938,0.0094648,0.736608,0.676246
1568115186.857981000,14.9349,-1.7695,0.544518,-0.00370939,0.0099179,0.736576,0.676272
1568115187.058372000,14.9362,-1.76951,0.546148,-0.00358396,0.00997663,0.73662,0.676224
1568115187.258773000,14.9349,-1.77092,0.543714,-0.00357414,0.0099316,0.736612,0.676233
1568115187.459300000,14.937,-1.77,0.544332,-0.00351979,0.00968359,0.736753,0.676084
1568115187.659543000,14.9378,-1.77026,0.54253,-0.00357796,0.0100094,0.736668,0.676171
1568115187.859958000,14.9361,-1.76997,0.543484,-0.00335918,0.0098642,0.736659,0.676184
1568115188.060619000,14.9322,-1.77011,0.544971,-0.0033728,0.00987324,0.736577,0.676273
1568115188.260733000,14.8413,-1.64734,0.282139,0.00996058,-0.00406247,0.734539,0.678481
1568115188.461224000,14.842,-1.64719,0.280261,0.00909861,-0.00416596,0.734632,0.678392
1568115188.661593000,14.8307,-1.64028,0.278275,0.00929068,-0.00437324,0.734029,0.67904
1568115188.861977000,14.833,-1.64504,0.276014,0.00980123,-0.00358107,0.734269,0.678778
1568115189.062316000,14.8385,-1.64613,0.277073,0.00961763,-0.00389176,0.734173,0.678883
1568115189.262836000,14.8271,-1.63979,0.269976,0.00977568,-0.00394328,0.734005,0.679063
1568115189.463213000,14.84,-1.64314,0.283822,0.00973699,-0.00465622,0.734771,0.67823
1568115189.663565000,14.8302,-1.63501,0.281214,0.0103597,-0.00604355,0.733894,0.679158
1568115189.863988000,14.8381,-1.64132,0.277702,0.0103922,-0.00523491,0.733946,0.679108
1568115190.064316000,14.8453,-1.63763,0.279839,0.0105885,-0.00511709,0.734399,0.678616
1568115190.264762000,14.8403,-1.64354,0.277381,0.0101345,-0.00514524,0.734604,0.678401
1568115190.465134000,14.838,-1.63998,0.281049,0.0103443,-0.00498226,0.734002,0.67905
1568115190.665522000,14.8366,-1.63799,0.281371,0.010364,-0.00459196,0.734413,0.678608
1568115190.865960000,14.8487,-1.63914,0.286232,0.0101586,-0.00466239,0.734648,0.678357
1568115191.066344000,14.8366,-1.64261,0.278015,0.00976972,-0.00401328,0.734311,0.678731
1568115191.266725000,14.8329,-1.64044,0.277866,0.00972275,-0.00467546,0.734173,0.678877
1568115191.467102000,14.8439,-1.64349,0.277993,0.00959233,-0.00423279,0.734663,0.678352
1568115191.667521000,14.8494,-1.63989,0.27648,0.0100395,-0.0051767,0.734413,0.678609
1568115191.868026000,14.8382,-1.6437,0.284476,0.00949345,-0.00474509,0.73452,0.678504
1568115192.068258000,14.8551,-1.63892,0.285881,0.0101381,-0.00538875,0.734147,0.678894
1568115192.268702000,14.8571,-1.63884,0.2836,0.0104104,-0.00524422,0.734195,0.678839
1568115192.469153000,14.8378,-1.63924,0.280817,0.0103043,-0.00566416,0.733935,0.679118
1568115192.669557000,14.836,-1.64051,0.284953,0.0106621,-0.00518498,0.734309,0.678711
1568115192.869905000,14.8393,-1.642,0.278504,0.010123,-0.00486414,0.734017,0.679038
1568115193.070231000,14.8352,-1.64064,0.281384,0.0103163,-0.00604112,0.734125,0.678909
1568115193.270699000,14.8415,-1.64299,0.273451,0.0101697,-0.00501922,0.734735,0.678259
1568115193.471082000,14.8388,-1.6409,0.281288,0.0103963,-0.00501525,0.734628,0.678372
1568115193.671486000,14.8288,-1.63954,0.272765,0.0109677,-0.00530388,0.734231,0.678791
1568115193.871850000,14.8433,-1.64034,0.277214,0.0101672,-0.00618306,0.734435,0.678575
1568115194.072271000,14.8477,-1.64344,0.275174,0.0100796,-0.00475362,0.734817,0.678174
1568115194.272664000,14.8465,-1.64545,0.273958,0.0099205,-0.00512388,0.734777,0.678217
1568115194.473032000,14.8416,-1.64305,0.276044,0.0103453,-0.00531301,0.734598,0.678403
1568115194.673442000,14.8425,-1.64506,0.275332,0.0104359,-0.00463308,0.734484,0.67853
1568115194.873824000,14.8391,-1.63891,0.27703,0.0105344,-0.0055251,0.734272,0.678751
1568115195.074178000,14.8326,-1.64172,0.276246,0.0102373,-0.00485537,0.733726,0.679351
1568115195.274664000,14.8408,-1.64083,0.282068,0.00985137,-0.00464772,0.734206,0.678839
1568115195.475029000,14.8424,-1.64133,0.279418,0.010708,-0.00558937,0.734505,0.678496
1568115195.675436000,14.8306,-1.64068,0.281048,0.0100282,-0.00464813,0.733951,0.679113
1568115195.875793000,14.8381,-1.63954,0.277863,0.0105486,-0.00577818,0.734385,0.678627
1568115196.076275000,14.8302,-1.64231,0.280091,0.00996345,-0.00430504,0.73404,0.679019
1568115196.276636000,14.8405,-1.64074,0.283493,0.00972825,-0.0041941,0.734258,0.678788
1568115196.477071000,14.8419,-1.644,0.284929,0.0102068,-0.00437751,0.734507,0.67851
1568115196.677525000,14.8408,-1.64172,0.280998,0.0100254,-0.00465076,0.734299,0.678736
1568115196.877936000,14.8485,-1.64258,0.275374,0.0110935,-0.00593444,0.734919,0.678038
1568115197.078188000,14.8405,-1.64208,0.280889,0.0104273,-0.00461043,0.734583,0.678423
1568115197.278616000,14.8462,-1.64876,0.288922,0.0096195,-0.00382209,0.734527,0.6785
1568115197.479156000,14.843,-1.64493,0.28774,0.00995969,-0.00453045,0.734884,0.678105
1568115197.679431000,14.8434,-1.63939,0.280561,0.010486,-0.00608587,0.734611,0.67838
1568115197.879844000,14.845,-1.63908,0.285121,0.0105374,-0.0051186,0.734418,0.678597
1568115198.080189000,14.842,-1.64587,0.283393,0.00948559,-0.00424097,0.734563,0.67846
1568115198.280649000,14.8407,-1.63941,0.281258,0.0106193,-0.00577863,0.734429,0.678578
1568115198.481027000,14.8319,-1.64067,0.280811,0.0101255,-0.00454927,0.734489,0.67853
1568115198.681407000,14.8372,-1.64174,0.281735,0.00943612,-0.00499379,0.734369,0.678666
1568115198.881891000,14.8408,-1.64046,0.280366,0.0109444,-0.00548281,0.734588,0.678403
1568115199.082199000,14.8455,-1.64164,0.28236,0.0103289,-0.00489102,0.734565,0.678442
