Duration,selectiveICP,normalICP,gotCloud,processCloud,mapping,realTimeCap
1568115186.907303172,,,,0.670708,,
1568115186.992827899,,,,0.192752,,
1568115187.128737259,,0.601453,,,,
1568115187.128737259,,,0.798209,,,
1568115187.128737259,,,,,,0
1568115187.194721690,,,,0.188579,,
1568115187.325577974,,0.588439,,,,
1568115187.325577974,,,0.780869,,,
1568115187.325577974,,,,,,388
1568115187.380950894,,,,0.156604,,
1568115187.461494878,,0.326008,,,,
1568115187.461494878,,,0.486173,,,
1568115187.461494878,,,,,,241
1568115187.552542612,,,,0.174949,,
1568115187.628058436,,0.323196,,,,
1568115187.628058436,,,0.505616,,,
1568115187.628058436,,,,,,249
1568115187.753891649,,,,0.177349,,
1568115187.814287483,,0.250583,,,,
1568115187.819316506,,,0.434307,,,
1568115187.819316506,,,,,,214
1568115187.951585627,,,,0.161374,,
1568115188.001911784,,0.2162,,,,
1568115188.001911784,,,0.385742,,,
1568115188.001911784,,,,,,189
1568115188.157982453,,,,0.174981,,
1568115188.223354975,,0.261532,,,,
1568115188.223354975,,,0.443646,,,
1568115188.223354975,,,,,,218
1568115188.354298487,,,,0.158769,,
1568115188.414696336,,0.270383,,,,
1568115188.414696336,,,0.4378,,,
1568115188.414696336,,,,,,215
1568115188.555876889,,,,0.166858,,
1568115188.616256401,,0.237783,,,,
1568115188.616256401,,,0.412374,,,
1568115188.616256401,,,,,,202
1568115188.753333712,,,,0.157956,,
1568115188.813780295,,0.265722,,,,
1568115188.813780295,,,0.430455,,,
1568115188.813780295,,,,,,212
1568115188.955343664,,,,0.168896,,
1568115189.020796118,,0.267181,,,,
1568115189.020796118,,,0.44196,,,
1568115189.020796118,,,,,,218
1568115189.161807890,,,,0.185942,,
1568115189.217281155,,0.255518,,,,
1568115189.217281155,,,0.447788,,,
1568115189.217281155,,,,,,221
1568115189.353193006,,,,0.169123,,
1568115189.403510162,,0.217657,,,,
1568115189.403510162,,,0.392751,,,
1568115189.403510162,,,,,,193
1568115189.559600765,,,,0.16923,,
1568115189.609925457,,0.233783,,,,
1568115189.614954880,,,0.410013,,,
1568115189.614954880,,,,,,202
1568115189.755897613,,,,0.159771,,
1568115189.806332622,,0.212868,,,,
1568115189.806332622,,,0.378342,,,
1568115189.806332622,,,,,,186
1568115189.962765790,,,,0.183769,,
1568115190.003050880,,0.170726,,,,
1568115190.003050880,,,0.362953,,,
1568115190.003050880,,,,,,178
1568115190.159167623,,,,0.17653,,
1568115190.209540944,,0.218193,,,,
1568115190.209540944,,,0.40082,,,
1568115190.209540944,,,,,,198
1568115190.360680891,,,,0.179381,,
1568115190.405965204,,0.185469,,,,
1568115190.405965204,,,0.36979,,,
1568115190.405965204,,,,,,182
1568115190.562053603,,,,0.176308,,
1568115190.617657360,,0.230887,,,,
1568115190.617657360,,,0.414767,,,
1568115190.617657360,,,,,,203
1568115190.763653422,,,,0.181483,,
1568115190.809510024,,0.201276,,,,
1568115190.809510024,,,0.390378,,,
1568115190.809510024,,,,,,191
1568115190.965752160,,,,0.180614,,
1568115191.016057109,,0.226865,,,,
1568115191.021087109,,,0.41601,,,
1568115191.021087109,,,,,,204
1568115191.162083778,,,,0.184808,,
1568115191.212457079,,0.216295,,,,
1568115191.212457079,,,0.405249,,,
1568115191.212457079,,,,,,200
1568115191.363569342,,,,0.173989,,
1568115191.418895640,,0.219409,,,,
1568115191.418895640,,,0.402771,,,
1568115191.418895640,,,,,,197
1568115191.564877453,,,,0.173946,,
1568115191.610185782,,0.180184,,,,
1568115191.610185782,,,0.362728,,,
1568115191.610185782,,,,,,178
1568115191.761407634,,,,0.164931,,
1568115191.811752593,,0.215199,,,,
1568115191.811752593,,,0.386798,,,
1568115191.811752593,,,,,,190
1568115191.967886357,,,,0.186086,,
1568115192.018264475,,0.223735,,,,
1568115192.023340938,,,0.418911,,,
1568115192.023340938,,,,,,206
1568115192.165534029,,,,0.161726,,
1568115192.210851143,,0.209183,,,,
1568115192.210851143,,,0.377575,,,
1568115192.210851143,,,,,,186
1568115192.361892366,,,,0.163477,,
1568115192.407257316,,0.204226,,,,
1568115192.407257316,,,0.372954,,,
1568115192.407257316,,,,,,184
1568115192.569172369,,,,0.182903,,
1568115192.609594548,,0.176314,,,,
1568115192.609594548,,,0.364655,,,
1568115192.609594548,,,,,,179
1568115192.826060340,,,,0.487537,,
1568115192.896852059,,,,0.165981,,
1568115192.972399251,0.327267,,,,,
1568115192.972399251,,,,,0.00436528,
1568115192.972399251,,,0.501708,,,
1568115192.972399251,,,,,,249
1568115193.037826655,,,,0.172157,,
1568115193.108696159,0.357241,,,,,
1568115193.108696159,,,0.537065,,,
1568115193.108696159,,,,,0.00705012,
1568115193.108696159,,,,,,267
1568115193.174128281,,,,0.180366,,
1568115193.240022429,0.319578,,,,,
