Duration,ICPErrorClosestFacetAll,ResidualError,RobustMeanDist,NbPointsRobMeanDist,HaussdorffDist,HaussdorffQuantileDist,ICPErrorClosestFacetRef,selectiveICPOverlap,normalICPOverlap,sizeOfMap
Number of Facets in Model: 182
1568115206.897675000,,,,,,,,0.698639,,
1568115207.098067000,,,,,,,,0.698516,,
1568115207.298727000,,,,,,,,0.699528,,
1568115207.498764000,,,,,,,,0.699421,,
1568115207.699186000,,,,,,,,0.699732,,
1568115207.899560000,,,,,,,,0.699854,,
1568115208.099942000,,,,,,,,0.699469,,
1568115208.300398000,,,,,,,,0.699985,,
1568115208.500766000,,,,,,,,0.699495,,
1568115208.701154000,,,,,,,,0.699464,,
1568115208.901578000,,,,,,,,0.699285,,
1568115209.102009000,,,,,,,,0.699501,,
1568115209.302346000,,,,,,,,0.699445,,
1568115209.502717000,,,,,,,,0.699653,,
1568115209.703147000,,,,,,,,0.699297,,
1568115209.903617000,,,,,,,,0.699175,,
1568115210.104055000,,,,,,,,0.699585,,
1568115210.304355000,,,,,,,,0.699448,,
1568115210.504753000,,,,,,,,0.699804,,
1568115210.705059000,,,,,,,,0.699497,,
1568115210.905554000,,,,,,,,0.699467,,
1568115211.106027000,,,,,,,,0.699074,,
1568115211.306378000,,,,,,,,0.699482,,
1568115211.506813000,,,,,,,,0.699911,,
1568115211.707153000,,,,,,,,0.699688,,
1568115211.907616000,,,,,,,,0.699932,,
1568115212.108026000,,,,,,,,0.699695,,
1568115212.308405000,,,,,,,,0.699678,,
1568115212.508735000,,,,,,,,0.699468,,
1568115212.709212000,,,,,,,,0.699563,,
1568115212.909558000,,,,,,,,0.699839,,
1568115213.109979000,,,,,,,,0.698827,,
1568115213.310384000,,,,,,,,0.699897,,
1568115213.510769000,,,,,,,,0.698467,,
1568115213.711167000,,,,,,,,0.699878,,
1568115213.911531000,,,,,,,,0.698693,,
1568115214.111979000,,,,,,,,0.699391,,
1568115214.312370000,,,,,,,,0.699287,,
1568115214.512718000,,,,,,,,0.698564,,
1568115214.713169000,,,,,,,,0.696611,,
1568115214.913593000,,,,,,,,0.69839,,
1568115215.113929000,,,,,,,,0.697728,,
1568115215.314357000,,,,,,,,0.697513,,
1568115215.514769000,,,,,,,,0.697331,,
1568115215.715172000,,,,,,,,0.697058,,
1568115215.915492000,,,,,,,,0.697033,,
1568115216.115951000,,,,,,,,0.697007,,
1568115216.316527000,,,,,,,,0.696046,,
1568115216.516748000,,,,,,,,0.699122,,
1568115216.717092000,,,,,,,,0.699407,,
1568115216.917550000,,,,,,,,0.699366,,
1568115217.117889000,,,,,,,,0.699665,,
1568115217.318323000,,,,,,,,0.699534,,
1568115217.518722000,,,,,,,,0.699179,,
1568115217.719055000,,,,,,,,0.699245,,
1568115217.919557000,,,,,,,,0.699388,,
1568115218.119907000,,,,,,,,0.699475,,
1568115218.320315000,,,,,,,,0.699219,,
1568115218.520740000,,,,,,,,0.699269,,
1568115218.721113000,,,,,,,,0.699227,,
1568115218.921461000,,,,,,,,0.699303,,
1568115219.121827000,,,,,,,,0.699818,,
1568115219.322239000,,,,,,,,0.699598,,
1568115219.522622000,,,,,,,,0.699308,,
1568115219.722999000,,,,,,,,0.695479,,
1568115219.923387000,,,,,,,,0.699787,,
1568115220.123863000,,,,,,,,0.696493,,
1568115220.324239000,,,,,,,,0.694534,,
1568115220.524652000,,,,,,,,0.699889,,
1568115220.725009000,,,,,,,,0.69385,,
1568115220.925422000,,,,,,,,0.693728,,
1568115221.125858000,,,,,,,,0.694137,,
1568115221.326265000,,,,,,,,0.69501,,
1568115221.526582000,,,,,,,,0.692833,,
1568115221.727088000,,,,,,,,0.694788,,
1568115221.927417000,,,,,,,,0.695826,,
1568115222.127839000,,,,,,,,0.69581,,
1568115222.328262000,,,,,,,,0.698798,,
1568115222.528617000,,,,,,,,0.698508,,
1568115222.729051000,,,,,,,,0.697659,,
1568115222.929458000,,,,,,,,0.698227,,
1568115223.129903000,,,,,,,,0.698373,,
1568115223.330065000,,,,,,,,0.698411,,
1568115223.530594000,,,,,,,,0.698081,,
1568115223.730997000,,,,,,,,0.698483,,
1568115223.931370000,,,,,,,,0.698467,,
1568115224.131751000,,,,,,,,0.699283,,
1568115224.332159000,,,,,,,,0.699224,,
1568115224.532624000,,,,,,,,0.698839,,
1568115224.733001000,,,,,,,,0.698897,,
1568115224.933421000,,,,,,,,0.699219,,
1568115225.133723000,,,,,,,,0.698504,,
1568115225.334171000,,,,,,,,0.698775,,
1568115225.534548000,,,,,,,,0.699299,,
1568115225.734996000,,,,,,,,0.698657,,
1568115225.935331000,,,,,,,,0.697914,,
1568115226.135776000,,,,,,,,0.699084,,
1568115226.336102000,,,,,,,,0.698627,,
1568115226.536597000,,,,,,,,0.699216,,
1568115226.736968000,,,,,,,,0.699043,,
1568115226.937376000,,,,,,,,0.697284,,
1568115227.137758000,,,,,,,,0.697456,,
1568115227.338086000,,,,,,,,0.695477,,
1568115227.538517000,,,,,,,,0.697137,,
1568115227.738874000,,,,,,,,0.693502,,
1568115227.939278000,,,,,,,,0.691156,,
1568115228.139666000,,,,,,,,0.687893,,
1568115228.340126000,,,,,,,,0.691747,,
1568115228.540499000,,,,,,,,0.69116,,
1568115228.740887000,,,,,,,,0.690551,,
1568115228.941244000,,,,,,,,0.6904,,
1568115229.141751000,,,,,,,,0.697494,,
1568115229.342045000,,,,,,,,0.697069,,
1568115229.542429000,,,,,,,,0.697664,,
1568115229.742901000,,,,,,,,0.697008,,
1568115229.943186000,,,,,,,,0.698362,,
1568115230.143615000,,,,,,,,0.697793,,
1568115230.344027000,,,,,,,,0.697751,,
1568115230.544420000,,,,,,,,0.698417,,
1568115230.744810000,,,,,,,,0.699416,,
1568115230.945190000,,,,,,,,0.698418,,
1568115231.145567000,,,,,,,,0.699413,,
1568115231.345974000,,,,,,,,0.698204,,
1568115231.546405000,,,,,,,,0.699186,,
1568115231.746795000,,,,,,,,0.699542,,
1568115231.947237000,,,,,,,,0.699906,,
1568115232.147613000,,,,,,,,0.699849,,
1568115232.347997000,,,,,,,,0.699809,,
1568115232.548363000,,,,,,,,0.699765,,
1568115232.748761000,,,,,,,,0.69982,,
1568115232.949224000,,,,,,,,0.699761,,
1568115233.149577000,,,,,,,,0.699809,,
1568115233.349990000,,,,,,,,0.699852,,
1568115233.550351000,,,,,,,,0.69985,,
1568115233.750763000,,,,,,,,0.699311,,
1568115233.951127000,,,,,,,,0.69902,,
1568115234.151549000,,,,,,,,0.699219,,
1568115234.351918000,,,,,,,,0.698637,,
1568115234.552351000,,,,,,,,0.698265,,
1568115234.752755000,,,,,,,,0.6988,,
1568115234.953198000,,,,,,,,0.698694,,
1568115235.153549000,,,,,,,,0.699251,,
1568115235.353958000,,,,,,,,0.699653,,
1568115235.554286000,,,,,,,,0.699686,,
1568115235.754691000,,,,,,,,0.69998,,
1568115235.955080000,,,,,,,,0.699497,,
1568115236.155491000,,,,,,,,0.697963,,
1568115236.355925000,,,,,,,,0.697963,,
1568115236.556291000,,,,,,,,0.697259,,
1568115236.756770000,,,,,,,,0.696419,,
1568115236.957169000,,,,,,,,0.696891,,
1568115237.157542000,,,,,,,,0.696027,,
1568115237.357975000,,,,,,,,0.695968,,
1568115237.558255000,,,,,,,,0.696021,,
1568115237.758697000,,,,,,,,0.696506,,
1568115237.959199000,,,,,,,,0.69714,,
1568115238.159563000,,,,,,,,0.697943,,
1568115238.359916000,,,,,,,,0.698634,,
1568115238.560335000,,,,,,,,0.698753,,
1568115238.760756000,,,,,,,,0.699786,,
1568115238.961123000,,,,,,,,0.699229,,
1568115239.161503000,,,,,,,,0.696223,,
1568115239.361904000,,,,,,,,0.692384,,
1568115239.562274000,,,,,,,,0.696438,,
1568115239.762744000,,,,,,,,0.696495,,
1568115239.963194000,,,,,,,,0.696616,,
1568115240.163589000,,,,,,,,0.698291,,
1568115240.363899000,,,,,,,,0.69846,,
1568115240.564323000,,,,,,,,0.698501,,
1568115240.764688000,,,,,,,,0.699801,,
1568115240.965113000,,,,,,,,0.699874,,
1568115241.165524000,,,,,,,,0.69965,,
1568115241.365944000,,,,,,,,0.699616,,
1568115241.566229000,,,,,,,,0.699046,,
1568115241.766605000,,,,,,,,0.699252,,
1568115241.967030000,,,,,,,,0.698814,,
1568115242.167425000,,,,,,,,0.699538,,
1568115242.367878000,,,,,,,,0.696623,,
1568115242.568249000,,,,,,,,0.699613,,
1568115242.768690000,,,,,,,,0.699672,,
1568115242.969083000,,,,,,,,0.699731,,
1568115243.169410000,,,,,,,,0.699642,,
1568115243.369859000,,,,,,,,0.697451,,
1568115243.570212000,,,,,,,,0.698736,,
1568115243.770722000,,,,,,,,0.699625,,
1568115243.971074000,,,,,,,,0.699225,,
1568115244.171473000,,,,,,,,0.698915,,
1568115244.371841000,,,,,,,,0.69862,,
1568115244.572246000,,,,,,,,0.698887,,
1568115244.772652000,,,,,,,,0.69855,,
1568115244.972994000,,,,,,,,0.698315,,
1568115245.173471000,,,,,,,,0.699135,,
1568115245.373785000,,,,,,,,0.698835,,
1568115245.574167000,,,,,,,,0.69931,,
1568115245.774637000,,,,,,,,0.69912,,
1568115245.974986000,,,,,,,,0.698215,,
1568115246.175430000,,,,,,,,0.699312,,
1568115246.375783000,,,,,,,,0.699916,,
1568115246.576183000,,,,,,,,0.698465,,
1568115246.776648000,,,,,,,,0.69936,,
1568115246.977053000,,,,,,,,0.699,,
1568115247.177389000,,,,,,,,0.696947,,
1568115247.377931000,,,,,,,,0.698769,,
1568115247.578235000,,,,,,,,0.699077,,
1568115247.778565000,,,,,,,,0.699636,,
1568115247.978955000,,,,,,,,0.699442,,
1568115248.179379000,,,,,,,,0.699649,,
1568115248.379727000,,,,,,,,0.699595,,
1568115248.780625000,,,,,,,,0.699808,,
1568115248.980976000,,,,,,,,0.699803,,
1568115249.181308000,,,,,,,,0.699772,,
1568115249.381729000,,,,,,,,0.699665,,
1568115249.582190000,,,,,,,,0.699708,,
1568115249.782571000,,,,,,,,0.699439,,
1568115249.982986000,,,,,,,,0.698949,,
1568115250.183337000,,,,,,,,0.699664,,
1568115250.383752000,,,,,,,,0.699585,,
1568115250.584160000,,,,,,,,0.699948,,
1568115250.784552000,,,,,,,,0.699618,,
1568115250.984945000,,,,,,,,0.699799,,
1568115251.185372000,,,,,,,,0.699638,,
1568115251.385777000,,,,,,,,0.699701,,
1568115251.586157000,,,,,,,,0.698212,,
1568115251.786490000,,,,,,,,0.698903,,
1568115251.986955000,,,,,,,,0.699436,,
1568115252.187264000,,,,,,,,0.699574,,
1568115252.387599000,,,,,,,,0.699326,,
1568115252.588077000,,,,,,,,0.69868,,
1568115252.788523000,,,,,,,,0.699288,,
1568115252.988913000,,,,,,,,0.697336,,
1568115253.189290000,,,,,,,,0.698099,,
1568115253.389575000,,,,,,,,0.699051,,
1568115253.590056000,,,,,,,,0.699261,,
1568115253.790452000,,,,,,,,0.69785,,
1568115253.990796000,,,,,,,,0.698822,,
1568115254.191256000,,,,,,,,0.698674,,
1568115254.391619000,,,,,,,,0.699547,,
1568115254.592061000,,,,,,,,0.699629,,
1568115254.792405000,,,,,,,,0.698069,,
